abcode,dt,types,gmv
28906,20260505,月,87.86
28907,20260430,年,1279.77
28907,20260502,月,143.6
28907,20260509,月,109.87
28907,20260505,月,75.38
28907,20260504,季,7.59
28906,20260428,年,41.3
28906,20260511,月,261.32
28905,20260501,季,\N
28906,20260503,年,2325.16
28906,20260507,年,1664.55
28907,20260507,周,67.11
28907,20260506,年,1527.64
28905,20260511,周,180.42
28906,20260429,周,22.4
28906,20260508,季,\N
28906,20260502,月,128.27
28906,20260506,周,66.75
28906,20260511,年,3404.24
28907,20260502,周,37.84
28905,20260509,月,128.79
28905,20260503,季,7.59
28906,20260502,年,1498.83
28905,20260507,周,79.86
28905,20260508,年,1720.03
28907,20260508,周,93.91
28907,20260505,年,1921.96
28906,20260430,月,82.45
28906,20260508,周,62.57
28906,20260504,周,103.98
28907,20260504,周,153.49
28905,20260429,月,46.53
28907,20260430,月,80.58
28906,20260509,年,2219.52
28907,20260429,周,22.4
28907,20260509,年,2488.97
28905,20260429,年,499.81
28905,20260504,季,19.09
28905,20260504,周,102.4
28905,20260502,月,153.99
28905,20260508,月,136.53
28907,20260429,月,33.13
28905,20260501,月,120.29
28905,20260506,季,9.5
28907,20260503,季,15.12
28906,20260508,月,98.17
28907,20260505,周,111.8
28905,20260504,年,2060.45
28906,20260430,年,1444.1
28907,20260502,年,1453.47
28905,20260504,月,123.15
28906,20260511,周,130.44
28906,20260506,月,120.88
28906,20260506,年,1632.45
28907,20260507,季,\N
28907,20260430,季,\N
28905,20260503,年,2335.57
28906,20260506,季,9.48
28905,20260506,年,1465.3
28907,20260511,年,3367.74
28906,20260503,月,86.6
28905,20260429,季,\N
28907,20260504,年,2638.5
28905,20260510,年,2568.44
28907,20260430,周,71.82
28905,20260506,月,130.78
28907,20260503,年,2355.69
28907,20260510,月,232.67
28906,20260429,年,441.49
28907,20260507,年,1695.29
28907,20260506,季,\N
28906,20260504,年,2532.14
28905,20260505,周,62.22
28906,20260509,月,91.35
28907,20260508,季,\N
28906,20260430,周,20.07
28905,20260509,周,75.9
28906,20260501,周,24.35
28905,20260505,季,24.59
28906,20260510,周,167.11
28906,20260428,周,4.51
28906,20260507,月,180.82
28907,20260501,月,73.41
28905,20260503,周,98.96
28907,20260508,月,140.69
28905,20260501,周,67.2
28907,20260506,月,62.13
28905,20260430,周,43.44
28906,20260502,周,69.72
28907,20260506,周,86.93
28906,20260509,季,\N
28907,20260511,月,229.5
28907,20260502,季,\N
28906,20260503,周,57.55
28905,20260510,月,246.07
28905,20260430,月,23.59
28905,20260502,周,95.11
28907,20260505,季,\N
28906,20260508,年,1598.72
28907,20260508,年,1627.58
28905,20260511,年,3262.2
28905,20260509,年,1983.58
28905,20260507,季,\N
28905,20260503,月,265.74
28907,20260429,年,479.69
28906,20260429,月,59.75
28907,20260428,年,38.5
28905,20260507,年,1780.52
28905,20260508,周,38.46
28906,20260501,季,\N
28907,20260510,周,121.37
28906,20260509,周,101.29
28906,20260501,月,115.64
28907,20260504,月,107.56
28905,20260507,月,124.91
28907,20260511,周,147.68
28905,20260505,月,110.31
28906,20260503,季,15.21
28906,20260507,周,79.38
28906,20260505,周,58.72
28905,20260510,周,120.87
28906,20260428,月,7.12
28906,20260505,季,8.92
28907,20260503,月,160.78
28905,20260430,季,16.51
28907,20260501,年,1545.61
28905,20260502,年,1567.02
28907,20260503,周,79.88
28905,20260429,周,28.0
28906,20260504,月,138.22
28907,20260507,月,87.38
28906,20260502,季,6.29
28905,20260506,周,72.8
28905,20260428,年,16.17
28907,20260509,周,92.78
28907,20260510,年,3121.23
28906,20260505,年,1472.1
28906,20260501,年,1162.92
28905,20260505,年,1682.21
28905,20260502,季,\N
28906,20260510,月,240.27
28905,20260430,年,1126.59
28905,20260501,年,1428.34
28906,20260510,年,3395.96
28905,20260511,月,130.47
28906,20260504,季,6.93
28907,20260501,周,67.2
