enter_abtest_date,active_date,abcode,lcx,week_day,control_active0,control_activex,retention_rate
20260429,20260430,28905,1,4,2512,465,0.1851
20260429,20260501,28905,2,5,2512,294,0.117
20260429,20260502,28905,3,6,2512,237,0.0943
20260429,20260503,28905,4,7,2512,215,0.0856
20260429,20260504,28905,5,1,2512,184,0.0732
20260429,20260505,28905,6,2,2512,159,0.0633
20260429,20260506,28905,7,3,2512,141,0.0561
20260429,20260507,28905,8,4,2512,148,0.0589
20260429,20260508,28905,9,5,2512,142,0.0565
20260429,20260509,28905,10,6,2512,132,0.0525
20260429,20260510,28905,11,7,2512,145,0.0577
20260429,20260511,28905,12,1,2512,137,0.0545
20260429,20260512,28905,13,2,2512,113,0.045
20260429,20260513,28905,14,3,2512,132,0.0525
20260429,20260514,28905,15,4,2512,121,0.0482
20260429,20260515,28905,16,5,2512,117,0.0466
20260429,20260516,28905,17,6,2512,108,0.043
20260429,20260517,28905,18,7,2512,123,0.049
20260430,20260501,28905,1,5,5391,817,0.1515
20260430,20260502,28905,2,6,5391,558,0.1035
20260430,20260503,28905,3,7,5391,448,0.0831
20260430,20260504,28905,4,1,5391,413,0.0766
20260430,20260505,28905,5,2,5391,349,0.0647
20260430,20260506,28905,6,3,5391,316,0.0586
20260430,20260507,28905,7,4,5391,317,0.0588
20260430,20260508,28905,8,5,5391,279,0.0518
20260430,20260509,28905,9,6,5391,267,0.0495
20260430,20260510,28905,10,7,5391,313,0.0581
20260430,20260511,28905,11,1,5391,271,0.0503
20260430,20260512,28905,12,2,5391,230,0.0427
20260430,20260513,28905,13,3,5391,220,0.0408
20260430,20260514,28905,14,4,5391,242,0.0449
20260430,20260515,28905,15,5,5391,219,0.0406
20260430,20260516,28905,16,6,5391,207,0.0384
20260430,20260517,28905,17,7,5391,242,0.0449
20260430,20260518,28905,18,1,5391,245,0.0454
20260501,20260502,28905,1,6,7242,1049,0.1448
20260501,20260503,28905,2,7,7242,677,0.0935
20260501,20260504,28905,3,1,7242,537,0.0742
20260501,20260505,28905,4,2,7242,423,0.0584
20260501,20260506,28905,5,3,7242,393,0.0543
20260501,20260507,28905,6,4,7242,353,0.0487
20260501,20260508,28905,7,5,7242,309,0.0427
20260501,20260509,28905,8,6,7242,356,0.0492
20260501,20260510,28905,9,7,7242,385,0.0532
20260501,20260511,28905,10,1,7242,360,0.0497
20260501,20260512,28905,11,2,7242,277,0.0382
20260501,20260513,28905,12,3,7242,264,0.0365
20260501,20260514,28905,13,4,7242,248,0.0342
20260501,20260515,28905,14,5,7242,274,0.0378
20260501,20260516,28905,15,6,7242,262,0.0362
20260501,20260517,28905,16,7,7242,288,0.0398
20260501,20260518,28905,17,1,7242,271,0.0374
20260502,20260503,28905,1,7,8846,1340,0.1515
20260502,20260504,28905,2,1,8846,738,0.0834
20260502,20260505,28905,3,2,8846,514,0.0581
20260502,20260506,28905,4,3,8846,503,0.0569
20260502,20260507,28905,5,4,8846,448,0.0506
20260502,20260508,28905,6,5,8846,395,0.0447
20260502,20260509,28905,7,6,8846,452,0.0511
20260502,20260510,28905,8,7,8846,533,0.0603
20260502,20260511,28905,9,1,8846,437,0.0494
20260502,20260512,28905,10,2,8846,337,0.0381
20260502,20260513,28905,11,3,8846,318,0.0359
20260502,20260514,28905,12,4,8846,311,0.0352
20260502,20260515,28905,13,5,8846,309,0.0349
20260502,20260516,28905,14,6,8846,340,0.0384
20260502,20260517,28905,15,7,8846,357,0.0404
20260502,20260518,28905,16,1,8846,331,0.0374
20260503,20260504,28905,1,1,9457,1384,0.1463
20260503,20260505,28905,2,2,9457,707,0.0748
20260503,20260506,28905,3,3,9457,596,0.063
20260503,20260507,28905,4,4,9457,518,0.0548
20260503,20260508,28905,5,5,9457,500,0.0529
20260503,20260509,28905,6,6,9457,511,0.054
20260503,20260510,28905,7,7,9457,647,0.0684
20260503,20260511,28905,8,1,9457,550,0.0582
20260503,20260512,28905,9,2,9457,374,0.0395
20260503,20260513,28905,10,3,9457,329,0.0348
20260503,20260514,28905,11,4,9457,378,0.04
20260503,20260515,28905,12,5,9457,392,0.0415
20260503,20260516,28905,13,6,9457,390,0.0412
20260503,20260517,28905,14,7,9457,401,0.0424
20260503,20260518,28905,15,1,9457,388,0.041
20260504,20260505,28905,1,2,9223,1239,0.1343
20260504,20260506,28905,2,3,9223,727,0.0788
20260504,20260507,28905,3,4,9223,609,0.066
20260504,20260508,28905,4,5,9223,511,0.0554
20260504,20260509,28905,5,6,9223,543,0.0589
20260504,20260510,28905,6,7,9223,636,0.069
20260504,20260511,28905,7,1,9223,550,0.0596
20260504,20260512,28905,8,2,9223,403,0.0437
20260504,20260513,28905,9,3,9223,378,0.041
20260504,20260514,28905,10,4,9223,361,0.0391
20260504,20260515,28905,11,5,9223,380,0.0412
20260504,20260516,28905,12,6,9223,359,0.0389
20260504,20260517,28905,13,7,9223,413,0.0448
20260504,20260518,28905,14,1,9223,391,0.0424
20260505,20260506,28905,1,3,7251,951,0.1312
20260505,20260507,28905,2,4,7251,585,0.0807
20260505,20260508,28905,3,5,7251,523,0.0721
20260505,20260509,28905,4,6,7251,410,0.0565
20260505,20260510,28905,5,7,7251,514,0.0709
20260505,20260511,28905,6,1,7251,473,0.0652
20260505,20260512,28905,7,2,7251,360,0.0496
20260505,20260513,28905,8,3,7251,328,0.0452
20260505,20260514,28905,9,4,7251,310,0.0428
20260505,20260515,28905,10,5,7251,297,0.041
20260505,20260516,28905,11,6,7251,251,0.0346
20260505,20260517,28905,12,7,7251,326,0.045
20260505,20260518,28905,13,1,7251,345,0.0476
20260506,20260507,28905,1,4,7302,1045,0.1431
20260506,20260508,28905,2,5,7302,618,0.0846
20260506,20260509,28905,3,6,7302,542,0.0742
20260506,20260510,28905,4,7,7302,596,0.0816
20260506,20260511,28905,5,1,7302,488,0.0668
20260506,20260512,28905,6,2,7302,368,0.0504
20260506,20260513,28905,7,3,7302,342,0.0468
20260506,20260514,28905,8,4,7302,339,0.0464
20260506,20260515,28905,9,5,7302,331,0.0453
20260506,20260516,28905,10,6,7302,339,0.0464
20260506,20260517,28905,11,7,7302,359,0.0492
20260506,20260518,28905,12,1,7302,362,0.0496
20260507,20260508,28905,1,5,7090,1001,0.1412
20260507,20260509,28905,2,6,7090,696,0.0982
20260507,20260510,28905,3,7,7090,604,0.0852
20260507,20260511,28905,4,1,7090,555,0.0783
20260507,20260512,28905,5,2,7090,412,0.0581
20260507,20260513,28905,6,3,7090,404,0.057
20260507,20260514,28905,7,4,7090,384,0.0542
20260507,20260515,28905,8,5,7090,392,0.0553
20260507,20260516,28905,9,6,7090,349,0.0492
20260507,20260517,28905,10,7,7090,384,0.0542
20260507,20260518,28905,11,1,7090,353,0.0498
20260508,20260509,28905,1,6,7287,951,0.1305
20260508,20260510,28905,2,7,7287,697,0.0956
20260508,20260511,28905,3,1,7287,576,0.079
20260508,20260512,28905,4,2,7287,400,0.0549
20260508,20260513,28905,5,3,7287,390,0.0535
20260508,20260514,28905,6,4,7287,377,0.0517
20260508,20260515,28905,7,5,7287,389,0.0534
20260508,20260516,28905,8,6,7287,330,0.0453
20260508,20260517,28905,9,7,7287,350,0.048
20260508,20260518,28905,10,1,7287,319,0.0438
20260509,20260510,28905,1,7,8308,1138,0.137
20260509,20260511,28905,2,1,8308,695,0.0837
20260509,20260512,28905,3,2,8308,513,0.0617
20260509,20260513,28905,4,3,8308,434,0.0522
20260509,20260514,28905,5,4,8308,429,0.0516
20260509,20260515,28905,6,5,8308,420,0.0506
20260509,20260516,28905,7,6,8308,415,0.05
20260509,20260517,28905,8,7,8308,402,0.0484
20260509,20260518,28905,9,1,8308,353,0.0425
20260510,20260511,28905,1,1,10990,1460,0.1328
20260510,20260512,28905,2,2,10990,815,0.0742
20260510,20260513,28905,3,3,10990,594,0.054
20260510,20260514,28905,4,4,10990,559,0.0509
20260510,20260515,28905,5,5,10990,556,0.0506
20260510,20260516,28905,6,6,10990,534,0.0486
20260510,20260517,28905,7,7,10990,622,0.0566
20260510,20260518,28905,8,1,10990,543,0.0494
20260511,20260512,28905,1,2,10567,1166,0.1103
20260511,20260513,28905,2,3,10567,686,0.0649
20260511,20260514,28905,3,4,10567,559,0.0529
20260511,20260515,28905,4,5,10567,572,0.0541
20260511,20260516,28905,5,6,10567,550,0.052
20260511,20260517,28905,6,7,10567,574,0.0543
20260511,20260518,28905,7,1,10567,544,0.0515
20260429,20260430,28906,1,4,2488,467,0.1877
20260429,20260501,28906,2,5,2488,291,0.117
20260429,20260502,28906,3,6,2488,258,0.1037
20260429,20260503,28906,4,7,2488,214,0.086
20260429,20260504,28906,5,1,2488,181,0.0727
20260429,20260505,28906,6,2,2488,169,0.0679
20260429,20260506,28906,7,3,2488,142,0.0571
20260429,20260507,28906,8,4,2488,123,0.0494
20260429,20260508,28906,9,5,2488,153,0.0615
20260429,20260509,28906,10,6,2488,123,0.0494
20260429,20260510,28906,11,7,2488,163,0.0655
20260429,20260511,28906,12,1,2488,170,0.0683
20260429,20260512,28906,13,2,2488,131,0.0527
20260429,20260513,28906,14,3,2488,113,0.0454
20260429,20260515,28906,16,5,2488,133,0.0535
20260429,20260516,28906,17,6,2488,111,0.0446
20260429,20260517,28906,18,7,2488,122,0.049
20260429,20260518,28906,19,1,2488,101,0.0406
20260430,20260501,28906,1,5,5500,848,0.1542
