abcode,rate_type,lcx,retention_rate,retention_rate_source,power_a,power_b
28905,raw,1,0.14150769,真实,0.12296843,-0.430971
28905,raw,2,0.08714615,真实,0.12296843,-0.430971
28905,raw,3,0.07060000,真实,0.12296843,-0.430971
28905,raw,4,0.06278462,真实,0.12296843,-0.430971
28905,raw,5,0.05831538,真实,0.12296843,-0.430971
28905,raw,6,0.05508462,真实,0.12296843,-0.430971
28905,raw,7,0.05375385,真实,0.12296843,-0.430971
28905,raw,8,0.05100833,真实,0.12296843,-0.430971
28905,raw,9,0.04699091,真实,0.12296843,-0.430971
28905,raw,10,0.04577000,真实,0.12296843,-0.430971
28905,raw,11,0.04410000,真实,0.12296843,-0.430971
28905,raw,12,0.04298750,真实,0.12296843,-0.430971
28905,raw,13,0.04121429,真实,0.12296843,-0.430971
28905,raw,14,0.04306667,真实,0.12296843,-0.430971
28905,raw,15,0.03827654,预估,0.12296843,-0.430971
28905,raw,16,0.03722658,预估,0.12296843,-0.430971
28905,raw,17,0.03626654,预估,0.12296843,-0.430971
28905,raw,18,0.03538408,预估,0.12296843,-0.430971
28905,raw,19,0.03456911,预估,0.12296843,-0.430971
28905,raw,20,0.03381332,预估,0.12296843,-0.430971
28905,raw,21,0.03310974,预估,0.12296843,-0.430971
28905,raw,22,0.03245254,预估,0.12296843,-0.430971
28905,raw,23,0.03183675,预估,0.12296843,-0.430971
28905,raw,24,0.03125813,预估,0.12296843,-0.430971
28905,raw,25,0.03071301,预估,0.12296843,-0.430971
28905,raw,26,0.03019823,预估,0.12296843,-0.430971
28905,raw,27,0.02971103,预估,0.12296843,-0.430971
28905,raw,28,0.02924899,预估,0.12296843,-0.430971
28905,raw,29,0.02880998,预估,0.12296843,-0.430971
28905,raw,30,0.02839211,预估,0.12296843,-0.430971
28905,raw,31,0.02799371,预估,0.12296843,-0.430971
28905,raw,32,0.02761328,预估,0.12296843,-0.430971
28905,raw,33,0.02724950,预估,0.12296843,-0.430971
28905,raw,34,0.02690116,预估,0.12296843,-0.430971
28905,raw,35,0.02656718,预估,0.12296843,-0.430971
28905,raw,36,0.02624658,预估,0.12296843,-0.430971
28905,raw,37,0.02593848,预估,0.12296843,-0.430971
28905,raw,38,0.02564207,预估,0.12296843,-0.430971
28905,raw,39,0.02535662,预估,0.12296843,-0.430971
28905,raw,40,0.02508145,预估,0.12296843,-0.430971
28905,raw,41,0.02481595,预估,0.12296843,-0.430971
28905,raw,42,0.02455957,预估,0.12296843,-0.430971
28905,raw,43,0.02431177,预估,0.12296843,-0.430971
28905,raw,44,0.02407208,预估,0.12296843,-0.430971
28905,raw,45,0.02384006,预估,0.12296843,-0.430971
28905,raw,46,0.02361531,预估,0.12296843,-0.430971
