country_name,os_type,period_type,renewal_k,renewal_rate,period_k_renewed_orders,first_period_paid_orders,n_source_pay_date_rows
其他,android,周,1,0.57703081,412,714,67
其他,android,周,2,0.40620592,288,709,63
其他,android,周,3,0.30268741,214,707,61
其他,android,周,4,0.25354108,179,706,60
其他,android,周,5,0.22079772,155,702,56
其他,android,周,6,0.19142857,134,700,54
其他,android,周,7,0.16546763,115,695,49
其他,android,周,8,0.14100719,98,695,49
其他,android,周,9,0.12554113,87,693,48
其他,android,周,10,0.11304348,78,690,46
其他,android,周,11,0.09489051,65,685,43
其他,android,周,12,0.08382353,57,680,39
其他,android,周,13,0.07237814,49,677,37
其他,android,周,14,0.05952381,35,588,31
其他,android,周,15,0.05811138,24,413,24
其他,android,周,16,0.04417671,11,249,17
其他,android,周,17,0.04301075,4,93,10
其他,android,周,18,0.14285714,1,7,3
其他,android,年,1,0.38746155,17886,46162,503
其他,android,年,2,0.23775650,3476,14620,138
其他,android,月,1,0.55872956,56311,100784,837
其他,android,月,2,0.39394926,38739,98335,806
其他,android,月,3,0.31357845,30149,96145,778
其他,android,月,4,0.26284518,24729,94082,747
其他,android,月,5,0.22607595,20539,90850,716
其他,android,月,6,0.19854436,17486,88071,686
其他,android,月,7,0.17690342,15026,84939,655
其他,android,月,8,0.15899044,12983,81659,625
其他,android,月,9,0.14384474,11236,78112,594
其他,android,月,10,0.13153899,9789,74419,564
其他,android,月,11,0.12138581,8598,70832,534
其他,android,月,12,0.11229563,7521,66975,503
其他,android,月,13,0.10459485,6631,63397,473
其他,android,月,14,0.09809815,5875,59889,442
其他,android,月,15,0.09248912,5247,56731,414
其他,android,月,16,0.08722730,4650,53309,383
其他,android,月,17,0.08257603,4089,49518,352
其他,android,月,18,0.07784962,3600,46243,322
其他,android,月,19,0.07401358,3172,42857,291
其他,android,月,20,0.06987617,2765,39570,261
其他,android,月,21,0.06597232,2369,35909,230
其他,android,月,22,0.06160915,1971,31992,199
其他,android,月,23,0.05774979,1623,28104,169
其他,android,月,24,0.05424149,1314,24225,138
其他,android,月,25,0.05015489,1020,20337,108
其他,android,月,26,0.04609483,733,15902,77
其他,android,月,27,0.04364274,473,10838,48
其他,android,月,28,0.03353414,167,4980,17
其他,ios,周,1,0.50022232,2250,4498,122
其他,ios,周,2,0.34858588,1516,4349,115
其他,ios,周,3,0.27768516,1166,4199,108
其他,ios,周,4,0.23029858,941,4086,101
其他,ios,周,5,0.19713712,785,3982,94
其他,ios,周,6,0.17445483,672,3852,87
其他,ios,周,7,0.15690489,584,3722,80
其他,ios,周,8,0.14265890,514,3603,73
其他,ios,周,9,0.12649026,435,3439,66
其他,ios,周,10,0.11686671,370,3166,59
其他,ios,周,11,0.10331721,299,2894,52
其他,ios,周,12,0.09237098,247,2674,45
其他,ios,周,13,0.08212959,199,2423,38
其他,ios,周,14,0.07467205,148,1982,31
其他,ios,周,15,0.06726825,82,1219,24
其他,ios,周,16,0.06542056,42,642,17
其他,ios,周,17,0.09036145,15,166,10
其他,ios,周,18,0.00000000,0,4,3
其他,ios,年,1,0.32826419,50705,154464,503
其他,ios,年,2,0.17459400,7246,41502,138
其他,ios,月,1,0.51119555,70363,137644,838
其他,ios,月,2,0.36588111,47787,130608,807
其他,ios,月,3,0.29157497,35906,123145,779
其他,ios,月,4,0.24403553,28487,116733,748
其他,ios,月,5,0.21011013,23143,110147,717
其他,ios,月,6,0.18318284,19171,104655,687
其他,ios,月,7,0.16239875,16140,99385,656
其他,ios,月,8,0.14560696,13722,94240,626
其他,ios,月,9,0.13202279,11679,88462,595
其他,ios,月,10,0.12140707,9964,82071,564
其他,ios,月,11,0.11182658,8527,76252,534
其他,ios,月,12,0.10301781,7295,70813,503
其他,ios,月,13,0.09445415,6271,66392,473
其他,ios,月,14,0.08809809,5439,61738,442
其他,ios,月,15,0.08224620,4741,57644,414
其他,ios,月,16,0.07586723,4057,53475,383
其他,ios,月,17,0.06929356,3438,49615,352
其他,ios,月,18,0.06374563,2933,46011,322
其他,ios,月,19,0.05937136,2499,42091,291
其他,ios,月,20,0.05572396,2114,37937,261
其他,ios,月,21,0.05087608,1687,33159,230
其他,ios,月,22,0.04692911,1328,28298,199
其他,ios,月,23,0.04335964,1033,23824,169
其他,ios,月,24,0.03849107,752,19537,138
其他,ios,月,25,0.03523945,546,15494,108
其他,ios,月,26,0.03187495,365,11451,77
其他,ios,月,27,0.02985075,216,7236,48
其他,ios,月,28,0.02700730,74,2740,17
加拿大,android,周,1,0.47500000,19,40,25
加拿大,android,周,2,0.38461538,15,39,24
加拿大,android,周,3,0.35897436,14,39,24
加拿大,android,周,4,0.25641026,10,39,24
加拿大,android,周,5,0.16216216,6,37,22
加拿大,android,周,6,0.10810811,4,37,22
加拿大,android,周,7,0.10810811,4,37,22
加拿大,android,周,8,0.10810811,4,37,22
加拿大,android,周,9,0.11111111,4,36,21
加拿大,android,周,10,0.08333333,3,36,21
加拿大,android,周,11,0.08333333,3,36,21
加拿大,android,周,12,0.05555556,2,36,21
加拿大,android,周,13,0.02857143,1,35,20
加拿大,android,周,14,0.03333333,1,30,17
加拿大,android,周,15,0.00000000,0,21,14
加拿大,android,周,16,0.00000000,0,13,9
加拿大,android,周,17,0.00000000,0,6,5
加拿大,android,周,18,0.00000000,0,1,1
加拿大,android,年,1,0.42543860,1649,3876,503
加拿大,android,年,2,0.26552053,278,1047,138
加拿大,android,月,1,0.58333333,3836,6576,836
加拿大,android,月,2,0.42028081,2694,6410,805
加拿大,android,月,3,0.34145169,2131,6241,777
加拿大,android,月,4,0.28744277,1758,6116,747
加拿大,android,月,5,0.25143049,1494,5942,716
加拿大,android,月,6,0.22110028,1270,5744,686
加拿大,android,月,7,0.19551050,1080,5524,655
加拿大,android,月,8,0.17986019,952,5293,625
加拿大,android,月,9,0.16435918,831,5056,594
加拿大,android,月,10,0.15067638,724,4805,564
加拿大,android,月,11,0.13813747,623,4510,534
加拿大,android,月,12,0.12764457,543,4254,503
加拿大,android,月,13,0.11915423,479,4020,473
加拿大,android,月,14,0.11189913,426,3807,442
加拿大,android,月,15,0.10317903,370,3586,414
加拿大,android,月,16,0.09523810,322,3381,383
加拿大,android,月,17,0.09015610,283,3139,352
加拿大,android,月,18,0.08872902,259,2919,322
加拿大,android,月,19,0.08426547,226,2682,291
加拿大,android,月,20,0.07667210,188,2452,261
加拿大,android,月,21,0.07257694,158,2177,230
加拿大,android,月,22,0.07042254,135,1917,199
加拿大,android,月,23,0.06825107,112,1641,169
加拿大,android,月,24,0.06327273,87,1375,138
加拿大,android,月,25,0.05892857,66,1120,108
加拿大,android,月,26,0.05166475,45,871,77
加拿大,android,月,27,0.04856115,27,556,48
加拿大,android,月,28,0.04761905,10,210,17
加拿大,ios,周,1,0.44132653,173,392,106
加拿大,ios,周,2,0.32360743,122,377,99
加拿大,ios,周,3,0.27247191,97,356,93
加拿大,ios,周,4,0.22478386,78,347,88
加拿大,ios,周,5,0.18404908,60,326,81
加拿大,ios,周,6,0.15434084,48,311,74
加拿大,ios,周,7,0.14432990,42,291,67
加拿大,ios,周,8,0.12903226,36,279,61
加拿大,ios,周,9,0.10984848,29,264,54
加拿大,ios,周,10,0.09338521,24,257,48
加拿大,ios,周,11,0.08800000,22,250,43
加拿大,ios,周,12,0.07377049,18,244,38
加拿大,ios,周,13,0.06751055,16,237,33
加拿大,ios,周,14,0.06190476,13,210,28
