country_name,os_type,period_type,renewal_k,renewal_rate,period_k_renewed_orders,first_period_paid_orders,n_source_pay_date_rows,renewal_rate_source
其他,android,周,1,0.57703081,412,714,67,真实
其他,android,周,2,0.40620592,288,709,63,真实
其他,android,周,3,0.30268741,214,707,61,真实
其他,android,周,4,0.25354108,179,706,60,真实
其他,android,周,5,0.22079772,155,702,56,真实
其他,android,周,6,0.19982163,,714,,预估
其他,android,周,7,0.18203224,,714,,预估
其他,android,周,8,0.16790771,,714,,预估
其他,android,周,9,0.15636154,,714,,预估
其他,android,周,10,0.14670757,,714,,预估
其他,android,周,11,0.13848900,,714,,预估
其他,android,周,12,0.13138871,,714,,预估
其他,android,周,13,0.12517899,,714,,预估
其他,android,周,14,0.11969165,,714,,预估
其他,android,周,15,0.11479949,,714,,预估
其他,android,周,16,0.11040435,,714,,预估
其他,android,周,17,0.10642914,,714,,预估
其他,android,周,18,0.10281240,,714,,预估
其他,android,周,19,0.09950444,,714,,预估
其他,android,周,20,0.09646463,,714,,预估
其他,android,周,21,0.09365938,,714,,预估
其他,android,周,22,0.09106067,,714,,预估
其他,android,周,23,0.08864489,,714,,预估
其他,android,周,24,0.08639202,,714,,预估
其他,android,周,25,0.08428494,,714,,预估
其他,android,周,26,0.08230894,,714,,预估
其他,android,周,27,0.08045127,,714,,预估
其他,android,周,28,0.07870085,,714,,预估
其他,android,周,29,0.07704797,,714,,预估
其他,android,周,30,0.07548411,,714,,预估
其他,android,周,31,0.07400173,,714,,预估
其他,android,周,32,0.07259417,,714,,预估
其他,android,周,33,0.07125548,,714,,预估
其他,android,周,34,0.06998035,,714,,预估
其他,android,周,35,0.06876403,,714,,预估
其他,android,周,36,0.06760223,,714,,预估
其他,android,周,37,0.06649110,,714,,预估
其他,android,周,38,0.06542715,,714,,预估
其他,android,周,39,0.06440720,,714,,预估
其他,android,周,40,0.06342838,,714,,预估
其他,android,周,41,0.06248807,,714,,预估
其他,android,周,42,0.06158385,,714,,预估
其他,android,周,43,0.06071354,,714,,预估
其他,android,周,44,0.05987512,,714,,预估
其他,android,周,45,0.05906673,,714,,预估
其他,android,周,46,0.05828667,,714,,预估
其他,android,周,47,0.05753336,,714,,预估
其他,android,周,48,0.05680534,,714,,预估
其他,android,周,49,0.05610126,,714,,预估
其他,android,周,50,0.05541987,,714,,预估
其他,android,周,51,0.05476001,,714,,预估
其他,android,周,52,0.05412059,,714,,预估
其他,android,周,53,0.05350061,,714,,预估
其他,android,周,54,0.05289912,,714,,预估
其他,android,周,55,0.05231525,,714,,预估
其他,android,周,56,0.05174817,,714,,预估
其他,android,周,57,0.05119711,,714,,预估
其他,android,周,58,0.05066135,,714,,预估
其他,android,周,59,0.05014021,,714,,预估
其他,android,周,60,0.04963306,,714,,预估
其他,android,周,61,0.04913930,,714,,预估
其他,android,周,62,0.04865836,,714,,预估
其他,android,周,63,0.04818970,,714,,预估
其他,android,周,64,0.04773284,,714,,预估
其他,android,周,65,0.04728729,,714,,预估
其他,android,周,66,0.04685261,,714,,预估
其他,android,周,67,0.04642837,,714,,预估
其他,android,周,68,0.04601418,,714,,预估
其他,android,周,69,0.04560964,,714,,预估
其他,android,周,70,0.04521441,,714,,预估
其他,android,周,71,0.04482813,,714,,预估
其他,android,周,72,0.04445049,,714,,预估
其他,android,周,73,0.04408118,,714,,预估
其他,android,周,74,0.04371989,,714,,预估
其他,android,周,75,0.04336636,,714,,预估
其他,android,周,76,0.04302031,,714,,预估
其他,android,周,77,0.04268149,,714,,预估
其他,android,周,78,0.04234967,,714,,预估
其他,android,周,79,0.04202460,,714,,预估
其他,android,周,80,0.04170606,,714,,预估
其他,android,周,81,0.04139386,,714,,预估
其他,android,周,82,0.04108778,,714,,预估
其他,android,周,83,0.04078763,,714,,预估
其他,android,周,84,0.04049323,,714,,预估
其他,android,周,85,0.04020440,,714,,预估
其他,android,周,86,0.03992097,,714,,预估
其他,android,周,87,0.03964279,,714,,预估
其他,android,周,88,0.03936968,,714,,预估
其他,android,周,89,0.03910152,,714,,预估
其他,android,周,90,0.03883815,,714,,预估
其他,android,周,91,0.03857943,,714,,预估
其他,android,周,92,0.03832523,,714,,预估
其他,android,周,93,0.03807543,,714,,预估
其他,android,周,94,0.03782991,,714,,预估
其他,android,周,95,0.03758854,,714,,预估
其他,android,周,96,0.03735121,,714,,预估
其他,android,周,97,0.03711782,,714,,预估
其他,android,周,98,0.03688826,,714,,预估
其他,android,周,99,0.03666243,,714,,预估
其他,android,周,100,0.03644023,,714,,预估
其他,android,年,1,0.38746155,17886,46162,503,真实
其他,android,年,2,0.23775650,3476,14620,138,真实
其他,android,年,3,0.17867511,,46162,,预估
其他,android,年,4,0.14589358,,46162,,预估
其他,android,年,5,0.12466842,,46162,,预估
其他,android,年,6,0.10963970,,46162,,预估
其他,android,年,7,0.09835564,,46162,,预估
其他,android,年,8,0.08952410,,46162,,预估
其他,android,年,9,0.08239475,,46162,,预估
其他,android,年,10,0.07649979,,46162,,预估
