country_name,os_type,period_type,renewal_k,renewal_rate,period_k_renewed_orders,first_period_paid_orders,n_source_pay_date_rows,renewal_rate_source
其他,android,周,1,0.57762238,413,715,0,真实
其他,android,周,2,0.40646976,289,711,0,真实
其他,android,周,3,0.30367232,215,708,0,真实
其他,android,周,4,0.25354108,179,706,0,真实
其他,android,周,5,0.22079772,155,702,0,真实
其他,android,周,6,0.19142857,134,700,0,真实
其他,android,周,7,0.16666667,116,696,0,真实
其他,android,周,8,0.16038644,,715,,预估
其他,android,周,9,0.14879084,,715,,预估
其他,android,周,10,0.13913045,,715,,预估
其他,android,周,11,0.13093301,,715,,预估
其他,android,周,12,0.12387181,,715,,预估
其他,android,周,13,0.11771290,,715,,预估
其他,android,周,14,0.11228399,,715,,预估
其他,android,周,15,0.10745509,,715,,预估
其他,android,周,16,0.10312613,,715,,预估
其他,android,周,17,0.09921868,,715,,预估
其他,android,周,18,0.09567034,,715,,预估
其他,android,周,19,0.09243075,,715,,预估
其他,android,周,20,0.08945884,,715,,预估
其他,android,周,21,0.08672068,,715,,预估
其他,android,周,22,0.08418801,,715,,预估
其他,android,周,23,0.08183708,,715,,预估
其他,android,周,24,0.07964776,,715,,预估
其他,android,周,25,0.07760287,,715,,预估
其他,android,周,26,0.07568767,,715,,预估
其他,android,周,27,0.07388940,,715,,预估
其他,android,周,28,0.07219696,,715,,预估
其他,android,周,29,0.07060068,,715,,预估
其他,android,周,30,0.06909205,,715,,预估
其他,android,周,31,0.06766357,,715,,预估
其他,android,周,32,0.06630859,,715,,预估
其他,android,周,33,0.06502121,,715,,预估
其他,android,周,34,0.06379616,,715,,预估
其他,android,周,35,0.06262871,,715,,预估
其他,android,周,36,0.06151463,,715,,预估
其他,android,周,37,0.06045008,,715,,预估
其他,android,周,38,0.05943162,,715,,预估
其他,android,周,39,0.05845612,,715,,预估
其他,android,周,40,0.05752073,,715,,预估
其他,android,周,41,0.05662285,,715,,预估
其他,android,周,42,0.05576013,,715,,预估
其他,android,周,43,0.05493039,,715,,预估
其他,android,周,44,0.05413166,,715,,预估
其他,android,周,45,0.05336210,,715,,预估
其他,android,周,46,0.05262004,,715,,预估
其他,android,周,47,0.05190393,,715,,预估
其他,android,周,48,0.05121234,,715,,预估
其他,android,周,49,0.05054394,,715,,预估
其他,android,周,50,0.04989751,,715,,预估
其他,android,周,51,0.04927191,,715,,预估
其他,android,周,52,0.04866607,,715,,预估
其他,android,周,53,0.04807900,,715,,预估
其他,android,周,54,0.04750980,,715,,预估
其他,android,周,55,0.04695760,,715,,预估
其他,android,周,56,0.04642159,,715,,预估
其他,android,周,57,0.04590103,,715,,预估
其他,android,周,58,0.04539521,,715,,预估
其他,android,周,59,0.04490346,,715,,预估
其他,android,周,60,0.04442518,,715,,预估
其他,android,周,61,0.04395977,,715,,预估
其他,android,周,62,0.04350669,,715,,预估
其他,android,周,63,0.04306541,,715,,预估
其他,android,周,64,0.04263545,,715,,预估
其他,android,周,65,0.04221636,,715,,预估
其他,android,周,66,0.04180769,,715,,预估
其他,android,周,67,0.04140903,,715,,预估
其他,android,周,68,0.04102000,,715,,预估
其他,android,周,69,0.04064022,,715,,预估
其他,android,周,70,0.04026934,,715,,预估
其他,android,周,71,0.03990704,,715,,预估
其他,android,周,72,0.03955300,,715,,预估
其他,android,周,73,0.03920692,,715,,预估
其他,android,周,74,0.03886852,,715,,预估
其他,android,周,75,0.03853752,,715,,预估
其他,android,周,76,0.03821366,,715,,预估
其他,android,周,77,0.03789671,,715,,预估
其他,android,周,78,0.03758643,,715,,预估
其他,android,周,79,0.03728259,,715,,预估
其他,android,周,80,0.03698498,,715,,预估
其他,android,周,81,0.03669341,,715,,预估
其他,android,周,82,0.03640766,,715,,预估
其他,android,周,83,0.03612757,,715,,预估
其他,android,周,84,0.03585295,,715,,预估
其他,android,周,85,0.03558362,,715,,预估
其他,android,周,86,0.03531944,,715,,预估
其他,android,周,87,0.03506023,,715,,预估
其他,android,周,88,0.03480586,,715,,预估
其他,android,周,89,0.03455618,,715,,预估
其他,android,周,90,0.03431105,,715,,预估
其他,android,周,91,0.03407034,,715,,预估
其他,android,周,92,0.03383392,,715,,预估
