segment,os_type,period_type,renewal_k,renewal_rate,period_k_renewed_orders,first_period_paid_orders,renewal_rate_source,source_run,date_p
分端,android,月,1,0.519335,72587,139769,最新续费率_真实,20260519,20260518
分端,android,月,2,0.355112,51336,144563,最新续费率_真实,20260519,20260518
分端,android,月,3,0.276791,41207,148874,最新续费率_真实,20260519,20260518
分端,android,月,4,0.228358,35031,153404,最新续费率_真实,20260519,20260518
分端,android,月,5,0.196922,30413,154442,最新续费率_真实,20260519,20260518
分端,android,月,6,0.172348,26900,156080,最新续费率_真实,20260519,20260518
分端,android,月,7,0.153411,24095,157062,最新续费率_真实,20260519,20260518
分端,android,月,8,0.138981,21732,156367,最新续费率_真实,20260519,20260518
分端,android,月,9,0.126505,19780,156358,最新续费率_真实,20260519,20260518
分端,android,月,10,0.116963,18206,155656,最新续费率_真实,20260519,20260518
分端,android,月,11,0.108778,16880,155179,最新续费率_真实,20260519,20260518
分端,android,月,12,0.101445,15694,154705,最新续费率_真实,20260519,20260518
分端,ios,月,1,0.487156,148401,304627,最新续费率_真实,20260519,20260518
分端,ios,月,2,0.344247,104699,304139,最新续费率_真实,20260519,20260518
分端,ios,月,3,0.273258,82930,303486,最新续费率_真实,20260519,20260518
分端,ios,月,4,0.227578,68783,302239,最新续费率_真实,20260519,20260518
分端,ios,月,5,0.196578,57788,293970,最新续费率_真实,20260519,20260518
分端,ios,月,6,0.173152,50201,289925,最新续费率_真实,20260519,20260518
分端,ios,月,7,0.156898,44912,286250,最新续费率_真实,20260519,20260518
分端,ios,月,8,0.143521,40488,282105,最新续费率_真实,20260519,20260518
分端,ios,月,9,0.133155,37108,278683,最新续费率_真实,20260519,20260518
分端,ios,月,10,0.124872,33899,271469,最新续费率_真实,20260519,20260518
分端,ios,月,11,0.117381,31110,265035,最新续费率_真实,20260519,20260518
分端,ios,月,12,0.110565,28653,259150,最新续费率_真实,20260519,20260518
整体,ALL,月,1,0.497277,220988,444396,最新续费率_真实,20260519,20260518
整体,ALL,月,2,0.347748,156035,448702,最新续费率_真实,20260519,20260518
整体,ALL,月,3,0.274421,124137,452360,最新续费率_真实,20260519,20260518
整体,ALL,月,4,0.227841,103814,455643,最新续费率_真实,20260519,20260518
整体,ALL,月,5,0.196696,88201,448412,最新续费率_真实,20260519,20260518
整体,ALL,月,6,0.172870,77101,446005,最新续费率_真实,20260519,20260518
整体,ALL,月,7,0.155662,69007,443312,最新续费率_真实,20260519,20260518
整体,ALL,月,8,0.141902,62220,438472,最新续费率_真实,20260519,20260518
整体,ALL,月,9,0.130765,56888,435041,最新续费率_真实,20260519,20260518
整体,ALL,月,10,0.121990,52105,427125,最新续费率_真实,20260519,20260518
整体,ALL,月,11,0.114204,47990,420214,最新续费率_真实,20260519,20260518
整体,ALL,月,12,0.107156,44347,413855,最新续费率_真实,20260519,20260518
