segment,os_type,period_type,renewal_k,renewal_rate,period_k_renewed_orders,first_period_paid_orders,renewal_rate_source,source_run,date_p
分端,android,年,1,0.364313,42951,117896,最新续费率_真实,20260519,20260518
分端,android,年,2,0.226736,27211,120012,最新续费率_真实,20260519,20260518
分端,android,年,3,0.150176,21377,142346,最新续费率_真实,20260519,20260518
分端,ios,年,1,0.288454,190598,660757,最新续费率_真实,20260519,20260518
分端,ios,年,2,0.168482,110134,653685,最新续费率_真实,20260519,20260518
分端,ios,年,3,0.150919,83475,553112,最新续费率_真实,20260519,20260518
整体,ALL,年,1,0.299940,233549,778653,最新续费率_真实,20260519,20260518
整体,ALL,年,2,0.177518,137345,773697,最新续费率_真实,20260519,20260518
整体,ALL,年,3,0.150767,104852,695458,最新续费率_真实,20260519,20260518
分端,android,月,1,0.519335,72587,139769,最新续费率_真实,20260519,20260518
分端,android,月,2,0.355112,51336,144563,最新续费率_真实,20260519,20260518
分端,android,月,3,0.276791,41207,148874,最新续费率_真实,20260519,20260518
分端,android,月,4,0.228358,35031,153404,最新续费率_真实,20260519,20260518
分端,android,月,5,0.196922,30413,154442,最新续费率_真实,20260519,20260518
分端,android,月,6,0.172348,26900,156080,最新续费率_真实,20260519,20260518
分端,android,月,7,0.153411,24095,157062,最新续费率_真实,20260519,20260518
分端,android,月,8,0.138981,21732,156367,最新续费率_真实,20260519,20260518
分端,android,月,9,0.126505,19780,156358,最新续费率_真实,20260519,20260518
分端,android,月,10,0.116963,18206,155656,最新续费率_真实,20260519,20260518
分端,android,月,11,0.108778,16880,155179,最新续费率_真实,20260519,20260518
分端,android,月,12,0.101445,15694,154705,最新续费率_真实,20260519,20260518
分端,android,月,13,0.094530,14608,154533,最新续费率_真实,20260519,20260518
分端,android,月,14,0.088893,13918,156571,最新续费率_真实,20260519,20260518
分端,android,月,15,0.085015,13542,159290,最新续费率_真实,20260519,20260518
分端,android,月,16,0.080705,13636,168962,最新续费率_真实,20260519,20260518
分端,android,月,17,0.077911,13701,175854,最新续费率_真实,20260519,20260518
分端,android,月,18,0.073391,13114,178686,最新续费率_真实,20260519,20260518
分端,android,月,19,0.068753,12562,182713,最新续费率_真实,20260519,20260518
分端,android,月,20,0.065365,12002,183616,最新续费率_真实,20260519,20260518
分端,android,月,21,0.063291,11695,184780,最新续费率_真实,20260519,20260518
分端,android,月,22,0.059825,10852,181395,最新续费率_真实,20260519,20260518
分端,android,月,23,0.057148,10146,177540,最新续费率_真实,20260519,20260518
