requirement_id,requirement_name,versions,shareLink,xlsx,markdown,priority
6131,P0事件必测,8.1.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6131&appId=282&platformAgg=APP,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/P0事件必测_6131.xlsx,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/P0事件必测_6131.md,p1
6134,滤镜滑杆@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6134&appId=282&platformAgg=APP,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/滤镜滑杆@钰静_6134.xlsx,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/滤镜滑杆@钰静_6134.md,p1
6139,Airbrush 去眩光功能位置、小气泡调整（Jamie）@赟晖,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6139&appId=282&platformAgg=APP,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/Airbrush_去眩光功能位置、小气泡调整（Jamie）@赟晖_6139.xlsx,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/Airbrush_去眩光功能位置、小气泡调整（Jamie）@赟晖_6139.md,p1
6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/面部丰盈@钰静_6140.xlsx,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/面部丰盈@钰静_6140.md,p1
6141,个人信息收集@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6141&appId=282&platformAgg=APP,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/个人信息收集@钰静_6141.xlsx,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/个人信息收集@钰静_6141.md,p1
6142,AIGC SDK,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6142&appId=282&platformAgg=APP,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/AIGC_SDK_6142.xlsx,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/AIGC_SDK_6142.md,p1
6143,Airbrush 新增删除用户资料按钮&交互优化（Jamie）@赟晖,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6143&appId=282&platformAgg=APP,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/Airbrush_新增删除用户资料按钮&交互优化（Jamie）@赟晖_6143.xlsx,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/Airbrush_新增删除用户资料按钮&交互优化（Jamie）@赟晖_6143.md,p1
6145,连续包周SKU实验（忻恬）@赟晖,8.0.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6145&appId=282&platformAgg=APP,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/连续包周SKU实验（忻恬）@赟晖_6145.xlsx,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/连续包周SKU实验（忻恬）@赟晖_6145.md,p0
6146,makeup眼妆合并@史钰静,8.0.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6146&appId=282&platformAgg=APP,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/makeup眼妆合并@史钰静_6146.xlsx,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/makeup眼妆合并@史钰静_6146.md,p1
6147,接入LiveX支付挽留AB实验（忻恬）@赟晖,8.1.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6147&appId=282&platformAgg=APP,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/接入LiveX支付挽留AB实验（忻恬）@赟晖_6147.xlsx,/Users/xuyunhui/Documents/项目/.cursor/skills/data_analysis/raw_data/埋点事件/dayu_gt722/requirements/接入LiveX支付挽留AB实验（忻恬）@赟晖_6147.md,p0
