event_id,event_name,event_desc,param_key,param_name,param_desc,param_value,param_value_name,param_value_desc,requirement_type,requirement_id,requirement_name,versions,shareLink
second_func_enter,点击二级功能页面,点击二级功能页面时上报,first_func,一级功能参数,,edit,,,影响事件,6139,Airbrush 去眩光功能位置、小气泡调整（Jamie）@赟晖,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6139&appId=282&platformAgg=APP
second_func_enter,点击二级功能页面,点击二级功能页面时上报,second_func,二级功能参数,,relight,,,影响事件,6139,Airbrush 去眩光功能位置、小气泡调整（Jamie）@赟晖,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6139&appId=282&platformAgg=APP
second_func_enter,点击二级功能页面,点击二级功能页面时上报,from,进入功能来源,,mini_icon,小气泡,从小气泡点击进入报这个mini_icon值，正常点击去，不用报这个from参数,影响事件,6139,Airbrush 去眩光功能位置、小气泡调整（Jamie）@赟晖,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6139&appId=282&platformAgg=APP
popup_show,popup弹窗出现,popup弹窗出现时触发(不包括评分弹窗),pop_name,弹窗name,,personal_data_delete,删除用户资料确认弹窗,,新增事件参数值,6143,Airbrush 新增删除用户资料按钮&交互优化（Jamie）@赟晖,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6143&appId=282&platformAgg=APP
popup_click,点击popup弹窗confirm  button,"点击popup弹窗confirm  button触发
(不包括评分弹窗)",pop_name,弹窗name,,personal_data_delete,删除用户资料确认弹窗点击「delete」按钮,,新增事件参数值,6143,Airbrush 新增删除用户资料按钮&交互优化（Jamie）@赟晖,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6143&appId=282&platformAgg=APP
material_check,素材打勾,应用功能时触发,filters_value,,滑杆值，用户滑到多少报多少,,,,新增事件参数,6134,滤镜滑杆@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6134&appId=282&platformAgg=APP
material_check,素材打勾,应用功能时触发,material_type,素材类型,filters,,,,影响事件,6134,滤镜滑杆@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6134&appId=282&platformAgg=APP
material_check,素材打勾,应用功能时触发,module,模块,edit,,,,影响事件,6134,滤镜滑杆@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6134&appId=282&platformAgg=APP
material_check,素材打勾,应用功能时触发,mids_category_id,分类id,,,,,影响事件,6134,滤镜滑杆@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6134&appId=282&platformAgg=APP
material_check,素材打勾,应用功能时触发,mids_material_id,素材id,,,,,影响事件,6134,滤镜滑杆@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6134&appId=282&platformAgg=APP
second_func_enter,点击二级功能页面,点击二级功能页面时上报,second_func,二级功能参数,,plump,,,新增事件参数值,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_exposure,二级功能曝光,,second_func,,,plump,,,新增事件参数值,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_use,二级功能打勾,应用edit下的二级功能时触发,second_func,二级功能参数,plump,,,,新增事件参数值,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_use,二级功能打勾,应用edit下的二级功能时触发,pl_contour_value,,滑杆值，没用该子功能不报该参数，下同；多人脸用英文逗号隔开，下同,,,,新增事件参数,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_use,二级功能打勾,应用edit下的二级功能时触发,pl_forehead_value,,滑杆值,,,,新增事件参数,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_use,二级功能打勾,应用edit下的二级功能时触发,pl_sockets_value,,滑杆值,,,,新增事件参数,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_use,二级功能打勾,应用edit下的二级功能时触发,pl_eyes_value,,滑杆值,,,,新增事件参数,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_use,二级功能打勾,应用edit下的二级功能时触发,pl_troughs_value,,滑杆值,,,,新增事件参数,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_use,二级功能打勾,应用edit下的二级功能时触发,pl_medial_malar_value,,滑杆值,,,,新增事件参数,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_use,二级功能打勾,应用edit下的二级功能时触发,pl_middle_value,,滑杆值,,,,新增事件参数,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_use,二级功能打勾,应用edit下的二级功能时触发,pl_nasal_base_value,,滑杆值,,,,新增事件参数,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_use,二级功能打勾,应用edit下的二级功能时触发,pl_mouth_value,,滑杆值,,,,新增事件参数,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_use,二级功能打勾,应用edit下的二级功能时触发,pl_chin_value,,滑杆值,,,,新增事件参数,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_use,二级功能打勾,应用edit下的二级功能时触发,is_auto,,没用报0，有用报1,"0,1",,,新增事件参数,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_save,二级功能保存,保存edit下的二级功能,second_func,,plump,,,,新增事件参数值,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_save,二级功能保存,保存edit下的二级功能,plump_selection,,用哪个报哪个英文功能名（功能名有空格的用下划线代替），英文逗号隔开；多次打勾应用上效果的拼接上报,,,,新增事件参数,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
second_func_save,二级功能保存,保存edit下的二级功能,is_auto,,没有报0，有报1,,,,新增事件参数,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
edit_save,编辑保存,结束编辑最终保存时触发,prf_second_func,,,plump,,,新增事件参数值,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
w_subscription_enter,进入订阅页,成功订阅时上报成功付费时上报,source_0,进入订阅页来源-0,f_plump,,,,新增事件参数值,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
w_subscription_enter,进入订阅页,成功订阅时上报成功付费时上报,source_module,进入订阅页来源模块,p_edit,,,,影响事件,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
w_subscription_click,订阅页点击订阅按钮,选中某个plan并点击订阅按钮时上报,source_0,进入订阅页来源-0,f_plump,,,,新增事件参数值,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
w_subscription_click,订阅页点击订阅按钮,选中某个plan并点击订阅按钮时上报,source_module,进入订阅页来源模块,p_edit,,,,影响事件,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
w_subscription_success,订阅成功,进入订阅页时上报,source_0,,f_plump,,,,新增事件参数值,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
w_subscription_success,订阅成功,进入订阅页时上报,source_module,进入订阅页来源模块,p_edit,,,,影响事件,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
first_func_use,一级功能使用,一级功能使用时触发,prf_func_added,,,plump,,,新增事件参数值,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
first_func_use,一级功能使用,一级功能使用时触发,first_func,,,mykit,,,影响事件,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
first_mykit_redirect,,,func_redirected,,,plump,,,新增事件参数,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
w_subscription_success,订阅成功,进入订阅页时上报,source_module,进入订阅页来源模块,,p_edit,,,影响事件,6150,Android新安装用户降低订阅页弹出频率（忻恬）@赟晖,8.0.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6150&appId=282&platformAgg=APP
