event_id,event_name,platform,event_status,event_group,tags,param_key,param_name,param_platform,param_type,param_value_type,param_desc,param_status,event_desc,ios_first_version,android_first_version,ios_param_first_version,android_param_first_version
edit_save,编辑保存,"Android,iOS",已管理,,,unlock_func,通过广告解锁付费功能保存的,"Android,iOS",普通参数,string,ai_tattoo,已管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,mod,,"Android,iOS",普通参数,string,,已管理,结束编辑最终保存时触发,,,8.7.0,8.7.0
edit_save,编辑保存,"Android,iOS",已管理,,,face_num,图片中人脸数,"Android,iOS",普通参数,"string,int",,已管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,prf_first_func,一级功能参数,"Android,iOS",普通参数,string,"多个分割, 一级、二级、三级功能一一对应",已管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,mids_category_id,分类id,"Android,iOS",普通参数,string,,已管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,image_resolution,保存时的图片分辨率,"Android,iOS",普通参数,string,,已管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,trace_info,,"Android,iOS",普通参数,string,,未管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,type,,"Android,iOS",普通参数,string,save_original按钮保存报再type，正常保存流程不报该参数,已管理,结束编辑最终保存时触发,,,8.5.0,8.5.0
edit_save,编辑保存,"Android,iOS",已管理,,,meepo_abcount,,Android,普通参数,string,,未管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,mids_material_id,素材id,"Android,iOS",普通参数,string,,已管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,tab,,"Android,iOS",普通参数,string,smart模式选取，底下的tab英文名 配置ename，mod是classic就填calssic和功能一一对应,已管理,结束编辑最终保存时触发,,,8.7.0,8.7.0
edit_save,编辑保存,"Android,iOS",已管理,,,meepo_abcode,,Android,普通参数,string,,未管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,glitter_id,,Android,普通参数,string,,未管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,is_upload,,"Android,iOS",普通参数,string,"纹身保存的素材是否来自上传，,和素材id一一对应",已管理,结束编辑最终保存时触发,,,8.9.0,8.9.0
edit_save,编辑保存,"Android,iOS",已管理,,,prf_third_func,三级功能参数,"Android,iOS",普通参数,string,只到waist,已管理,结束编辑最终保存时触发,,,7.23.0,7.23.0
edit_save,编辑保存,"Android,iOS",已管理,,,image_format,图片格式,"Android,iOS",普通参数,string,,已管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,prf_share_unlock_func,通过分享解锁付费功能保存的（仅Android有）,"Android,iOS",普通参数,string,,已管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,enhance_quality,照片质量,"Android,iOS",普通参数,string,都有用英文逗号隔开,已管理,结束编辑最终保存时触发,,,8.5.0,8.5.0
edit_save,编辑保存,"Android,iOS",已管理,,,is_watermarked,是否带水印保存,"Android,iOS",普通参数,"string,int",,已管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,prf_hair_func,"只有hair 功能非duffle 素材保存时上报，多个 , 隔开","Android,iOS",普通参数,string,,已管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,prf_theme_type,,"Android,iOS",普通参数,string,,已管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,makeup_id_custom,"仅上报custom，用1表示，多个1用,隔开","Android,iOS",普通参数,string,,已管理,结束编辑最终保存时触发,,,,
edit_save,编辑保存,"Android,iOS",已管理,,,prf_material_type,素材类型,"Android,iOS",普通参数,string,"hair_dye,hairstyles,hair_enrich",已管理,结束编辑最终保存时触发,,,,
