event_id,event_name,platform,event_status,event_group,event_desc,param_count,param_keys
APP_TIME_CONSUME,,Android,未管理,,,11,"firstLaunchActivityName,DEXOPT_cur_profile_size,meepo_abcode,DEXOPT_vdex_size,trace_info,firstResumeConsume,appConsume,meepo_abcount,DEXOPT_art_size,DEXOPT_odex_size,DEXOPT_ref_profile_size"
EVENT_NAME_FUNC_USE_AI_FUNC,,Android,未管理,,,9,"second_func,meepo_abcode,first_func,trace_info,third_func,time,is_success,meepo_abcount,material_name"
Event_CameraSdk_CameraOpen,,Android,未管理,,,0,
Event_CameraSdk_CameraPreTime,,Android,未管理,,,1,CameraUsing_PreviewTime
Filter_enter,,Android,未管理,,,0,
PXLAPM_event,,iOS,未管理,,,4,"currentVC,trace_info,currentMemory,maxMemory"
Share_to_unlock_share,,Android,未管理,,,6,"func,meepo_abcode,trace_info,position,meepo_abcount,platform"
Share_to_unlock_success,,Android,未管理,,,5,"func,meepo_abcode,trace_info,position,meepo_abcount"
WEB_UPLOAD_RESULT,,iOS,未管理,,,7,"isError,isTest,appkey,type,error,url,taskId"
aadd_photos_click,,iOS,未管理,,,2,"button,type"
abcode_enter_test,进入实验,"Android,iOS",已管理,,"用于统计真正触发实验的用户,仅在第一次触发实验现象时上报,既count从0->1",2,"current_abcode,version"
abcode_enter_test_2,,"Android,iOS",未管理,,,2,"current_abcode,version"
abv_entry_enter,,iOS,未管理,,,1,type
abv_entry_show,,iOS,未管理,,,1,type
abv_pop_click,,iOS,未管理,,,1,type
abv_pop_show,,iOS,未管理,,,1,type
account_click,,"Android,iOS",未管理,,,14,"abroad,screen_type,client_channel_id,login_method,account_h5_version,login_platform,mainland_login_plan,platform_type,screen_name,account_sdk_version,current_alert,pre_page,is_agree,element_name"
account_logout_success,,"Android,iOS",未管理,,,3,"account_id,meepo_abcode,meepo_abcount"
account_view,,"Android,iOS",未管理,,,14,"abroad,screen_type,client_channel_id,login_method,account_h5_version,login_platform,mainland_login_plan,platform_type,screen_name,account_sdk_version,first_page,current_alert,pre_page,is_agree"
add_photos_click,系统写入授权弹窗点击,"Android,iOS",已管理,,,5,"button,meepo_abcode,trace_info,type,meepo_abcount"
add_photos_show,系统写入授权弹窗曝光,"Android,iOS",已管理,,,4,"meepo_abcode,trace_info,type,meepo_abcount"
ads_click,广告点击,"Android,iOS",已管理,,广告点击时触发,11,"ad_unit_id,ad_format,network_placement,material,meepo_abcode,network_name,trace_info,source,type,meepo_abcount,ad_placement"
ads_request,拉取广告请求,"Android,iOS",已管理,,拉取广告请求时触发(返回请求结果时触发),14,"ad_format,network_placement,network_name,trace_info,source,type,is_success,error,meepo_abcount,ad_placement,ad_unit_id,material,meepo_abcode,time"
ads_sdk_init,广告sdk初始化结束,"Android,iOS",已管理,,广告sdk初始化结束,4,"meepo_abcode,trace_info,time,meepo_abcount"
ads_show,广告曝光,"Android,iOS",已管理,,广告曝光时触发,12,"ad_unit_id,ad_format,network_placement,material,meepo_abcode,network_name,trace_info,source,type,is_success,meepo_abcount,ad_placement"
ads_unlock_click,广告解锁弹窗点击,"Android,iOS",已管理,,广告解锁弹窗点击,5,"account_id,func,meepo_abcode,trace_info,meepo_abcount"
