source,event_id,event_name,param_key,param_value,含义,备注,param_name,event_desc,requirement_id,requirement_name,versions,shareLink
dayu,second_func_enter,点击二级功能页面,first_func,edit,点击二级功能页面时上报,,一级功能参数,点击二级功能页面时上报,6139,Airbrush 去眩光功能位置、小气泡调整（Jamie）@赟晖,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6139&appId=282&platformAgg=APP
dayu,second_func_enter,点击二级功能页面,second_func,relight,点击二级功能页面时上报,,二级功能参数,点击二级功能页面时上报,6139,Airbrush 去眩光功能位置、小气泡调整（Jamie）@赟晖,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6139&appId=282&platformAgg=APP
dayu,second_func_enter,点击二级功能页面,from,mini_icon,点击二级功能页面时上报,,进入功能来源,点击二级功能页面时上报,6139,Airbrush 去眩光功能位置、小气泡调整（Jamie）@赟晖,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6139&appId=282&platformAgg=APP
dayu,popup_show,popup弹窗出现,pop_name,personal_data_delete,popup弹窗出现时触发(不包括评分弹窗),,弹窗name,popup弹窗出现时触发(不包括评分弹窗),6143,Airbrush 新增删除用户资料按钮&交互优化（Jamie）@赟晖,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6143&appId=282&platformAgg=APP
dayu,popup_click,点击popup弹窗confirm  button,pop_name,personal_data_delete,"点击popup弹窗confirm  button触发
(不包括评分弹窗)",,弹窗name,"点击popup弹窗confirm  button触发
(不包括评分弹窗)",6143,Airbrush 新增删除用户资料按钮&交互优化（Jamie）@赟晖,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6143&appId=282&platformAgg=APP
dayu,material_check,素材打勾,filters_value,,滑杆值，用户滑到多少报多少,,,应用功能时触发,6134,滤镜滑杆@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6134&appId=282&platformAgg=APP
dayu,material_check,素材打勾,material_type,,filters,,素材类型,应用功能时触发,6134,滤镜滑杆@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6134&appId=282&platformAgg=APP
dayu,material_check,素材打勾,module,,edit,,模块,应用功能时触发,6134,滤镜滑杆@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6134&appId=282&platformAgg=APP
dayu,material_check,素材打勾,mids_category_id,,应用功能时触发,,分类id,应用功能时触发,6134,滤镜滑杆@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6134&appId=282&platformAgg=APP
dayu,material_check,素材打勾,mids_material_id,,应用功能时触发,,素材id,应用功能时触发,6134,滤镜滑杆@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6134&appId=282&platformAgg=APP
dayu,second_func_enter,点击二级功能页面,second_func,plump,点击二级功能页面时上报,,二级功能参数,点击二级功能页面时上报,6140,面部丰盈@钰静,7.23.0,https://dayu-voyager.pix-int.com/requirement/requirement?fullScreen=true&id=6140&appId=282&platformAgg=APP
