日期,平台,国家,订阅类型,_window,日均订阅毛利（剔除退款，$）,新增毛利,续订毛利
2026-06-08,整体,不丹,整体,recent_8w,0.0,,
2026-06-08,整体,东帝汶,整体,recent_8w,0.0,,
2026-06-08,整体,中国,整体,recent_8w,,0.0,10.163499999999999
2026-06-08,整体,中国内地,整体,recent_8w,8.711571428571428,,
2026-06-08,整体,中非,整体,recent_8w,0.0,,
2026-06-08,整体,丹麦,整体,recent_8w,284.011,151.2372857142857,144.46728571428574
2026-06-08,整体,乌克兰,整体,recent_8w,1028.591,687.4261428571428,452.87157142857143
2026-06-08,整体,乌兹别克斯坦,整体,recent_8w,39.79142857142857,41.401,6.7815714285714295
2026-06-08,整体,乌干达,整体,recent_8w,8.876285714285714,9.484666666666667,0.871
2026-06-08,整体,乌拉圭,整体,recent_8w,41.507285714285715,16.494857142857143,25.012428571428575
2026-06-08,整体,乍得,整体,recent_8w,0.0,,
2026-06-08,整体,也门,整体,recent_8w,0.0,,
2026-06-08,整体,亚美尼亚,整体,recent_8w,46.121857142857145,40.07514285714286,13.196142857142856
2026-06-08,整体,以色列,整体,recent_8w,929.8422857142856,454.95185714285714,508.3808571428571
2026-06-08,整体,伊拉克,整体,recent_8w,9.034714285714285,10.651714285714288,1.482
2026-06-08,整体,伊朗,整体,recent_8w,0.0,,
2026-06-08,整体,伯利兹,整体,recent_8w,0.0,0.0,0.0
2026-06-08,整体,佛得角,整体,recent_8w,2.149,15.043,0.0
2026-06-08,整体,俄罗斯,整体,recent_8w,91.87642857142858,72.56728571428572,31.416857142857143
2026-06-08,整体,保加利亚,整体,recent_8w,170.61114285714282,89.01657142857142,93.89957142857142
2026-06-08,整体,克罗地亚,整体,recent_8w,462.23342857142853,226.742,270.2257142857143
2026-06-08,整体,关岛,整体,recent_8w,0.0,,
2026-06-08,整体,冈比亚,整体,recent_8w,4.796,5.42325,2.96975
2026-06-08,整体,冰岛,整体,recent_8w,33.11271428571428,19.222571428571428,13.890142857142857
2026-06-08,整体,几内亚,整体,recent_8w,0.0,,
2026-06-08,整体,几内亚比绍,整体,recent_8w,0.0,,
2026-06-08,整体,列支敦士登,整体,recent_8w,0.0,,
2026-06-08,整体,刚果共和国,整体,recent_8w,1.298,0.0,9.086
2026-06-08,整体,刚果民主共和国,整体,recent_8w,-2.7,0.0,0.69825
2026-06-08,整体,利比亚,整体,recent_8w,0.0,,
2026-06-08,整体,利比里亚,整体,recent_8w,4.646,4.3726666666666665,1.0476666666666665
2026-06-08,整体,加拿大,整体,recent_8w,4775.774285714286,3095.9687142857147,2383.080571428571
2026-06-08,整体,加纳,整体,recent_8w,48.42671428571428,39.735,8.691714285714285
2026-06-08,整体,加蓬,整体,recent_8w,0.0,0.0,0.0
2026-06-08,整体,匈牙利,整体,recent_8w,181.151,98.64657142857143,102.99442857142856
2026-06-08,整体,北马其顿,整体,recent_8w,73.65057142857142,56.035428571428575,25.962142857142858
2026-06-08,整体,北马里亚纳群岛,整体,recent_8w,0.0,,
2026-06-08,整体,南极洲,整体,recent_8w,0.0,,
2026-06-08,整体,南苏丹,整体,recent_8w,0.0,,
2026-06-08,整体,南非,整体,recent_8w,384.45714285714286,180.97099999999998,220.9051428571429
2026-06-08,整体,博茨瓦纳,整体,recent_8w,2.829571428571429,4.989714285714286,0.9388571428571427
2026-06-08,整体,卡塔尔,整体,recent_8w,43.16285714285714,18.425000000000004,27.48485714285714
2026-06-08,整体,卢旺达,整体,recent_8w,0.799,0.0,2.7965
2026-06-08,整体,卢森堡,整体,recent_8w,41.337714285714284,20.527285714285714,23.325142857142858
2026-06-08,整体,印度,整体,recent_8w,0.0,,
2026-06-08,整体,印度尼西亚,整体,recent_8w,78.90757142857144,45.45828571428573,41.129571428571424
2026-06-08,整体,危地马拉,整体,recent_8w,79.00857142857141,32.65385714285714,49.453714285714284
2026-06-08,整体,厄瓜多尔,整体,recent_8w,170.09014285714287,85.41857142857144,93.96857142857142
2026-06-08,整体,叙利亚,整体,recent_8w,0.0,,
2026-06-08,整体,古巴,整体,recent_8w,0.0,,
2026-06-08,整体,台湾,整体,recent_8w,17.165714285714284,13.177571428571428,6.882428571428572
2026-06-08,整体,吉尔吉斯斯坦,整体,recent_8w,62.07014285714286,49.72485714285714,16.272142857142857
2026-06-08,整体,吉布提,整体,recent_8w,0.0,,
2026-06-08,整体,哈萨克斯坦,整体,recent_8w,227.9601428571428,242.2435714285714,70.33942857142857
2026-06-08,整体,哥伦比亚,整体,recent_8w,657.3722857142857,351.877,343.9834285714286
2026-06-08,整体,哥斯达黎加,整体,recent_8w,92.346,43.16814285714286,56.82585714285714
2026-06-08,整体,喀麦隆,整体,recent_8w,13.293285714285714,12.042857142857141,2.494
2026-06-08,整体,土库曼斯坦,整体,recent_8w,0.0,,
2026-06-08,整体,土耳其,整体,recent_8w,747.2954285714286,555.9771428571428,239.16042857142858
2026-06-08,整体,圣卢西亚,整体,recent_8w,3.9875714285714285,1.44,5.53825
2026-06-08,整体,圣基茨和尼维斯,整体,recent_8w,2.6335714285714285,7.5215,1.696
2026-06-08,整体,圣多美和普林西比,整体,recent_8w,0.0,,
2026-06-08,整体,圣巴泰勒米岛,整体,recent_8w,0.0,,
2026-06-08,整体,圣文森特和格林纳丁斯,整体,recent_8w,5.5889999999999995,8.33,30.793
2026-06-08,整体,圣皮埃尔和密克隆群岛,整体,recent_8w,0.0,,
2026-06-08,整体,圣诞岛,整体,recent_8w,0.0,,
2026-06-08,整体,圣马力诺,整体,recent_8w,0.0,,
2026-06-08,整体,圭亚那,整体,recent_8w,2.396,1.39825,2.79475
2026-06-08,整体,坦桑尼亚,整体,recent_8w,8.289285714285715,6.458,1.8312857142857142
2026-06-08,整体,埃及,整体,recent_8w,47.164857142857144,32.547428571428576,23.96385714285714
2026-06-08,整体,埃塞俄比亚,整体,recent_8w,0.0,,
2026-06-08,整体,基里巴斯,整体,recent_8w,0.0,,
2026-06-08,整体,塔吉克斯坦,整体,recent_8w,10.214571428571428,14.935333333333332,0.5625
2026-06-08,整体,塞内加尔,整体,recent_8w,16.805142857142858,13.680714285714286,3.1244285714285716
2026-06-08,整体,塞尔维亚,整体,recent_8w,325.2577142857143,181.53142857142856,177.52814285714288
2026-06-08,整体,塞拉利昂,整体,recent_8w,8.604571428571429,15.2664,1.1186
2026-06-08,整体,塞浦路斯,整体,recent_8w,100.37242857142859,48.303428571428576,58.293857142857135
2026-06-08,整体,塞舌尔,整体,recent_8w,1.2727142857142855,0.0,4.4544999999999995
2026-06-08,整体,墨西哥,整体,recent_8w,1924.225285714286,784.8827142857143,1209.1731428571427
2026-06-08,整体,多哥,整体,recent_8w,0.0,,
2026-06-08,整体,多米尼克,整体,recent_8w,4.069285714285714,10.8465,3.396
