渠道自然,国家,日期,平台,DNU,_window,_query
整体,巴基斯坦,2026-06-15T00:00:00,整体,202.57142857142858,recent_8w,全量维度
non-Organic,伊朗,2026-06-08T00:00:00,Android,32.0,recent_8w,全量维度
整体,利比里亚,2026-07-06T00:00:00,iOS,11.0,recent_8w,全量维度
Organic,爱沙尼亚,2026-07-06T00:00:00,Android,4.428571428571429,recent_8w,全量维度
non-Organic,南非,2026-07-20T00:00:00,Android,1.4,recent_8w,全量维度
整体,巴基斯坦,2026-07-20T00:00:00,整体,228.71428571428572,recent_8w,全量维度
non-Organic,意大利,2026-07-13T00:00:00,Android,5.571428571428571,recent_8w,全量维度
non-Organic,以色列,2026-06-29T00:00:00,整体,19.0,recent_8w,全量维度
non-Organic,坦桑尼亚,2026-06-08T00:00:00,iOS,1.0,recent_8w,全量维度
non-Organic,捷克,2026-06-08T00:00:00,Android,3.2857142857142856,recent_8w,全量维度
non-Organic,多哥,2026-06-22T00:00:00,Android,1.0,recent_8w,全量维度
整体,瑞典,2026-06-29T00:00:00,整体,156.57142857142858,recent_8w,全量维度
Organic,unknow,2026-07-13T00:00:00,Android,2.6666666666666665,recent_8w,全量维度
non-Organic,意大利,2026-07-06T00:00:00,整体,14.0,recent_8w,全量维度
整体,爱沙尼亚,2026-06-29T00:00:00,iOS,34.42857142857143,recent_8w,全量维度
Organic,法国,2026-07-13T00:00:00,Android,63.857142857142854,recent_8w,全量维度
non-Organic,墨西哥,2026-06-29T00:00:00,整体,1303.142857142857,recent_8w,全量维度
Organic,捷克,2026-07-27T00:00:00,Android,7.857142857142857,recent_8w,全量维度
整体,坦桑尼亚,2026-07-13T00:00:00,iOS,10.857142857142858,recent_8w,全量维度
Organic,卡塔尔,2026-06-15T00:00:00,Android,2.2857142857142856,recent_8w,全量维度
Organic,瑞典,2026-06-22T00:00:00,Android,13.714285714285714,recent_8w,全量维度
Organic,意大利,2026-06-08T00:00:00,iOS,376.7142857142857,recent_8w,全量维度
non-Organic,爱沙尼亚,2026-06-22T00:00:00,Android,1.5,recent_8w,全量维度
non-Organic,蒙古,2026-06-08T00:00:00,iOS,1.0,recent_8w,全量维度
Organic,卡塔尔,2026-07-13T00:00:00,Android,2.3333333333333335,recent_8w,全量维度
Organic,墨西哥,2026-07-06T00:00:00,整体,513.4285714285714,recent_8w,全量维度
non-Organic,卡塔尔,2026-06-08T00:00:00,整体,1.0,recent_8w,全量维度
整体,卡塔尔,2026-06-22T00:00:00,整体,13.857142857142858,recent_8w,全量维度
non-Organic,哈萨克斯坦,2026-07-06T00:00:00,Android,5.571428571428571,recent_8w,全量维度
Organic,斯洛伐克,2026-06-08T00:00:00,整体,23.142857142857142,recent_8w,全量维度
整体,捷克,2026-07-20T00:00:00,整体,51.42857142857143,recent_8w,全量维度
整体,法国,2026-06-15T00:00:00,iOS,305.14285714285717,recent_8w,全量维度
non-Organic,爱沙尼亚,2026-06-29T00:00:00,iOS,1.2857142857142858,recent_8w,全量维度
Organic,美国,2026-07-06T00:00:00,Android,867.7142857142857,recent_8w,全量维度
non-Organic,意大利,2026-06-29T00:00:00,整体,18.571428571428573,recent_8w,全量维度
Organic,纳米比亚,2026-07-20T00:00:00,Android,1.6666666666666667,recent_8w,全量维度
Organic,关岛,2026-06-22T00:00:00,整体,2.0,recent_8w,全量维度
Organic,南非,2026-07-27T00:00:00,iOS,58.57142857142857,recent_8w,全量维度
non-Organic,加拿大,2026-07-06T00:00:00,iOS,64.28571428571429,recent_8w,全量维度
整体,美国,2026-06-08T00:00:00,Android,546.7142857142857,recent_8w,全量维度
整体,斯洛伐克,2026-07-27T00:00:00,Android,4.285714285714286,recent_8w,全量维度
Organic,瑞典,2026-07-27T00:00:00,Android,17.0,recent_8w,全量维度
整体,葡萄牙,2026-07-20T00:00:00,iOS,159.71428571428572,recent_8w,全量维度
整体,加拿大,2026-06-08T00:00:00,整体,511.42857142857144,recent_8w,全量维度
Organic,巴基斯坦,2026-06-08T00:00:00,iOS,48.0,recent_8w,全量维度
non-Organic,巴基斯坦,2026-07-27T00:00:00,iOS,2.5714285714285716,recent_8w,全量维度
整体,加拿大,2026-07-06T00:00:00,Android,75.71428571428571,recent_8w,全量维度
整体,澳门,2026-06-08T00:00:00,iOS,1.0,recent_8w,全量维度
Organic,澳门,2026-07-06T00:00:00,Android,1.0,recent_8w,全量维度
整体,斐济,2026-06-22T00:00:00,Android,4.0,recent_8w,全量维度
non-Organic,瑞典,2026-06-22T00:00:00,Android,11.142857142857142,recent_8w,全量维度
整体,坦桑尼亚,2026-06-15T00:00:00,Android,9.571428571428571,recent_8w,全量维度
整体,斯洛伐克,2026-06-29T00:00:00,iOS,16.0,recent_8w,全量维度
整体,加拿大,2026-06-15T00:00:00,Android,51.714285714285715,recent_8w,全量维度
Organic,蒙古,2026-06-29T00:00:00,整体,5.571428571428571,recent_8w,全量维度
Organic,比利时,2026-06-08T00:00:00,Android,6.428571428571429,recent_8w,全量维度
整体,巴基斯坦,2026-07-27T00:00:00,整体,258.2857142857143,recent_8w,全量维度
整体,坦桑尼亚,2026-06-08T00:00:00,iOS,12.714285714285714,recent_8w,全量维度
整体,美国,2026-07-06T00:00:00,整体,6389.571428571428,recent_8w,全量维度
整体,巴基斯坦,2026-07-06T00:00:00,Android,265.42857142857144,recent_8w,全量维度
Organic,斯洛伐克,2026-06-08T00:00:00,Android,3.2857142857142856,recent_8w,全量维度
Organic,澳门,2026-07-20T00:00:00,Android,1.0,recent_8w,全量维度
non-Organic,萨尔瓦多,2026-07-20T00:00:00,整体,1.4,recent_8w,全量维度
整体,爱沙尼亚,2026-07-20T00:00:00,iOS,32.857142857142854,recent_8w,全量维度
Organic,哈萨克斯坦,2026-07-20T00:00:00,整体,179.85714285714286,recent_8w,全量维度
Organic,卡塔尔,2026-07-13T00:00:00,iOS,8.428571428571429,recent_8w,全量维度
Organic,加拿大,2026-07-06T00:00:00,iOS,383.14285714285717,recent_8w,全量维度
整体,萨尔瓦多,2026-07-20T00:00:00,整体,21.857142857142858,recent_8w,全量维度
Organic,哈萨克斯坦,2026-07-13T00:00:00,整体,208.0,recent_8w,全量维度
Organic,澳门,2026-07-27T00:00:00,整体,1.6666666666666667,recent_8w,全量维度
non-Organic,捷克,2026-07-20T00:00:00,整体,2.6666666666666665,recent_8w,全量维度
整体,以色列,2026-06-29T00:00:00,Android,45.285714285714285,recent_8w,全量维度
