渠道自然,国家,日期,平台,_window,_query,DNU,新增次日留存人数
整体,加拿大,2026-07-20,整体,recent_8w,全量维度,567.5714285714286,75.57142857142857
整体,比利时,2026-07-13,整体,recent_8w,全量维度,58.57142857142857,8.285714285714286
Organic,利比亚,2026-07-06,整体,recent_8w,全量维度,11.428571428571429,0.8571428571428571
non-Organic,墨西哥,2026-06-22,整体,recent_8w,全量维度,882.4285714285714,64.57142857142857
Organic,墨西哥,2026-06-29,整体,recent_8w,全量维度,521.5714285714286,80.28571428571429
non-Organic,法国,2026-07-13,整体,recent_8w,全量维度,28.142857142857142,3.2857142857142856
整体,萨尔瓦多,2026-06-29,整体,recent_8w,全量维度,16.285714285714285,2.5714285714285716
整体,纳米比亚,2026-06-29,整体,recent_8w,全量维度,4.0,1.0
整体,坦桑尼亚,2026-07-27,整体,recent_8w,全量维度,18.428571428571427,3.7142857142857144
整体,关岛,2026-07-27,整体,recent_8w,全量维度,1.6666666666666667,0.5
non-Organic,巴基斯坦,2026-06-22,整体,recent_8w,全量维度,7.0,0.8571428571428571
整体,爱沙尼亚,2026-07-20,整体,recent_8w,全量维度,37.42857142857143,8.571428571428571
non-Organic,以色列,2026-07-27,整体,recent_8w,全量维度,2.6666666666666665,0.3333333333333333
Organic,乌克兰,2026-06-08,整体,recent_8w,全量维度,433.42857142857144,80.0
Organic,多哥,2026-07-20,整体,recent_8w,全量维度,4.857142857142857,1.0
整体,以色列,2026-06-22,整体,recent_8w,全量维度,83.14285714285714,13.428571428571429
Organic,斯洛伐克,2026-07-13,整体,recent_8w,全量维度,23.285714285714285,3.5714285714285716
整体,爱沙尼亚,2026-06-22,整体,recent_8w,全量维度,38.714285714285715,7.571428571428571
non-Organic,美国,2026-06-15,整体,recent_8w,全量维度,3067.285714285714,403.42857142857144
Organic,澳门,2026-06-15,整体,recent_8w,全量维度,1.0,0.0
整体,澳门,2026-07-27,整体,recent_8w,全量维度,1.6666666666666667,1.0
Organic,斯洛伐克,2026-06-15,整体,recent_8w,全量维度,18.714285714285715,3.857142857142857
Organic,葡萄牙,2026-07-20,整体,recent_8w,全量维度,181.57142857142858,34.285714285714285
整体,葡萄牙,2026-06-29,整体,recent_8w,全量维度,180.14285714285714,28.571428571428573
Organic,捷克,2026-06-15,整体,recent_8w,全量维度,49.0,7.857142857142857
non-Organic,蒙古,2026-06-15,整体,recent_8w,全量维度,1.0,0.0
Organic,南非,2026-07-06,整体,recent_8w,全量维度,119.28571428571429,19.0
整体,坦桑尼亚,2026-06-08,整体,recent_8w,全量维度,22.285714285714285,5.142857142857143
整体,比利时,2026-06-15,整体,recent_8w,全量维度,63.0,8.428571428571429
non-Organic,乌克兰,2026-07-13,整体,recent_8w,全量维度,22.428571428571427,2.0
整体,利比亚,2026-07-13,整体,recent_8w,全量维度,9.714285714285714,2.0
Organic,巴基斯坦,2026-07-27,整体,recent_8w,全量维度,251.0,46.285714285714285
non-Organic,哈萨克斯坦,2026-07-06,整体,recent_8w,全量维度,9.428571428571429,1.2857142857142858
non-Organic,蒙古,2026-07-13,整体,recent_8w,全量维度,1.0,0.5
整体,unknow,2026-07-06,整体,recent_8w,全量维度,2.3333333333333335,0.16666666666666666
Organic,利比里亚,2026-07-13,整体,recent_8w,全量维度,26.0,5.285714285714286
non-Organic,斐济,2026-07-20,整体,recent_8w,全量维度,1.0,0.5
整体,玻利维亚,2026-06-15,整体,recent_8w,全量维度,25.428571428571427,2.5714285714285716
整体,伊朗,2026-06-15,整体,recent_8w,全量维度,724.7142857142857,112.28571428571429
整体,利比亚,2026-06-15,整体,recent_8w,全量维度,8.714285714285714,2.142857142857143
整体,蒙古,2026-06-22,整体,recent_8w,全量维度,7.142857142857143,0.5714285714285714
整体,以色列,2026-07-06,整体,recent_8w,全量维度,114.71428571428571,18.571428571428573
non-Organic,法国,2026-06-29,整体,recent_8w,全量维度,35.42857142857143,4.285714285714286
