渠道自然,国家,日期,平台,新老,_window,_query,活跃用户数,次日留存人数
整体,利比里亚,2026-07-20,iOS,New,recent_8w,全量维度,12.285714285714286,2.4285714285714284
整体,美国,2026-07-13,Android,New,recent_8w,全量维度,557.7142857142857,81.85714285714286
整体,意大利,2026-06-15,整体,New,recent_8w,全量维度,423.85714285714283,70.57142857142857
整体,美国,2026-06-29,Android,New,recent_8w,全量维度,2553.5714285714284,361.2857142857143
整体,墨西哥,2026-07-20,整体,整体,recent_8w,全量维度,17363.14285714286,5714.428571428572
整体,意大利,2026-06-08,Android,整体,recent_8w,全量维度,1502.2857142857142,555.8571428571429
整体,萨尔瓦多,2026-07-20,Android,New,recent_8w,全量维度,10.285714285714286,1.8571428571428572
整体,墨西哥,2026-07-06,iOS,New,recent_8w,全量维度,518.2857142857143,98.14285714285714
整体,瑞典,2026-06-15,整体,Old,recent_8w,全量维度,2212.8571428571427,739.7142857142857
整体,法国,2026-07-13,iOS,整体,recent_8w,全量维度,4047.5714285714284,1380.857142857143
整体,加拿大,2026-07-13,iOS,New,recent_8w,全量维度,468.14285714285717,64.42857142857143
整体,法国,2026-07-20,整体,New,recent_8w,全量维度,524.5714285714286,92.14285714285714
整体,蒙古,2026-06-15,整体,New,recent_8w,全量维度,6.428571428571429,1.0
整体,法国,2026-06-29,整体,Old,recent_8w,全量维度,4774.571428571428,1647.5714285714287
整体,纳米比亚,2026-07-06,整体,整体,recent_8w,全量维度,86.57142857142857,29.571428571428573
整体,利比里亚,2026-06-29,iOS,New,recent_8w,全量维度,14.285714285714286,3.857142857142857
整体,意大利,2026-06-08,iOS,整体,recent_8w,全量维度,4770.285714285715,1677.4285714285713
整体,加拿大,2026-07-27,整体,New,recent_8w,全量维度,574.8571428571429,73.71428571428571
整体,比利时,2026-06-22,Android,整体,recent_8w,全量维度,211.28571428571428,74.57142857142857
整体,爱沙尼亚,2026-06-15,iOS,New,recent_8w,全量维度,37.857142857142854,7.285714285714286
整体,关岛,2026-06-29,iOS,Old,recent_8w,全量维度,29.571428571428573,9.0
整体,乌克兰,2026-07-06,iOS,整体,recent_8w,全量维度,6465.714285714285,2041.2857142857142
整体,葡萄牙,2026-06-22,Android,Old,recent_8w,全量维度,830.1428571428571,292.7142857142857
整体,坦桑尼亚,2026-06-08,iOS,New,recent_8w,全量维度,12.714285714285714,3.4285714285714284
整体,比利时,2026-07-27,iOS,New,recent_8w,全量维度,74.28571428571429,12.857142857142858
整体,意大利,2026-06-22,整体,Old,recent_8w,全量维度,5879.285714285715,2173.1428571428573
整体,unknow,2026-06-08,Android,Old,recent_8w,全量维度,27.571428571428573,7.0
整体,以色列,2026-07-27,iOS,整体,recent_8w,全量维度,2154.1428571428573,744.2857142857143
整体,比利时,2026-07-13,整体,Old,recent_8w,全量维度,1235.7142857142858,450.0
整体,比利时,2026-07-13,Android,Old,recent_8w,全量维度,220.71428571428572,89.85714285714286
整体,关岛,2026-06-15,整体,New,recent_8w,全量维度,2.0,0.5
整体,以色列,2026-06-22,iOS,New,recent_8w,全量维度,74.71428571428571,11.714285714285714
整体,萨尔瓦多,2026-07-27,整体,Old,recent_8w,全量维度,483.57142857142856,180.14285714285714
整体,卡塔尔,2026-07-27,整体,New,recent_8w,全量维度,9.714285714285714,0.14285714285714285
整体,南非,2026-07-20,iOS,New,recent_8w,全量维度,57.285714285714285,10.714285714285714
整体,关岛,2026-07-06,iOS,New,recent_8w,全量维度,1.0,0.3333333333333333
整体,斯洛伐克,2026-06-08,Android,整体,recent_8w,全量维度,135.57142857142858,50.714285714285715
整体,爱沙尼亚,2026-06-15,整体,Old,recent_8w,全量维度,597.2857142857143,199.14285714285714
整体,澳门,2026-07-20,整体,New,recent_8w,全量维度,1.5714285714285714,0.42857142857142855
整体,坦桑尼亚,2026-06-15,Android,New,recent_8w,全量维度,9.571428571428571,1.4285714285714286
整体,哈萨克斯坦,2026-07-13,iOS,Old,recent_8w,全量维度,1835.2857142857142,529.5714285714286
整体,斐济,2026-07-13,iOS,New,recent_8w,全量维度,2.1666666666666665,0.5
整体,利比里亚,2026-07-13,整体,Old,recent_8w,全量维度,304.42857142857144,67.0
整体,比利时,2026-06-08,Android,New,recent_8w,全量维度,7.285714285714286,0.8571428571428571
整体,澳门,2026-07-13,Android,Old,recent_8w,全量维度,1.5,0.5
整体,关岛,2026-06-22,Android,整体,recent_8w,全量维度,5.142857142857143,2.0
整体,葡萄牙,2026-06-15,Android,整体,recent_8w,全量维度,857.2857142857143,302.42857142857144
整体,纳米比亚,2026-06-29,整体,New,recent_8w,全量维度,4.0,1.0
整体,巴基斯坦,2026-06-08,整体,New,recent_8w,全量维度,191.85714285714286,30.428571428571427
整体,萨尔瓦多,2026-07-13,iOS,整体,recent_8w,全量维度,242.28571428571428,91.28571428571429
整体,比利时,2026-07-13,整体,整体,recent_8w,全量维度,1294.2857142857142,458.2857142857143
整体,比利时,2026-06-29,iOS,New,recent_8w,全量维度,51.857142857142854,10.0
整体,捷克,2026-06-22,Android,整体,recent_8w,全量维度,208.14285714285714,77.42857142857143
整体,以色列,2026-07-06,整体,New,recent_8w,全量维度,114.71428571428571,18.571428571428573
整体,比利时,2026-07-13,Android,New,recent_8w,全量维度,9.428571428571429,1.4285714285714286
整体,哈萨克斯坦,2026-06-15,整体,整体,recent_8w,全量维度,2312.4285714285716,662.0
