渠道自然,国家,日期,平台,新老,付费状态,版本,一级功能,二级功能,_window,_query,保存 UV
整体,整体,2026-07-20,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,479359.5714285714
整体,美国,2026-07-27,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,75113.0
整体,美国,2026-06-29,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,3124.1428571428573
整体,美国,2026-07-13,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,76252.71428571429
整体,美国,2026-06-15,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,72121.28571428571
整体,整体,2026-07-06,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,496865.14285714284
整体,整体,2026-07-27,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,503124.28571428574
整体,英国,2026-07-20,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,1273.857142857143
整体,美国,2026-06-15,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,69844.71428571429
整体,英国,2026-07-27,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,25998.571428571428
整体,巴西,2026-06-08,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,5879.428571428572
整体,整体,2026-06-15,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,483749.71428571426
整体,英国,2026-07-27,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,1284.0
整体,巴西,2026-07-27,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,7335.857142857143
整体,整体,2026-07-27,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,21046.428571428572
整体,英国,2026-06-15,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,23472.14285714286
整体,整体,2026-06-08,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,434449.85714285716
整体,巴西,2026-07-27,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,207638.0
整体,整体,2026-06-15,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,18752.428571428572
