层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1,整体 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=整体，平台=整体，新老=整体,6015857.0,5775135.0,5788814.0,5607951.0,6478965.0,6745811.0,6225213.0,8079475.0,6387049.0,6641065.0,6705712.0,6695240.0,,,240722.0,4.168249,240722.0,100.0,4.168249
1.unknow,unknowMAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,928.0,778.0,791.0,873.0,1158.0,1534.0,1585.0,2300.0,2165.0,2617.0,2327.0,2390.0,,,150.0,19.280206,150.0,0.062313,0.002597
1.unknow.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,,,,,,,,,,,,,,,,,,,
1.unknow.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,,,,,,,,,,,,,,,,,,,
1.不丹,不丹MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,82.0,77.0,78.0,83.0,102.0,119.0,104.0,129.0,107.0,114.0,122.0,117.0,,,5.0,6.493506,5.0,0.002077,8.7e-05
1.不丹.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,14.0,13.0,13.0,16.0,20.0,17.0,14.0,9.0,6.0,4.0,11.0,4.0,,,1.0,7.692308,1.0,0.000415,1.7e-05
1.不丹.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,68.0,64.0,65.0,67.0,82.0,102.0,90.0,120.0,101.0,110.0,111.0,113.0,,,4.0,6.25,4.0,0.001662,6.9e-05
1.东帝汶,东帝汶MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,87.0,63.0,51.0,49.0,63.0,72.0,63.0,72.0,74.0,78.0,83.0,86.0,,,24.0,38.095238,24.0,0.00997,0.000416
1.东帝汶.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,21.0,14.0,9.0,5.0,6.0,11.0,10.0,5.0,7.0,9.0,2.0,10.0,,,7.0,50.0,7.0,0.002908,0.000121
1.东帝汶.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,66.0,49.0,42.0,44.0,57.0,61.0,53.0,67.0,67.0,69.0,81.0,76.0,,,17.0,34.693878,17.0,0.007062,0.000294
