日期,平台,国家,订阅类型,订阅毛利（剔除退款，$）,新增毛利,续订毛利
2025-06-01,整体,不丹,整体,0.0,,
2025-06-01,整体,东帝汶,整体,0.0,,
2025-06-01,整体,中国,整体,,232.421,281.63699999999994
2025-06-01,整体,中国内地,整体,492.2339999999999,,
2025-06-01,整体,中非,整体,0.0,,
2025-06-01,整体,丹麦,整体,8677.825,3579.4640000000004,5477.487999999999
2025-06-01,整体,乌克兰,整体,25175.416999999994,11776.044,14960.626999999999
2025-06-01,整体,乌兹别克斯坦,整体,439.39900000000006,293.93800000000005,161.071
2025-06-01,整体,乌干达,整体,192.123,105.25299999999999,98.13999999999999
2025-06-01,整体,乌拉圭,整体,1569.1909999999998,731.785,859.2560000000001
2025-06-01,整体,乍得,整体,3.5,0.0,3.5
2025-06-01,整体,也门,整体,67.50399999999999,35.126999999999995,32.376999999999995
2025-06-01,整体,亚美尼亚,整体,902.3079999999999,522.3730000000002,391.595
2025-06-01,整体,以色列,整体,21719.252,8865.801000000001,13626.548999999997
2025-06-01,整体,伊拉克,整体,208.403,179.33800000000002,45.864999999999995
2025-06-01,整体,伊朗,整体,0.0,,
2025-06-01,整体,伯利兹,整体,65.449,43.537000000000006,21.912000000000003
2025-06-01,整体,佛得角,整体,15.275,11.9,3.375
2025-06-01,整体,俄罗斯,整体,24427.143999999997,11293.440999999999,13285.948999999999
2025-06-01,整体,保加利亚,整体,5177.361999999999,2694.6810000000005,2657.5770000000007
2025-06-01,整体,克罗地亚,整体,12818.262,6044.374000000001,7145.297999999999
2025-06-01,整体,关岛,整体,54.36,17.842,36.518
2025-06-01,整体,冈比亚,整体,159.883,156.383,25.200000000000003
2025-06-01,整体,冰岛,整体,1299.835,538.507,761.328
2025-06-01,整体,几内亚,整体,0.0,,
2025-06-01,整体,几内亚比绍,整体,0.0,,
2025-06-01,整体,列支敦士登,整体,0.0,,
2025-06-01,整体,刚果共和国,整体,19.342,16.8,2.542
2025-06-01,整体,刚果民主共和国,整体,73.251,65.109,8.142
2025-06-01,整体,利比亚,整体,1.7,0.85,0.85
2025-06-01,整体,利比里亚,整体,161.212,120.25500000000002,40.957
2025-06-01,整体,加拿大,整体,147000.592,80100.27500000001,82040.69400000002
2025-06-01,整体,加纳,整体,766.9959999999999,504.358,291.91800000000006
2025-06-01,整体,加蓬,整体,5.6,0.0,5.6
2025-06-01,整体,匈牙利,整体,4649.272,1873.6889999999999,3029.611
2025-06-01,整体,北马其顿,整体,1564.1119999999999,847.4509999999999,771.9610000000001
2025-06-01,整体,北马里亚纳群岛,整体,3.392,0.0,3.392
2025-06-01,整体,南极洲,整体,0.0,,
2025-06-01,整体,南苏丹,整体,0.0,,
2025-06-01,整体,南非,整体,10394.028000000002,4091.4379999999996,6820.246000000001
2025-06-01,整体,博茨瓦纳,整体,247.78,73.726,174.054
2025-06-01,整体,卡塔尔,整体,2109.6600000000003,893.4789999999999,1243.1009999999997
2025-06-01,整体,卢旺达,整体,27.823999999999998,16.8,11.024000000000001
2025-06-01,整体,卢森堡,整体,871.637,589.8359999999999,375.447
2025-06-01,整体,印度,整体,6.028,0.0,6.028
2025-06-01,整体,印度尼西亚,整体,1950.1350000000002,888.7950000000001,1127.14
2025-06-01,整体,危地马拉,整体,1777.4759999999999,868.1659999999999,1013.8879999999998
2025-06-01,整体,厄瓜多尔,整体,4585.0199999999995,2217.0530000000003,2473.137
2025-06-01,整体,叙利亚,整体,0.0,,
2025-06-01,整体,古巴,整体,0.0,,
2025-06-01,整体,台湾,整体,492.59900000000005,263.932,271.602
2025-06-01,整体,吉尔吉斯斯坦,整体,659.7720000000002,461.3010000000001,257.343
2025-06-01,整体,吉布提,整体,0.0,,
2025-06-01,整体,哈萨克斯坦,整体,4993.745000000001,2782.3379999999997,2695.298000000001
2025-06-01,整体,哥伦比亚,整体,14766.862,6551.3550000000005,8695.735
