渠道自然,国家,日期,平台,新老,MAU
整体,克罗地亚,2026-02-01,iOS,整体,7595.0
Organic,芬兰,2026-02-01,iOS,整体,8837.0
整体,圣卢西亚,2026-07-01,iOS,整体,484.0
non-Organic,阿联酋,2026-05-01,Android,整体,293.0
整体,叙利亚,2026-05-01,整体,整体,4594.0
整体,尼日利亚,2025-08-01,iOS,整体,28459.0
non-Organic,也门,2026-03-01,Android,整体,238.0
non-Organic,东帝汶,2026-03-01,整体,整体,7.0
non-Organic,美属萨摩亚,2026-04-01,整体,整体,2.0
Organic,亚美尼亚,2026-04-01,Android,整体,821.0
non-Organic,土库曼斯坦,2026-04-01,iOS,整体,1.0
整体,马拉维,2026-01-01,iOS,整体,222.0
整体,安道尔,2026-01-01,整体,整体,524.0
Organic,安提瓜和巴布达,2026-06-01,iOS,整体,352.0
整体,安提瓜和巴布达,2025-10-01,整体,整体,507.0
Organic,圣多美和普林西比,2025-10-01,Android,整体,37.0
整体,津巴布韦,2025-06-01,整体,整体,1197.0
整体,土库曼斯坦,2025-06-01,Android,整体,166.0
Organic,埃及,2025-06-01,Android,整体,16121.0
整体,柬埔寨,2025-06-01,iOS,整体,1186.0
non-Organic,安道尔,2025-07-01,iOS,整体,14.0
non-Organic,卢森堡,2025-07-01,Android,整体,82.0
non-Organic,乌拉圭,2025-09-01,整体,整体,289.0
non-Organic,卢森堡,2025-09-01,整体,整体,146.0
non-Organic,津巴布韦,2025-12-01,整体,整体,105.0
non-Organic,斯威士兰,2025-12-01,Android,整体,8.0
non-Organic,安道尔,2025-11-01,iOS,整体,5.0
Organic,卢森堡,2025-11-01,整体,整体,1299.0
整体,洪都拉斯,2025-11-01,Android,整体,2097.0
整体,圣卢西亚,2025-11-01,iOS,整体,372.0
整体,东帝汶,2025-11-01,iOS,整体,26.0
non-Organic,圣多美和普林西比,2026-02-01,整体,整体,1.0
non-Organic,芬兰,2026-02-01,整体,整体,551.0
non-Organic,克罗地亚,2026-07-01,iOS,整体,569.0
Organic,东帝汶,2026-07-01,Android,整体,26.0
non-Organic,卢森堡,2026-05-01,整体,整体,66.0
整体,洪都拉斯,2026-05-01,整体,整体,4088.0
整体,斯威士兰,2026-05-01,整体,整体,104.0
Organic,瑙鲁,2026-05-01,整体,整体,3.0
Organic,叙利亚,2026-05-01,iOS,整体,868.0
整体,安道尔,2025-08-01,整体,整体,246.0
Organic,塞拉利昂,2026-03-01,Android,整体,330.0
Organic,阿联酋,2026-03-01,iOS,整体,11955.0
non-Organic,阿联酋,2026-03-01,整体,整体,1492.0
整体,土库曼斯坦,2026-04-01,Android,整体,94.0
non-Organic,塞拉利昂,2026-01-01,iOS,整体,5.0
non-Organic,洪都拉斯,2026-01-01,Android,整体,339.0
整体,圣多美和普林西比,2026-06-01,iOS,整体,14.0
non-Organic,乌拉圭,2025-10-01,整体,整体,149.0
Organic,斯威士兰,2025-10-01,iOS,整体,74.0
non-Organic,阿联酋,2025-07-01,iOS,整体,1624.0
整体,埃及,2025-07-01,整体,整体,40588.0
整体,美属萨摩亚,2025-12-01,整体,整体,11.0
non-Organic,土库曼斯坦,2025-12-01,iOS,整体,7.0
整体,芬兰,2025-12-01,iOS,整体,9134.0
non-Organic,东帝汶,2025-12-01,iOS,整体,4.0
Organic,索马里,2025-12-01,整体,整体,1652.0
