层级,指标,本周,上周,2周前,3周前,4周前,5周前,wow,wow%
1,日均订阅毛利（剔除退款，$）,125573.207286,130205.769,128979.13,132157.568714,130155.445571,131974.666571,-4632.561714,-3.557877
1.1,新增毛利,64702.051857,67470.585286,68773.459429,69906.667143,68766.961,66666.334714,-2768.533429,-4.103319
1.1.不丹,不丹新增毛利,0.0,0.0,0.0,0.0,0.0,29.327,0.0,
1.1.东帝汶,东帝汶新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.中国,中国新增毛利,13.079667,1.2408,0.0,12.3705,16.7594,4.634333,11.838867,954.131743
1.1.中国内地,中国内地新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.中国台湾,中国台湾新增毛利,21.0292,4.889,13.177571,6.562667,20.932667,8.539857,16.1402,330.132952
1.1.中国澳门,中国澳门新增毛利,0.0,19.273,0.0,0.0,0.0,0.0,-19.273,-100.0
1.1.中国香港,中国香港新增毛利,13.645286,9.488,36.4225,8.788667,14.043714,9.078429,4.157286,43.816249
1.1.中非,中非新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.丹麦,丹麦新增毛利,144.825286,128.712571,151.237286,140.187143,131.503571,133.187714,16.112714,12.518369
1.1.乌克兰,乌克兰新增毛利,673.244,687.266429,687.426143,789.184,659.531571,556.638571,-14.022429,-2.040319
1.1.乌兹别克斯坦,乌兹别克斯坦新增毛利,24.228571,36.821286,41.401,16.569714,18.221286,25.094286,-12.592714,-34.199551
1.1.乌干达,乌干达新增毛利,0.7505,9.813,9.484667,10.1374,16.401429,9.0134,-9.0625,-92.351982
1.1.乌拉圭,乌拉圭新增毛利,17.638,31.976286,16.494857,11.255429,8.395714,10.658,-14.338286,-44.840373
1.1.乍得,乍得新增毛利,0.0,0.0,0.0,5.593,0.0,0.0,0.0,
1.1.也门,也门新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.亚美尼亚,亚美尼亚新增毛利,38.864857,33.441857,40.075143,14.223714,37.854286,26.487429,5.423,16.216205
1.1.以色列,以色列新增毛利,408.368857,460.902143,454.951857,461.195429,488.521714,382.639571,-52.533286,-11.397926
1.1.伊拉克,伊拉克新增毛利,4.3386,6.047,10.651714,1.707286,6.8042,9.659429,-1.7084,-28.252026
1.1.伊朗,伊朗新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.伯利兹,伯利兹新增毛利,0.0,0.0,0.0,10.8465,0.0,5.805667,0.0,
1.1.佛得角,佛得角新增毛利,10.8465,0.0,15.043,0.0,0.0,21.693,10.8465,
1.1.俄罗斯,俄罗斯新增毛利,91.553714,85.339143,72.567286,64.256429,36.267857,58.414,6.214571,7.282205
1.1.保加利亚,保加利亚新增毛利,117.397571,79.178143,89.016571,107.674857,106.356571,76.293,38.219429,48.270176
1.1.克罗地亚,克罗地亚新增毛利,203.139429,223.945143,226.742,202.493429,173.775429,220.134571,-20.805714,-9.290541
1.1.关岛,关岛新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.冈比亚,冈比亚新增毛利,13.000167,14.25725,5.42325,19.393,15.021,13.682,-1.257083,-8.817152
1.1.冰岛,冰岛新增毛利,16.476714,34.263143,19.222571,21.189857,12.640714,6.53,-17.786429,-51.911258
1.1.几内亚,几内亚新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.几内亚比绍,几内亚比绍新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.列支敦士登,列支敦士登新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.刚果共和国,刚果共和国新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.刚果民主共和国,刚果民主共和国新增毛利,0.0,4.3386,0.0,10.6815,0.0,0.0,-4.3386,-100.0
1.1.利比亚,利比亚新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.利比里亚,利比里亚新增毛利,6.295333,6.588167,4.372667,10.3035,5.003833,8.071571,-0.292833,-4.444838
1.1.加拿大,加拿大新增毛利,3063.440429,2997.769143,3095.968714,3034.205571,3201.380429,2966.161,65.671286,2.190672
1.1.加纳,加纳新增毛利,32.190714,40.484286,39.735,21.241143,19.614,33.444857,-8.293571,-20.485903
1.1.加蓬,加蓬新增毛利,7.231,0.0,0.0,1.864333,13.118,0.0,7.231,
1.1.匈牙利,匈牙利新增毛利,118.821286,116.824571,98.646571,115.355857,87.612857,98.892714,1.996714,1.709156
1.1.北马其顿,北马其顿新增毛利,31.639286,39.945714,56.035429,33.665714,42.845429,45.321286,-8.306429,-20.794292
1.1.北马里亚纳群岛,北马里亚纳群岛新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.南极洲,南极洲新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.南苏丹,南苏丹新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.南非,南非新增毛利,189.478429,182.092286,180.971,197.447,228.270571,180.987571,7.386143,4.056263
1.1.博茨瓦纳,博茨瓦纳新增毛利,6.518333,6.1215,4.989714,11.066,5.4572,7.231,0.396833,6.482616
1.1.卡塔尔,卡塔尔新增毛利,22.880571,10.694,18.425,23.054286,32.173429,17.809714,12.186571,113.957092
1.1.卢旺达,卢旺达新增毛利,1.864333,9.095333,0.0,13.3805,1.164333,1.696,-7.231,-79.502309
1.1.卢森堡,卢森堡新增毛利,6.23,16.225286,20.527286,25.036714,14.726571,22.586833,-9.995286,-61.603141
1.1.印度,印度新增毛利,0.0,0.0,0.0,0.0,0.0,4.921,0.0,
1.1.印度尼西亚,印度尼西亚新增毛利,48.561143,49.468714,45.458286,56.906571,48.581,46.537714,-0.907571,-1.834637
1.1.危地马拉,危地马拉新增毛利,29.495,42.807,32.653857,50.109143,42.673429,20.85,-13.312,-31.097718
1.1.厄瓜多尔,厄瓜多尔新增毛利,70.727,53.023286,85.418571,79.757714,71.513857,86.172286,17.703714,33.388565
1.1.叙利亚,叙利亚新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.古巴,古巴新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.吉尔吉斯斯坦,吉尔吉斯斯坦新增毛利,59.783571,41.580286,49.724857,73.318286,73.689429,32.103429,18.203286,43.778645
1.1.吉布提,吉布提新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.哈萨克斯坦,哈萨克斯坦新增毛利,234.273,278.734429,242.243571,301.795429,227.856286,156.818571,-44.461429,-15.951179
