层级,指标,本周,上周,2周前,3周前,4周前,5周前,wow,wow%
1,整体 新增次留,0.142303,0.142372,0.144165,0.134085,0.138158,0.136863,-7e-05,-0.048988
1.1,渠道 新增次留,0.110935,0.107046,0.105954,0.095577,0.095517,0.092436,0.00389,3.633791
1.1.unknow,unknow 新增次留,0.0,0.0,,,,,0.0,
1.1.不丹,不丹 新增次留,,,,1.0,,1.0,,
1.1.东帝汶,东帝汶 新增次留,,,,,,0.0,,
1.1.中国,中国 新增次留,0.142857,0.0,0.0,0.5,1.0,0.0,0.142857,
1.1.中国台湾,中国台湾 新增次留,0.5,0.0,0.0,0.5,0.0,0.0,0.5,
1.1.中国澳门,中国澳门 新增次留,,,0.0,,0.0,0.0,,
1.1.中国香港,中国香港 新增次留,0.127731,0.130952,0.289157,0.2,0.146341,0.333333,-0.003221,-2.459893
1.1.中非,中非 新增次留,,,,,,,,
1.1.丹麦,丹麦 新增次留,0.333333,0.25,0.0,0.428571,0.142857,0.222222,0.083333,33.333333
1.1.乌克兰,乌克兰 新增次留,0.124294,0.124183,0.120805,0.134615,0.142045,0.106061,0.000111,0.089206
1.1.乌兹别克斯坦,乌兹别克斯坦 新增次留,0.1,0.076923,0.15,0.115385,0.086957,0.033333,0.023077,30.0
1.1.乌干达,乌干达 新增次留,0.333333,0.5,0.0,0.666667,0.0,0.285714,-0.166667,-33.333333
1.1.乌拉圭,乌拉圭 新增次留,0.0,0.0,0.0,0.111111,0.0,0.105263,0.0,
1.1.乍得,乍得 新增次留,,,,0.0,,0.0,,
1.1.也门,也门 新增次留,1.0,,,0.0,0.0,,,
1.1.亚美尼亚,亚美尼亚 新增次留,0.157895,0.0,0.166667,0.222222,0.142857,0.0,0.157895,
1.1.以色列,以色列 新增次留,0.055556,0.25,0.0,0.0,0.16,0.153846,-0.194444,-77.777778
1.1.伊拉克,伊拉克 新增次留,0.137255,0.068182,0.152174,0.148936,0.206897,0.108108,0.069073,101.30719
1.1.伊朗,伊朗 新增次留,0.123519,0.134387,0.17847,0.141343,0.189024,0.5,-0.010869,-8.087565
1.1.伯利兹,伯利兹 新增次留,,,0.0,0.0,,0.0,,
1.1.佛得角,佛得角 新增次留,1.0,0.0,,1.0,0.0,0.0,1.0,
1.1.俄罗斯,俄罗斯 新增次留,0.10098,0.115464,0.103844,0.106642,0.102922,0.1034,-0.014484,-12.543768
1.1.保加利亚,保加利亚 新增次留,0.142857,0.333333,0.095238,0.058824,0.454545,0.0,-0.190476,-57.142857
1.1.克罗地亚,克罗地亚 新增次留,0.192308,0.473684,0.25,0.0,0.48,0.117647,-0.281377,-59.401709
1.1.关岛,关岛 新增次留,0.0,0.0,,,0.5,,0.0,
1.1.冈比亚,冈比亚 新增次留,0.166667,0.1,0.066667,0.3,0.333333,0.333333,0.066667,66.666667
1.1.冰岛,冰岛 新增次留,0.0,0.0,0.5,0.0,0.0,,0.0,
1.1.几内亚,几内亚 新增次留,0.333333,0.0,0.0,1.0,,0.0,0.333333,
1.1.几内亚比绍,几内亚比绍 新增次留,,,,,,,,
1.1.列支敦士登,列支敦士登 新增次留,,,,,,,,
1.1.刚果共和国,刚果共和国 新增次留,0.0,,,0.0,0.0,,,
1.1.刚果民主共和国,刚果民主共和国 新增次留,1.0,0.5,0.333333,0.25,0.0,0.0,0.5,100.0
1.1.利比亚,利比亚 新增次留,0.333333,0.5,0.2,0.0,0.0,0.0,-0.166667,-33.333333
1.1.利比里亚,利比里亚 新增次留,0.0,1.0,0.0,1.0,0.0,0.333333,-1.0,-100.0
1.1.加拿大,加拿大 新增次留,0.105488,0.086106,0.081408,0.072362,0.063628,0.068515,0.019382,22.509047
1.1.加纳,加纳 新增次留,0.2,0.184211,0.257143,0.190476,0.357143,0.354839,0.015789,8.571429
1.1.加蓬,加蓬 新增次留,,,0.0,,,0.0,,
1.1.匈牙利,匈牙利 新增次留,0.0,0.111111,0.0,0.153846,0.111111,0.0,-0.111111,-100.0
1.1.北马其顿,北马其顿 新增次留,0.333333,0.5,0.0,0.166667,0.428571,0.166667,-0.166667,-33.333333
1.1.北马里亚纳群岛,北马里亚纳群岛 新增次留,,,,0.0,,,,
1.1.南苏丹,南苏丹 新增次留,0.166667,0.139535,0.348837,0.25,0.142857,0.479167,0.027132,19.444444
1.1.南非,南非 新增次留,0.125,0.136364,0.2,0.2,0.076923,0.214286,-0.011364,-8.333333
1.1.博茨瓦纳,博茨瓦纳 新增次留,0.0,,,,0.0,0.0,,
1.1.卡塔尔,卡塔尔 新增次留,0.153846,0.25,0.0,0.125,0.1,0.2,-0.096154,-38.461538
1.1.卢旺达,卢旺达 新增次留,0.25,,0.0,1.0,,,,
1.1.卢森堡,卢森堡 新增次留,0.0,0.0,0.0,0.0,0.5,0.0,0.0,
1.1.印度,印度 新增次留,0.192513,0.154762,0.190141,0.198795,0.190751,0.177632,0.037751,24.393254
1.1.印度尼西亚,印度尼西亚 新增次留,0.090909,0.104167,0.135135,0.219512,0.15625,0.162162,-0.013258,-12.727273
1.1.危地马拉,危地马拉 新增次留,0.133333,0.0,0.0,0.0,0.142857,0.1,0.133333,
1.1.厄瓜多尔,厄瓜多尔 新增次留,0.216216,0.08,0.055556,0.035714,0.16129,0.071429,0.136216,170.27027
1.1.叙利亚,叙利亚 新增次留,0.137931,0.227273,0.166667,0.152174,0.117647,0.166667,-0.089342,-39.310345
1.1.古巴,古巴 新增次留,0.142857,0.0,0.166667,0.5,0.0,0.0,0.142857,
1.1.吉尔吉斯斯坦,吉尔吉斯斯坦 新增次留,0.1875,0.166667,0.125,0.133333,0.117647,0.111111,0.020833,12.5
1.1.吉布提,吉布提 新增次留,,,,0.0,0.0,,,
1.1.哈萨克斯坦,哈萨克斯坦 新增次留,0.166667,0.106383,0.050847,0.145833,0.095238,0.150943,0.060284,56.666667
1.1.哥伦比亚,哥伦比亚 新增次留,0.132653,0.085106,0.065934,0.097826,0.028846,0.117188,0.047547,55.867347
1.1.哥斯达黎加,哥斯达黎加 新增次留,0.1,0.0,0.2,0.384615,0.0,0.0,0.1,
1.1.喀麦隆,喀麦隆 新增次留,0.4,0.2,0.4,0.0,1.0,0.0,0.2,100.0
1.1.图瓦卢,图瓦卢 新增次留,,,,,,,,
1.1.土库曼斯坦,土库曼斯坦 新增次留,,,0.0,0.0,0.5,,,
1.1.土耳其,土耳其 新增次留,0.097278,0.079014,0.08105,0.090114,0.09629,0.087531,0.018264,23.114284
1.1.圣卢西亚,圣卢西亚 新增次留,,,,0.0,,,,
1.1.圣基茨和尼维斯,圣基茨和尼维斯 新增次留,,,,1.0,,,,
1.1.圣多美和普林西比,圣多美和普林西比 新增次留,,,,,,,,
1.1.圣文森特和格林纳丁斯,圣文森特和格林纳丁斯 新增次留,0.0,,,,,,,
1.1.圣皮埃尔和密克隆群岛,圣皮埃尔和密克隆群岛 新增次留,,,,,,,,
1.1.圣马力诺,圣马力诺 新增次留,,,,,0.0,,,
1.1.圭亚那,圭亚那 新增次留,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.坦桑尼亚,坦桑尼亚 新增次留,0.285714,0.25,0.2,0.3,0.0,0.0,0.035714,14.285714
1.1.埃及,埃及 新增次留,0.163265,0.226415,0.23913,0.103448,0.234568,0.05,-0.06315,-27.891156
1.1.埃塞俄比亚,埃塞俄比亚 新增次留,0.0,0.4,0.0,0.3,0.0,0.142857,-0.4,-100.0
1.1.基里巴斯,基里巴斯 新增次留,,,,,0.0,,,
1.1.塔吉克斯坦,塔吉克斯坦 新增次留,0.0,0.666667,0.0,0.0,0.0,0.0,-0.666667,-100.0
1.1.塞内加尔,塞内加尔 新增次留,0.0,0.0,0.2,0.416667,0.25,0.333333,0.0,
