层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1,整体 新增次留,0.142303,0.142372,0.144165,0.134085,0.138158,0.136863,0.128231,0.134897,-7e-05,-0.048988,-7e-05,100.0,-0.048988
1.1,渠道 新增次留,0.110935,0.107046,0.105954,0.095577,0.095517,0.092436,0.090674,0.087845,0.00389,3.633791,0.001579204,-2256.005747,1.105172
1.1.unknow,unknow 新增次留,0.0,0.0,,,,,,,0.0,,0.0,-0.0,0.0
1.1.不丹,不丹 新增次留,,,,1.0,,1.0,0.0,0.0,,,,,
1.1.东帝汶,东帝汶 新增次留,,,,,,0.0,0.0,0.0,,,,,
1.1.中国,中国 新增次留,0.142857,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.142857,,3.379e-06,-4.827196,0.002365
1.1.中国台湾,中国台湾 新增次留,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.65573e-05,-23.653283,0.011587
1.1.中国澳门,中国澳门 新增次留,,,0.0,,0.0,0.0,0.0,1.0,,,,,
1.1.中国香港,中国香港 新增次留,0.127731,0.130952,0.289157,0.2,0.146341,0.333333,0.142857,0.071429,-0.003221,-2.459893,-9.142e-07,1.306067,-0.00064
1.1.中非,中非 新增次留,,,,,,,1.0,0.333333,,,,,
1.1.丹麦,丹麦 新增次留,0.333333,0.25,0.0,0.428571,0.142857,0.222222,0.357143,0.0,0.083333,33.333333,2.6281e-06,-3.754473,0.001839
1.1.乌克兰,乌克兰 新增次留,0.124294,0.124183,0.120805,0.134615,0.142045,0.106061,0.085714,0.095618,0.000111,0.089206,5.74e-08,-0.08198,4e-05
1.1.乌兹别克斯坦,乌兹别克斯坦 新增次留,0.1,0.076923,0.15,0.115385,0.086957,0.033333,0.083333,0.166667,0.023077,30.0,2.0274e-06,-2.89633,0.001419
1.1.乌干达,乌干达 新增次留,0.333333,0.5,0.0,0.666667,0.0,0.285714,0.125,0.5,-0.166667,-33.333333,-3.9422e-06,5.631745,-0.002759
1.1.乌拉圭,乌拉圭 新增次留,0.0,0.0,0.0,0.111111,0.0,0.105263,0.076923,0.052632,0.0,,0.0,-0.0,0.0
1.1.乍得,乍得 新增次留,,,,0.0,,0.0,0.0,,,,,,
1.1.也门,也门 新增次留,1.0,,,0.0,0.0,,,0.5,,,,,
1.1.亚美尼亚,亚美尼亚 新增次留,0.157895,0.0,0.166667,0.222222,0.142857,0.0,0.333333,0.1,0.157895,,9.9593e-06,-14.227564,0.00697
1.1.以色列,以色列 新增次留,0.055556,0.25,0.0,0.0,0.16,0.153846,0.038462,0.0,-0.194444,-77.777778,-9.1985e-06,13.140683,-0.006437
1.1.伊拉克,伊拉克 新增次留,0.137255,0.068182,0.152174,0.148936,0.206897,0.108108,0.041667,0.075472,0.069073,101.30719,1.02696e-05,-14.670886,0.007187
1.1.伊朗,伊朗 新增次留,0.123519,0.134387,0.17847,0.141343,0.189024,0.5,0.0,0.5,-0.010869,-8.087565,-2.78731e-05,39.818671,-0.019506
1.1.伯利兹,伯利兹 新增次留,,,0.0,0.0,,0.0,0.0,0.0,,,,,
1.1.佛得角,佛得角 新增次留,1.0,0.0,,1.0,0.0,0.0,,,1.0,,2.36533e-05,-33.790405,0.016553
