层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,wow,wow%
1,日均订阅毛利（剔除退款，$）,139307.200857,125573.207286,130205.769,128979.13,132157.568714,130155.445571,131974.666571,13733.993571,10.937041
1.1,新增毛利,67073.118857,64702.051857,67470.585286,68773.459429,69906.667143,68766.961,66666.334714,2371.067,3.664593
1.1.不丹,不丹新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,29.327,0.0,
1.1.东帝汶,东帝汶新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.中国,中国新增毛利,7.686286,13.079667,1.2408,0.0,12.3705,16.7594,4.634333,-5.393381,-41.23485
1.1.中国内地,中国内地新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.中国台湾,中国台湾新增毛利,0.0,21.0292,4.889,13.177571,6.562667,20.932667,8.539857,-21.0292,-100.0
1.1.中国澳门,中国澳门新增毛利,0.0,0.0,19.273,0.0,0.0,0.0,0.0,0.0,
1.1.中国香港,中国香港新增毛利,19.904,13.645286,9.488,36.4225,8.788667,14.043714,9.078429,6.258714,45.867228
1.1.中非,中非新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.丹麦,丹麦新增毛利,181.660429,144.825286,128.712571,151.237286,140.187143,131.503571,133.187714,36.835143,25.434193
1.1.乌克兰,乌克兰新增毛利,727.561,673.244,687.266429,687.426143,789.184,659.531571,556.638571,54.317,8.067952
1.1.乌兹别克斯坦,乌兹别克斯坦新增毛利,26.661143,24.228571,36.821286,41.401,16.569714,18.221286,25.094286,2.432571,10.040094
1.1.乌干达,乌干达新增毛利,4.023857,0.7505,9.813,9.484667,10.1374,16.401429,9.0134,3.273357,436.156848
1.1.乌拉圭,乌拉圭新增毛利,7.561286,17.638,31.976286,16.494857,11.255429,8.395714,10.658,-10.076714,-57.130708
1.1.乍得,乍得新增毛利,0.0,0.0,0.0,0.0,5.593,0.0,0.0,0.0,
1.1.也门,也门新增毛利,1.3965,0.0,0.0,0.0,0.0,0.0,0.0,1.3965,
1.1.亚美尼亚,亚美尼亚新增毛利,27.134,38.864857,33.441857,40.075143,14.223714,37.854286,26.487429,-11.730857,-30.183714
1.1.以色列,以色列新增毛利,389.224714,408.368857,460.902143,454.951857,461.195429,488.521714,382.639571,-19.144143,-4.687954
1.1.伊拉克,伊拉克新增毛利,7.658,4.3386,6.047,10.651714,1.707286,6.8042,9.659429,3.3194,76.508551
1.1.伊朗,伊朗新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.伯利兹,伯利兹新增毛利,0.0,0.0,0.0,0.0,10.8465,0.0,5.805667,0.0,
1.1.佛得角,佛得角新增毛利,3.375,10.8465,0.0,15.043,0.0,0.0,21.693,-7.4715,-68.883972
