层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,wow,wow%
1,整体 DAU,741351.714286,730721.571429,723297.0,740301.428571,718559.285714,732984.0,695293.571429,10630.142857,1.454746
1.1,新用户 DAU,49009.285714,42443.714286,42277.428571,44210.285714,45928.142857,47333.857143,42419.0,6565.571429,15.46889
1.2,老用户 DAU,692342.428571,688277.857143,681019.571429,696091.142857,672631.142857,685650.142857,652874.571429,4064.571429,0.590542
1.2.unknow,unknow DAU,58.571429,55.857143,49.714286,56.857143,51.142857,64.285714,67.0,2.714286,4.859335
1.2.unknow.1,iOS DAU,37.142857,34.0,26.714286,29.285714,32.0,39.428571,39.285714,3.142857,9.243697
1.2.unknow.2,Android DAU,21.428571,21.857143,23.0,27.571429,19.142857,24.857143,27.714286,-0.428571,-1.960784
1.2.不丹,不丹 DAU,3.428571,4.571429,4.285714,4.714286,4.857143,5.428571,4.142857,-1.142857,-25.0
1.2.不丹.1,iOS DAU,1.857143,2.857143,2.666667,3.6,3.0,2.833333,1.833333,-1.0,-35.0
1.2.不丹.2,Android DAU,1.833333,1.714286,2.333333,2.142857,2.166667,3.5,2.571429,0.119048,6.944444
1.2.东帝汶,东帝汶 DAU,7.142857,7.857143,7.857143,8.428571,9.571429,8.714286,9.428571,-0.714286,-9.090909
1.2.东帝汶.1,iOS DAU,3.285714,4.0,4.142857,4.285714,6.142857,5.428571,5.0,-0.714286,-17.857143
1.2.东帝汶.2,Android DAU,3.857143,3.857143,3.714286,4.142857,3.428571,3.833333,4.428571,0.0,0.0
1.2.中国,中国 DAU,360.714286,468.285714,348.285714,340.428571,327.714286,320.857143,319.857143,-107.571429,-22.971324
1.2.中国.1,iOS DAU,159.142857,255.142857,149.428571,155.714286,149.285714,143.714286,143.714286,-96.0,-37.62598
1.2.中国.2,Android DAU,201.571429,213.142857,198.857143,184.714286,178.428571,177.142857,176.142857,-11.571429,-5.428954
1.2.中国台湾,中国台湾 DAU,172.714286,175.571429,178.428571,168.428571,183.571429,192.714286,193.428571,-2.857143,-1.627339
1.2.中国台湾.1,iOS DAU,110.714286,108.0,115.571429,100.285714,124.0,134.428571,137.285714,2.714286,2.513228
1.2.中国台湾.2,Android DAU,62.0,67.571429,62.857143,68.142857,59.571429,58.285714,56.142857,-5.571429,-8.245243
1.2.中国澳门,中国澳门 DAU,15.0,12.142857,13.428571,13.428571,19.571429,19.857143,16.0,2.857143,23.529412
1.2.中国澳门.1,iOS DAU,14.285714,11.0,12.0,11.428571,17.428571,17.714286,14.142857,3.285714,29.87013
1.2.中国澳门.2,Android DAU,1.0,1.142857,2.5,2.0,2.142857,2.142857,1.857143,-0.142857,-12.5
1.2.中国香港,中国香港 DAU,880.285714,951.571429,579.142857,734.714286,838.142857,578.428571,789.142857,-71.285714,-7.491368
1.2.中国香港.1,iOS DAU,623.857143,841.857143,486.428571,608.714286,736.428571,447.571429,667.285714,-218.0,-25.89513
1.2.中国香港.2,Android DAU,256.428571,109.714286,92.714286,126.0,101.714286,130.857143,121.857143,146.714286,133.723958
1.2.中非,中非 DAU,2.571429,2.571429,2.0,2.5,2.333333,2.333333,2.0,0.0,0.0
1.2.中非.1,iOS DAU,3.333333,1.333333,1.25,1.666667,1.0,1.0,1.333333,2.0,150.0
1.2.中非.2,Android DAU,1.333333,2.333333,1.5,1.666667,2.0,2.25,1.5,-1.0,-42.857143
1.2.丹麦,丹麦 DAU,876.714286,976.857143,851.0,817.285714,844.285714,903.428571,793.0,-100.142857,-10.251536
1.2.丹麦.1,iOS DAU,800.142857,896.0,777.0,746.571429,763.571429,824.0,718.714286,-95.857143,-10.698342
1.2.丹麦.2,Android DAU,76.571429,80.857143,74.0,70.714286,80.714286,79.428571,74.285714,-4.285714,-5.300353
1.2.乌克兰,乌克兰 DAU,7563.857143,7804.0,7329.285714,7355.571429,7196.714286,7785.714286,7356.714286,-240.142857,-3.077177
1.2.乌克兰.1,iOS DAU,6356.428571,6571.857143,6165.428571,6196.142857,6025.857143,6537.857143,6087.857143,-215.428571,-3.278047
1.2.乌克兰.2,Android DAU,1207.428571,1232.142857,1163.857143,1159.428571,1170.857143,1247.857143,1268.857143,-24.714286,-2.005797
1.2.乌兹别克斯坦,乌兹别克斯坦 DAU,316.285714,278.428571,282.714286,275.142857,281.285714,307.0,278.0,37.857143,13.596716
1.2.乌兹别克斯坦.1,iOS DAU,220.571429,194.857143,200.571429,191.142857,195.714286,215.142857,187.571429,25.714286,13.196481
1.2.乌兹别克斯坦.2,Android DAU,95.714286,83.571429,82.142857,84.0,85.571429,91.857143,90.428571,12.142857,14.529915
1.2.乌干达,乌干达 DAU,192.0,199.571429,192.428571,205.857143,205.714286,207.428571,204.571429,-7.571429,-3.793844
1.2.乌干达.1,iOS DAU,97.571429,98.571429,91.714286,97.0,102.428571,97.571429,93.857143,-1.0,-1.014493
1.2.乌干达.2,Android DAU,94.428571,101.0,100.714286,108.857143,103.285714,109.857143,110.714286,-6.571429,-6.506365
1.2.乌拉圭,乌拉圭 DAU,364.857143,354.285714,377.857143,373.0,371.285714,363.714286,390.0,10.571429,2.983871
1.2.乌拉圭.1,iOS DAU,261.857143,250.428571,267.571429,266.0,262.857143,253.428571,274.285714,11.428571,4.563605
1.2.乌拉圭.2,Android DAU,103.0,103.857143,110.285714,107.0,108.428571,110.285714,115.714286,-0.857143,-0.825309
1.2.乍得,乍得 DAU,6.857143,9.428571,9.285714,9.857143,10.428571,8.857143,9.0,-2.571429,-27.272727
1.2.乍得.1,iOS DAU,2.0,4.142857,2.428571,3.5,3.714286,2.285714,3.142857,-2.142857,-51.724138
1.2.乍得.2,Android DAU,5.142857,5.285714,6.857143,6.857143,6.714286,6.571429,5.857143,-0.142857,-2.702703
1.2.也门,也门 DAU,50.857143,49.428571,49.714286,51.857143,54.285714,64.142857,58.285714,1.428571,2.890173
1.2.也门.1,iOS DAU,8.285714,6.857143,6.285714,6.142857,7.857143,9.857143,6.714286,1.428571,20.833333
1.2.也门.2,Android DAU,42.571429,42.571429,43.428571,45.714286,46.428571,54.285714,51.571429,0.0,0.0
1.2.亚美尼亚,亚美尼亚 DAU,613.428571,624.0,603.285714,474.857143,471.571429,482.857143,466.285714,-10.571429,-1.694139
1.2.亚美尼亚.1,iOS DAU,502.142857,504.857143,497.714286,392.571429,380.857143,384.571429,374.0,-2.714286,-0.537634
1.2.亚美尼亚.2,Android DAU,111.285714,119.142857,105.571429,82.285714,90.714286,98.285714,92.285714,-7.857143,-6.594724
1.2.以色列,以色列 DAU,2129.857143,2189.714286,2270.428571,2281.0,2278.142857,2417.142857,2235.0,-59.857143,-2.733559
1.2.以色列.1,iOS DAU,1978.428571,2058.142857,2147.714286,2145.285714,2145.0,2282.0,2105.285714,-79.714286,-3.873117
1.2.以色列.2,Android DAU,151.428571,131.571429,122.714286,135.714286,133.142857,135.142857,129.714286,19.857143,15.092291
1.2.伊拉克,伊拉克 DAU,662.857143,662.857143,672.857143,703.285714,734.142857,911.142857,733.714286,0.0,0.0
1.2.伊拉克.1,iOS DAU,386.142857,374.714286,401.285714,413.0,443.285714,558.428571,427.285714,11.428571,3.049943
1.2.伊拉克.2,Android DAU,276.714286,288.142857,271.571429,290.285714,290.857143,352.714286,306.428571,-11.428571,-3.966287
1.2.伊朗,伊朗 DAU,6207.285714,4605.714286,4891.714286,4977.428571,4985.285714,3962.0,535.0,1601.571429,34.773573
1.2.伊朗.1,iOS DAU,1995.857143,1852.714286,2087.285714,2075.428571,2087.428571,1629.857143,271.714286,143.142857,7.726116
1.2.伊朗.2,Android DAU,4211.428571,2753.0,2804.428571,2902.0,2897.857143,2332.142857,263.285714,1458.428571,52.975974
1.2.伯利兹,伯利兹 DAU,59.285714,58.571429,59.571429,60.714286,63.714286,61.285714,66.428571,0.714286,1.219512
1.2.伯利兹.1,iOS DAU,46.285714,43.714286,43.428571,46.142857,49.285714,46.428571,49.142857,2.571429,5.882353
1.2.伯利兹.2,Android DAU,13.0,14.857143,16.142857,14.571429,14.428571,14.857143,17.285714,-1.857143,-12.5
1.2.佛得角,佛得角 DAU,49.285714,54.714286,55.571429,53.857143,54.714286,49.571429,50.285714,-5.428571,-9.921671
1.2.佛得角.1,iOS DAU,39.428571,43.142857,45.0,45.714286,43.571429,39.571429,41.428571,-3.714286,-8.609272
1.2.佛得角.2,Android DAU,9.857143,11.571429,10.571429,8.142857,11.142857,10.0,8.857143,-1.714286,-14.814815
1.2.俄罗斯,俄罗斯 DAU,26113.142857,26369.428571,26245.142857,27982.714286,26324.857143,26563.142857,26066.142857,-256.285714,-0.971905
1.2.俄罗斯.1,iOS DAU,18473.428571,18720.428571,18787.0,20168.428571,18751.857143,18704.0,18446.0,-247.0,-1.319414
1.2.俄罗斯.2,Android DAU,7639.714286,7649.0,7458.142857,7814.285714,7573.0,7859.142857,7620.142857,-9.285714,-0.121398
1.2.保加利亚,保加利亚 DAU,1290.428571,1264.142857,1247.571429,1206.428571,1194.285714,1291.142857,1107.285714,26.285714,2.079331
1.2.保加利亚.1,iOS DAU,1041.0,1026.857143,1032.714286,988.857143,976.428571,1058.142857,903.142857,14.142857,1.377295
1.2.保加利亚.2,Android DAU,249.428571,237.285714,214.857143,217.571429,217.857143,233.0,204.142857,12.142857,5.117399
1.2.克罗地亚,克罗地亚 DAU,1822.428571,1882.571429,1720.428571,1643.0,1627.714286,1617.142857,1475.857143,-60.142857,-3.194718
1.2.克罗地亚.1,iOS DAU,1377.714286,1429.428571,1296.857143,1243.142857,1228.0,1205.285714,1084.142857,-51.714286,-3.617829
1.2.克罗地亚.2,Android DAU,444.714286,453.142857,423.571429,399.857143,399.714286,411.857143,391.714286,-8.428571,-1.860025
1.2.关岛,关岛 DAU,33.142857,34.0,36.857143,36.714286,39.0,38.857143,36.857143,-0.857143,-2.521008
1.2.关岛.1,iOS DAU,29.571429,29.142857,33.428571,34.428571,35.428571,34.714286,33.714286,0.428571,1.470588
1.2.关岛.2,Android DAU,3.571429,4.857143,3.428571,2.285714,3.571429,4.142857,3.142857,-1.285714,-26.470588
1.2.冈比亚,冈比亚 DAU,225.142857,239.0,234.142857,242.428571,331.571429,403.0,215.285714,-13.857143,-5.797968
1.2.冈比亚.1,iOS DAU,156.0,158.714286,161.571429,175.428571,239.142857,288.285714,149.285714,-2.714286,-1.710171
1.2.冈比亚.2,Android DAU,69.142857,80.285714,72.571429,67.0,92.428571,114.714286,66.0,-11.142857,-13.879004
1.2.冰岛,冰岛 DAU,110.714286,122.0,136.857143,122.142857,112.571429,118.0,118.142857,-11.285714,-9.250585
1.2.冰岛.1,iOS DAU,96.285714,105.285714,120.0,107.857143,99.571429,102.0,103.857143,-9.0,-8.548168
1.2.冰岛.2,Android DAU,14.428571,16.714286,16.857143,14.285714,13.0,16.0,14.285714,-2.285714,-13.675214
1.2.几内亚,几内亚 DAU,65.714286,64.571429,68.571429,73.142857,71.428571,82.428571,55.857143,1.142857,1.769912
1.2.几内亚.1,iOS DAU,50.285714,49.0,52.428571,55.714286,55.857143,61.285714,42.714286,1.285714,2.623907
1.2.几内亚.2,Android DAU,15.428571,15.571429,16.142857,17.428571,15.571429,21.142857,13.142857,-0.142857,-0.917431
1.2.几内亚比绍,几内亚比绍 DAU,10.857143,7.428571,10.0,7.857143,8.285714,10.0,9.285714,3.428571,46.153846
1.2.几内亚比绍.1,iOS DAU,6.571429,5.142857,6.142857,5.142857,5.571429,6.142857,4.285714,1.428571,27.777778
1.2.几内亚比绍.2,Android DAU,5.0,2.666667,4.5,2.714286,3.166667,3.857143,5.0,2.333333,87.5
1.2.列支敦士登,列支敦士登 DAU,2.142857,3.5,3.333333,2.571429,4.285714,8.857143,8.0,-1.357143,-38.77551
1.2.列支敦士登.1,iOS DAU,2.142857,3.5,3.333333,2.428571,3.857143,7.428571,6.0,-1.357143,-38.77551
1.2.列支敦士登.2,Android DAU,0.0,0.0,0.0,1.0,1.5,1.666667,2.333333,0.0,
1.2.刚果共和国,刚果共和国 DAU,28.571429,31.0,33.285714,34.571429,25.0,32.571429,25.142857,-2.428571,-7.834101
1.2.刚果共和国.1,iOS DAU,15.714286,19.142857,21.285714,21.571429,13.857143,20.857143,14.285714,-3.428571,-17.910448
1.2.刚果共和国.2,Android DAU,12.857143,11.857143,12.0,13.0,11.142857,11.714286,10.857143,1.0,8.433735
1.2.刚果民主共和国,刚果民主共和国 DAU,160.0,155.428571,157.714286,165.428571,169.285714,167.857143,157.714286,4.571429,2.941176
1.2.刚果民主共和国.1,iOS DAU,60.428571,58.428571,64.285714,65.571429,62.571429,66.0,60.857143,2.0,3.422983
1.2.刚果民主共和国.2,Android DAU,99.571429,97.0,93.428571,99.857143,106.714286,101.857143,96.857143,2.571429,2.650957
1.2.利比亚,利比亚 DAU,112.571429,112.714286,110.142857,109.428571,115.428571,129.857143,114.428571,-0.142857,-0.126743
1.2.利比亚.1,iOS DAU,57.0,57.714286,55.571429,56.0,59.428571,65.0,54.571429,-0.714286,-1.237624
1.2.利比亚.2,Android DAU,55.571429,55.0,54.571429,53.428571,56.0,64.857143,59.857143,0.571429,1.038961
1.2.利比里亚,利比里亚 DAU,342.142857,327.285714,339.857143,331.714286,347.428571,352.0,347.285714,14.857143,4.539502
1.2.利比里亚.1,iOS DAU,139.142857,132.571429,139.285714,137.285714,132.142857,131.428571,137.714286,6.571429,4.956897
1.2.利比里亚.2,Android DAU,203.0,194.714286,200.571429,194.428571,215.285714,220.571429,209.571429,8.285714,4.255319
1.2.加拿大,加拿大 DAU,12480.428571,11971.857143,11558.0,11625.714286,11437.714286,11292.428571,11330.0,508.571429,4.248058
1.2.加拿大.1,iOS DAU,10780.285714,10321.142857,9974.714286,10000.0,9881.142857,9764.142857,9783.285714,459.142857,4.448566
1.2.加拿大.2,Android DAU,1700.142857,1650.714286,1583.285714,1625.714286,1556.571429,1528.285714,1546.714286,49.428571,2.994375
1.2.加纳,加纳 DAU,999.428571,1023.857143,1068.571429,1047.142857,986.428571,1103.285714,1001.857143,-24.428571,-2.385936
1.2.加纳.1,iOS DAU,822.0,844.428571,882.0,869.142857,809.0,909.857143,820.571429,-22.428571,-2.656065
1.2.加纳.2,Android DAU,177.428571,179.428571,186.571429,178.0,177.428571,193.428571,181.285714,-2.0,-1.11465
1.2.加蓬,加蓬 DAU,6.285714,5.714286,5.0,5.571429,6.0,6.285714,8.857143,0.571429,10.0
1.2.加蓬.1,iOS DAU,2.0,1.8,1.5,1.25,2.0,1.4,1.857143,0.2,11.111111
1.2.加蓬.2,Android DAU,4.571429,4.428571,4.571429,4.857143,4.571429,5.285714,7.0,0.142857,3.225806
1.2.匈牙利,匈牙利 DAU,949.285714,943.571429,926.428571,937.428571,898.285714,958.285714,892.571429,5.714286,0.605602
1.2.匈牙利.1,iOS DAU,739.142857,732.714286,718.142857,717.571429,690.142857,731.0,677.857143,6.428571,0.877364
1.2.匈牙利.2,Android DAU,210.142857,210.857143,208.285714,219.857143,208.142857,227.285714,214.714286,-0.714286,-0.338753
1.2.北马其顿,北马其顿 DAU,600.285714,615.285714,614.142857,655.714286,661.0,725.714286,634.571429,-15.0,-2.437892
1.2.北马其顿.1,iOS DAU,489.142857,494.571429,492.428571,527.0,536.285714,580.142857,510.0,-5.428571,-1.097631
1.2.北马其顿.2,Android DAU,111.142857,120.714286,121.714286,128.714286,124.714286,145.571429,124.571429,-9.571429,-7.928994
