层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,wow,wow%
1,整体 次留,0.323171,0.32246,0.325393,0.325307,0.317409,0.321539,0.319666,0.000712,0.220655
1.1,新用户 次留,0.136161,0.142303,0.142372,0.144165,0.134085,0.138158,0.136863,-0.006142,-4.316123
1.2,老用户 次留,0.33641,0.33357,0.336754,0.336812,0.329927,0.334198,0.331543,0.00284,0.851366
1.2.1,Android 次留,0.318702,0.320279,0.323064,0.320111,0.315694,0.321347,0.319065,-0.001577,-0.492332
1.2.1.unknow,unknow 次留,0.28,0.261438,0.273292,0.253886,0.283582,0.264368,0.350515,0.018562,7.1
1.2.1.不丹,不丹 次留,0.0,0.0,0.142857,0.133333,0.153846,0.285714,0.333333,0.0,
1.2.1.东帝汶,东帝汶 次留,0.592593,0.518519,0.346154,0.517241,0.416667,0.304348,0.387097,0.074074,14.285714
1.2.1.中国,中国 次留,0.390503,0.366622,0.375718,0.351121,0.341873,0.353226,0.326845,0.023881,6.51385
1.2.1.中国台湾,中国台湾 次留,0.352535,0.346723,0.409091,0.379455,0.357314,0.348039,0.358779,0.005812,1.676127
1.2.1.中国澳门,中国澳门 次留,0.0,0.375,0.5,0.357143,0.4,0.466667,0.692308,-0.375,-100.0
1.2.1.中国香港,中国香港 次留,0.271309,0.347656,0.389831,0.422902,0.375,0.406114,0.426729,-0.076347,-21.960502
1.2.1.中非,中非 次留,0.25,0.214286,0.111111,0.1,0.083333,0.111111,0.0,0.035714,16.666667
1.2.1.丹麦,丹麦 次留,0.347015,0.416961,0.382239,0.355556,0.39823,0.366906,0.392308,-0.069946,-16.775234
1.2.1.乌克兰,乌克兰 次留,0.354709,0.358145,0.350313,0.352514,0.342972,0.346308,0.346881,-0.003436,-0.959383
1.2.1.乌兹别克斯坦,乌兹别克斯坦 次留,0.249254,0.299145,0.269565,0.289116,0.265442,0.253499,0.276461,-0.049892,-16.678038
1.2.1.乌干达,乌干达 次留,0.267776,0.25884,0.26383,0.272966,0.233748,0.243173,0.227097,0.008936,3.452295
1.2.1.乌拉圭,乌拉圭 次留,0.367545,0.371389,0.348446,0.381842,0.362319,0.301813,0.365432,-0.003844,-1.035085
1.2.1.乍得,乍得 次留,0.138889,0.135135,0.125,0.0625,0.234043,0.173913,0.097561,0.003754,2.777778
1.2.1.也门,也门 次留,0.312081,0.251678,0.319079,0.28125,0.270769,0.25,0.274238,0.060403,24.0
1.2.1.亚美尼亚,亚美尼亚 次留,0.292683,0.282974,0.294993,0.279514,0.313386,0.360465,0.306502,0.009709,3.43117
1.2.1.以色列,以色列 次留,0.366038,0.41911,0.365541,0.384211,0.377682,0.374207,0.386564,-0.053072,-12.663017
1.2.1.伊拉克,伊拉克 次留,0.27207,0.280615,0.283535,0.271654,0.281925,0.299716,0.271795,-0.008545,-3.044944
1.2.1.伊朗,伊朗 次留,0.237687,0.260806,0.260404,0.273801,0.264087,0.262848,0.2344,-0.02312,-8.864747
1.2.1.伯利兹,伯利兹 次留,0.384615,0.317308,0.274336,0.284314,0.376238,0.298077,0.380165,0.067308,21.212121
1.2.1.佛得角,佛得角 次留,0.376812,0.358025,0.445946,0.526316,0.461538,0.414286,0.306452,0.018787,5.247376
1.2.1.俄罗斯,俄罗斯 次留,0.312577,0.309994,0.314479,0.317276,0.312614,0.306813,0.307306,0.002583,0.833338
1.2.1.保加利亚,保加利亚 次留,0.396907,0.36484,0.367686,0.388707,0.372459,0.361128,0.36529,0.032067,8.789255
1.2.1.克罗地亚,克罗地亚 次留,0.397366,0.402585,0.406408,0.376206,0.36669,0.389872,0.369438,-0.005219,-1.29643
1.2.1.关岛,关岛 次留,0.48,0.411765,0.375,0.3125,0.28,0.275862,0.318182,0.068235,16.571429
1.2.1.冈比亚,冈比亚 次留,0.214876,0.24911,0.259843,0.200426,0.177743,0.333748,0.238095,-0.034234,-13.742621
1.2.1.冰岛,冰岛 次留,0.455446,0.435897,0.364407,0.42,0.362637,0.419643,0.42,0.019548,4.484566
1.2.1.几内亚,几内亚 次留,0.259259,0.275229,0.221239,0.237705,0.211009,0.236486,0.206522,-0.01597,-5.802469
1.2.1.几内亚比绍,几内亚比绍 次留,0.3,0.0625,0.185185,0.157895,0.315789,0.296296,0.171429,0.2375,380.0
1.2.1.列支敦士登,列支敦士登 次留,,,,0.0,1.0,0.6,0.571429,,
1.2.1.刚果共和国,刚果共和国 次留,0.244444,0.240964,0.22619,0.21978,0.282051,0.243902,0.157895,0.003481,1.444444
1.2.1.刚果民主共和国,刚果民主共和国 次留,0.259684,0.266568,0.284404,0.257511,0.271754,0.258065,0.252212,-0.006884,-2.582496
1.2.1.利比亚,利比亚 次留,0.213368,0.225974,0.232984,0.216578,0.178571,0.251101,0.214797,-0.012606,-5.578702
1.2.1.利比里亚,利比里亚 次留,0.176636,0.156273,0.155983,0.171932,0.162575,0.182642,0.152693,0.020363,13.030564
1.2.1.加拿大,加拿大 次留,0.361314,0.356642,0.36777,0.360281,0.365547,0.3596,0.358825,0.004672,1.310005
1.2.1.加纳,加纳 次留,0.247182,0.257962,0.255743,0.288925,0.266506,0.309453,0.312057,-0.01078,-4.178843
1.2.1.加蓬,加蓬 次留,0.25,0.225806,0.28125,0.205882,0.3125,0.135135,0.204082,0.024194,10.714286
1.2.1.匈牙利,匈牙利 次留,0.354861,0.362466,0.375857,0.367771,0.345916,0.349466,0.359947,-0.007605,-2.098261
1.2.1.北马其顿,北马其顿 次留,0.329049,0.336095,0.338028,0.337403,0.345934,0.352306,0.347477,-0.007046,-2.096383
1.2.1.北马里亚纳群岛,北马里亚纳群岛 次留,,,,,0.0,0.75,0.0,,
1.2.1.南极洲,南极洲 次留,0.0,,,,,0.0,0.25,,
1.2.1.南苏丹,南苏丹 次留,0.174285,0.185633,0.190395,0.181436,0.175468,0.171306,0.178756,-0.011348,-6.113139
1.2.1.南非,南非 次留,0.349457,0.36832,0.347181,0.351002,0.353733,0.352338,0.352405,-0.018863,-5.12129
1.2.1.博茨瓦纳,博茨瓦纳 次留,0.270968,0.348101,0.404255,0.348571,0.355,0.342105,0.34715,-0.077134,-22.158358
1.2.1.卡塔尔,卡塔尔 次留,0.295031,0.259259,0.266106,0.283286,0.233333,0.297398,0.257732,0.035772,13.797693
1.2.1.卢旺达,卢旺达 次留,0.283854,0.271709,0.261194,0.202667,0.263456,0.276215,0.2343,0.012145,4.470039
1.2.1.卢森堡,卢森堡 次留,0.387097,0.340741,0.421053,0.347518,0.392308,0.412903,0.387597,0.046356,13.604488
1.2.1.印度,印度 次留,0.291704,0.295917,0.294189,0.297848,0.28927,0.295599,0.293873,-0.004213,-1.423563
1.2.1.印度尼西亚,印度尼西亚 次留,0.410839,0.41757,0.398387,0.399332,0.415805,0.402847,0.397038,-0.006731,-1.6119
1.2.1.危地马拉,危地马拉 次留,0.319283,0.328194,0.328823,0.34,0.33007,0.336251,0.313043,-0.008911,-2.715262
1.2.1.厄瓜多尔,厄瓜多尔 次留,0.338658,0.335472,0.341351,0.351606,0.346841,0.350054,0.340865,0.003186,0.949639
1.2.1.厄立特里亚,厄立特里亚 次留,,,,,,,,,
1.2.1.叙利亚,叙利亚 次留,0.29461,0.289767,0.298507,0.29282,0.289151,0.340485,0.296618,0.004842,1.671072
1.2.1.古巴,古巴 次留,0.145098,0.176692,0.178295,0.180672,0.185714,0.188192,0.213816,-0.031594,-17.880684
1.2.1.吉尔吉斯斯坦,吉尔吉斯斯坦 次留,0.29085,0.267559,0.295732,0.319749,0.30563,0.310263,0.347305,0.023291,8.705065
1.2.1.吉布提,吉布提 次留,0.166667,0.2,0.0,0.214286,0.2,0.157895,0.166667,-0.033333,-16.666667
1.2.1.哈萨克斯坦,哈萨克斯坦 次留,0.346774,0.318041,0.327224,0.306931,0.321994,0.334028,0.322271,0.028733,9.034271
1.2.1.哥伦比亚,哥伦比亚 次留,0.344775,0.339339,0.339281,0.342104,0.335855,0.335057,0.335798,0.005436,1.601995
1.2.1.哥斯达黎加,哥斯达黎加 次留,0.374642,0.377931,0.371731,0.351489,0.35963,0.378788,0.355846,-0.003289,-0.870318
1.2.1.喀麦隆,喀麦隆 次留,0.224913,0.266212,0.255814,0.230769,0.236246,0.264205,0.185075,-0.041298,-15.513264
1.2.1.图瓦卢,图瓦卢 次留,,,,,,,,,
1.2.1.土库曼斯坦,土库曼斯坦 次留,0.4,0.26087,0.369565,0.349057,0.300752,0.283784,0.341463,0.13913,53.333333
1.2.1.土耳其,土耳其 次留,0.292667,0.300346,0.30176,0.296999,0.306112,0.338376,0.313036,-0.007679,-2.556666
1.2.1.圣卢西亚,圣卢西亚 次留,0.367347,0.378788,0.333333,0.373626,0.239437,0.336957,0.359551,-0.011441,-3.020408
1.2.1.圣基茨和尼维斯,圣基茨和尼维斯 次留,0.315789,0.388889,0.857143,0.181818,0.222222,0.409091,0.52381,-0.073099,-18.796992
1.2.1.圣多美和普林西比,圣多美和普林西比 次留,0.555556,0.611111,0.823529,0.833333,0.526316,0.464286,0.3,-0.055556,-9.090909
1.2.1.圣巴泰勒米岛,圣巴泰勒米岛 次留,,,,,,,,,
1.2.1.圣文森特和格林纳丁斯,圣文森特和格林纳丁斯 次留,0.333333,0.384615,0.16,0.454545,0.258065,0.424242,0.333333,-0.051282,-13.333333
1.2.1.圣皮埃尔和密克隆群岛,圣皮埃尔和密克隆群岛 次留,,0.5,,,,,,,
1.2.1.圣马力诺,圣马力诺 次留,,0.333333,,,0.0,,0.0,,
1.2.1.圭亚那,圭亚那 次留,0.35122,0.28934,0.275862,0.327957,0.296117,0.280952,0.320574,0.061879,21.386393
1.2.1.坦桑尼亚,坦桑尼亚 次留,0.247335,0.245026,0.271255,0.270772,0.283465,0.251724,0.267857,0.002309,0.942176
1.2.1.埃及,埃及 次留,0.283353,0.275432,0.285214,0.284871,0.281137,0.317569,0.274688,0.007921,2.875755
