层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%
1,整体 DAU,723184.142857,741351.714286,730721.571429,723297.0,740301.428571,718559.285714,732984.0,695293.571429,-18167.571429,-2.450601
1.1,新用户 DAU,40447.857143,49009.285714,42443.714286,42277.428571,44210.285714,45928.142857,47333.857143,42419.0,-8561.428571,-17.468993
1.2,老用户 DAU,682736.285714,692342.428571,688277.857143,681019.571429,696091.142857,672631.142857,685650.142857,652874.571429,-9606.142857,-1.387484
1.2.unknow,unknow DAU,62.857143,58.571429,55.857143,49.714286,56.857143,51.142857,64.285714,67.0,4.285714,7.317073
1.2.unknow.1,iOS DAU,39.428571,37.142857,34.0,26.714286,29.285714,32.0,39.428571,39.285714,2.285714,6.153846
1.2.unknow.2,Android DAU,23.428571,21.428571,21.857143,23.0,27.571429,19.142857,24.857143,27.714286,2.0,9.333333
1.2.不丹,不丹 DAU,3.166667,3.428571,4.571429,4.285714,4.714286,4.857143,5.428571,4.142857,-0.261905,-7.638889
1.2.不丹.1,iOS DAU,1.5,1.857143,2.857143,2.666667,3.6,3.0,2.833333,1.833333,-0.357143,-19.230769
1.2.不丹.2,Android DAU,2.6,1.833333,1.714286,2.333333,2.142857,2.166667,3.5,2.571429,0.766667,41.818182
1.2.东帝汶,东帝汶 DAU,7.142857,7.142857,7.857143,7.857143,8.428571,9.571429,8.714286,9.428571,0.0,0.0
1.2.东帝汶.1,iOS DAU,4.142857,3.285714,4.0,4.142857,4.285714,6.142857,5.428571,5.0,0.857143,26.086957
1.2.东帝汶.2,Android DAU,3.0,3.857143,3.857143,3.714286,4.142857,3.428571,3.833333,4.428571,-0.857143,-22.222222
1.2.中国,中国 DAU,349.0,360.714286,468.285714,348.285714,340.428571,327.714286,320.857143,319.857143,-11.714286,-3.247525
1.2.中国.1,iOS DAU,155.142857,159.142857,255.142857,149.428571,155.714286,149.285714,143.714286,143.714286,-4.0,-2.513465
1.2.中国.2,Android DAU,193.857143,201.571429,213.142857,198.857143,184.714286,178.428571,177.142857,176.142857,-7.714286,-3.827073
1.2.中国台湾,中国台湾 DAU,169.571429,172.714286,175.571429,178.428571,168.428571,183.571429,192.714286,193.428571,-3.142857,-1.819686
1.2.中国台湾.1,iOS DAU,101.714286,110.714286,108.0,115.571429,100.285714,124.0,134.428571,137.285714,-9.0,-8.129032
1.2.中国台湾.2,Android DAU,67.857143,62.0,67.571429,62.857143,68.142857,59.571429,58.285714,56.142857,5.857143,9.447005
1.2.中国澳门,中国澳门 DAU,15.142857,15.0,12.142857,13.428571,13.428571,19.571429,19.857143,16.0,0.142857,0.952381
1.2.中国澳门.1,iOS DAU,14.285714,14.285714,11.0,12.0,11.428571,17.428571,17.714286,14.142857,0.0,0.0
1.2.中国澳门.2,Android DAU,1.5,1.0,1.142857,2.5,2.0,2.142857,2.142857,1.857143,0.5,50.0
1.2.中国香港,中国香港 DAU,1067.285714,880.285714,951.571429,579.142857,734.714286,838.142857,578.428571,789.142857,187.0,21.243103
1.2.中国香港.1,iOS DAU,791.857143,623.857143,841.857143,486.428571,608.714286,736.428571,447.571429,667.285714,168.0,26.929242
1.2.中国香港.2,Android DAU,275.428571,256.428571,109.714286,92.714286,126.0,101.714286,130.857143,121.857143,19.0,7.409471
1.2.中非,中非 DAU,3.166667,2.571429,2.571429,2.0,2.5,2.333333,2.333333,2.0,0.595238,23.148148
1.2.中非.1,iOS DAU,1.333333,3.333333,1.333333,1.25,1.666667,1.0,1.0,1.333333,-2.0,-60.0
1.2.中非.2,Android DAU,2.2,1.333333,2.333333,1.5,1.666667,2.0,2.25,1.5,0.866667,65.0
1.2.丹麦,丹麦 DAU,953.285714,876.714286,976.857143,851.0,817.285714,844.285714,903.428571,793.0,76.571429,8.733909
1.2.丹麦.1,iOS DAU,870.0,800.142857,896.0,777.0,746.571429,763.571429,824.0,718.714286,69.857143,8.730584
1.2.丹麦.2,Android DAU,83.285714,76.571429,80.857143,74.0,70.714286,80.714286,79.428571,74.285714,6.714286,8.768657
1.2.乌克兰,乌克兰 DAU,7216.285714,7563.857143,7804.0,7329.285714,7355.571429,7196.714286,7785.714286,7356.714286,-347.571429,-4.595161
1.2.乌克兰.1,iOS DAU,6061.714286,6356.428571,6571.857143,6165.428571,6196.142857,6025.857143,6537.857143,6087.857143,-294.714286,-4.636476
1.2.乌克兰.2,Android DAU,1154.571429,1207.428571,1232.142857,1163.857143,1159.428571,1170.857143,1247.857143,1268.857143,-52.857143,-4.377662
1.2.乌兹别克斯坦,乌兹别克斯坦 DAU,335.285714,316.285714,278.428571,282.714286,275.142857,281.285714,307.0,278.0,19.0,6.007227
1.2.乌兹别克斯坦.1,iOS DAU,236.857143,220.571429,194.857143,200.571429,191.142857,195.714286,215.142857,187.571429,16.285714,7.38342
1.2.乌兹别克斯坦.2,Android DAU,98.428571,95.714286,83.571429,82.142857,84.0,85.571429,91.857143,90.428571,2.714286,2.835821
1.2.乌干达,乌干达 DAU,198.142857,192.0,199.571429,192.428571,205.857143,205.714286,207.428571,204.571429,6.142857,3.199405
1.2.乌干达.1,iOS DAU,102.857143,97.571429,98.571429,91.714286,97.0,102.428571,97.571429,93.857143,5.285714,5.417277
1.2.乌干达.2,Android DAU,95.285714,94.428571,101.0,100.714286,108.857143,103.285714,109.857143,110.714286,0.857143,0.907716
1.2.乌拉圭,乌拉圭 DAU,377.714286,364.857143,354.285714,377.857143,373.0,371.285714,363.714286,390.0,12.857143,3.523884
1.2.乌拉圭.1,iOS DAU,273.285714,261.857143,250.428571,267.571429,266.0,262.857143,253.428571,274.285714,11.428571,4.36443
1.2.乌拉圭.2,Android DAU,104.428571,103.0,103.857143,110.285714,107.0,108.428571,110.285714,115.714286,1.428571,1.386963
1.2.乍得,乍得 DAU,9.714286,6.857143,9.428571,9.285714,9.857143,10.428571,8.857143,9.0,2.857143,41.666667
1.2.乍得.1,iOS DAU,3.857143,2.0,4.142857,2.428571,3.5,3.714286,2.285714,3.142857,1.857143,92.857143
1.2.乍得.2,Android DAU,5.857143,5.142857,5.285714,6.857143,6.857143,6.714286,6.571429,5.857143,0.714286,13.888889
1.2.也门,也门 DAU,50.857143,50.857143,49.428571,49.714286,51.857143,54.285714,64.142857,58.285714,0.0,0.0
1.2.也门.1,iOS DAU,5.571429,8.285714,6.857143,6.285714,6.142857,7.857143,9.857143,6.714286,-2.714286,-32.758621
1.2.也门.2,Android DAU,45.285714,42.571429,42.571429,43.428571,45.714286,46.428571,54.285714,51.571429,2.714286,6.375839
1.2.亚美尼亚,亚美尼亚 DAU,608.857143,613.428571,624.0,603.285714,474.857143,471.571429,482.857143,466.285714,-4.571429,-0.745226
1.2.亚美尼亚.1,iOS DAU,498.285714,502.142857,504.857143,497.714286,392.571429,380.857143,384.571429,374.0,-3.857143,-0.768137
1.2.亚美尼亚.2,Android DAU,110.571429,111.285714,119.142857,105.571429,82.285714,90.714286,98.285714,92.285714,-0.714286,-0.641849
1.2.以色列,以色列 DAU,2238.714286,2129.857143,2189.714286,2270.428571,2281.0,2278.142857,2417.142857,2235.0,108.857143,5.111007
1.2.以色列.1,iOS DAU,2016.714286,1978.428571,2058.142857,2147.714286,2145.285714,2145.0,2282.0,2105.285714,38.285714,1.935158
1.2.以色列.2,Android DAU,222.0,151.428571,131.571429,122.714286,135.714286,133.142857,135.142857,129.714286,70.571429,46.603774
1.2.伊拉克,伊拉克 DAU,672.0,662.857143,662.857143,672.857143,703.285714,734.142857,911.142857,733.714286,9.142857,1.37931
1.2.伊拉克.1,iOS DAU,389.285714,386.142857,374.714286,401.285714,413.0,443.285714,558.428571,427.285714,3.142857,0.81391
1.2.伊拉克.2,Android DAU,282.714286,276.714286,288.142857,271.571429,290.285714,290.857143,352.714286,306.428571,6.0,2.168301
1.2.伊朗,伊朗 DAU,6567.857143,6207.285714,4605.714286,4891.714286,4977.428571,4985.285714,3962.0,535.0,360.571429,5.808842
1.2.伊朗.1,iOS DAU,1991.142857,1995.857143,1852.714286,2087.285714,2075.428571,2087.428571,1629.857143,271.714286,-4.714286,-0.236204
1.2.伊朗.2,Android DAU,4576.714286,4211.428571,2753.0,2804.428571,2902.0,2897.857143,2332.142857,263.285714,365.285714,8.673677
1.2.伯利兹,伯利兹 DAU,56.571429,59.285714,58.571429,59.571429,60.714286,63.714286,61.285714,66.428571,-2.714286,-4.578313
1.2.伯利兹.1,iOS DAU,44.428571,46.285714,43.714286,43.428571,46.142857,49.285714,46.428571,49.142857,-1.857143,-4.012346
1.2.伯利兹.2,Android DAU,12.142857,13.0,14.857143,16.142857,14.571429,14.428571,14.857143,17.285714,-0.857143,-6.593407
1.2.佛得角,佛得角 DAU,46.571429,49.285714,54.714286,55.571429,53.857143,54.714286,49.571429,50.285714,-2.714286,-5.507246
1.2.佛得角.1,iOS DAU,38.0,39.428571,43.142857,45.0,45.714286,43.571429,39.571429,41.428571,-1.428571,-3.623188
1.2.佛得角.2,Android DAU,8.571429,9.857143,11.571429,10.571429,8.142857,11.142857,10.0,8.857143,-1.285714,-13.043478
1.2.俄罗斯,俄罗斯 DAU,25898.571429,26113.142857,26369.428571,26245.142857,27982.714286,26324.857143,26563.142857,26066.142857,-214.571429,-0.821699
1.2.俄罗斯.1,iOS DAU,18368.285714,18473.428571,18720.428571,18787.0,20168.428571,18751.857143,18704.0,18446.0,-105.142857,-0.569157
1.2.俄罗斯.2,Android DAU,7530.285714,7639.714286,7649.0,7458.142857,7814.285714,7573.0,7859.142857,7620.142857,-109.428571,-1.432365
1.2.保加利亚,保加利亚 DAU,1307.285714,1290.428571,1264.142857,1247.571429,1206.428571,1194.285714,1291.142857,1107.285714,16.857143,1.306321
1.2.保加利亚.1,iOS DAU,1067.285714,1041.0,1026.857143,1032.714286,988.857143,976.428571,1058.142857,903.142857,26.285714,2.525045
1.2.保加利亚.2,Android DAU,240.0,249.428571,237.285714,214.857143,217.571429,217.857143,233.0,204.142857,-9.428571,-3.780069
1.2.克罗地亚,克罗地亚 DAU,1862.857143,1822.428571,1882.571429,1720.428571,1643.0,1627.714286,1617.142857,1475.857143,40.428571,2.21839
1.2.克罗地亚.1,iOS DAU,1421.714286,1377.714286,1429.428571,1296.857143,1243.142857,1228.0,1205.285714,1084.142857,44.0,3.193696
1.2.克罗地亚.2,Android DAU,441.142857,444.714286,453.142857,423.571429,399.857143,399.714286,411.857143,391.714286,-3.571429,-0.803084
1.2.关岛,关岛 DAU,22.142857,33.142857,34.0,36.857143,36.714286,39.0,38.857143,36.857143,-11.0,-33.189655
1.2.关岛.1,iOS DAU,19.857143,29.571429,29.142857,33.428571,34.428571,35.428571,34.714286,33.714286,-9.714286,-32.850242
1.2.关岛.2,Android DAU,2.285714,3.571429,4.857143,3.428571,2.285714,3.571429,4.142857,3.142857,-1.285714,-36.0
1.2.冈比亚,冈比亚 DAU,217.142857,225.142857,239.0,234.142857,242.428571,331.571429,403.0,215.285714,-8.0,-3.553299
1.2.冈比亚.1,iOS DAU,154.285714,156.0,158.714286,161.571429,175.428571,239.142857,288.285714,149.285714,-1.714286,-1.098901
1.2.冈比亚.2,Android DAU,62.857143,69.142857,80.285714,72.571429,67.0,92.428571,114.714286,66.0,-6.285714,-9.090909
1.2.冰岛,冰岛 DAU,109.142857,110.714286,122.0,136.857143,122.142857,112.571429,118.0,118.142857,-1.571429,-1.419355
1.2.冰岛.1,iOS DAU,99.0,96.285714,105.285714,120.0,107.857143,99.571429,102.0,103.857143,2.714286,2.818991
1.2.冰岛.2,Android DAU,10.142857,14.428571,16.714286,16.857143,14.285714,13.0,16.0,14.285714,-4.285714,-29.70297
1.2.几内亚,几内亚 DAU,59.857143,65.714286,64.571429,68.571429,73.142857,71.428571,82.428571,55.857143,-5.857143,-8.913043
1.2.几内亚.1,iOS DAU,47.857143,50.285714,49.0,52.428571,55.714286,55.857143,61.285714,42.714286,-2.428571,-4.829545
1.2.几内亚.2,Android DAU,12.0,15.428571,15.571429,16.142857,17.428571,15.571429,21.142857,13.142857,-3.428571,-22.222222
1.2.几内亚比绍,几内亚比绍 DAU,9.857143,10.857143,7.428571,10.0,7.857143,8.285714,10.0,9.285714,-1.0,-9.210526
1.2.几内亚比绍.1,iOS DAU,5.857143,6.571429,5.142857,6.142857,5.142857,5.571429,6.142857,4.285714,-0.714286,-10.869565
