层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1,日均订阅毛利（剔除退款，$）,139702.836714,136684.466286,139307.200857,125573.207286,130205.769,128979.13,132157.568714,130155.445571,3018.370429,2.208276,3018.370429,100.0,2.208276
1.1,新增毛利,63575.501429,69149.230571,67373.997571,64710.952714,67471.283857,68773.459429,69906.667143,68766.961,-5573.729143,-8.060436,-5573.729143,-184.660209,-4.077807
1.1.不丹,不丹新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.东帝汶,东帝汶新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.中国,中国新增毛利,13.964714,0.747429,7.686286,13.079667,1.2408,0.0,12.3705,16.7594,13.217286,1768.367737,13.217286,0.437895,0.00967
1.1.中国内地,中国内地新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.中非,中非新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.丹麦,丹麦新增毛利,173.576,125.183857,181.660429,144.825286,128.712571,151.237286,140.187143,131.503571,48.392143,38.656856,48.392143,1.603254,0.035404
1.1.乌克兰,乌克兰新增毛利,676.729714,759.744857,730.143429,673.244,687.266429,687.426143,789.184,659.531571,-83.015143,-10.926713,-83.015143,-2.75033,-0.060735
1.1.乌兹别克斯坦,乌兹别克斯坦新增毛利,18.706,30.853,26.661143,24.228571,36.821286,41.401,16.569714,18.221286,-12.147,-39.370564,-12.147,-0.402436,-0.008887
1.1.乌干达,乌干达新增毛利,3.862857,11.865857,4.023857,0.7505,9.813,9.484667,10.1374,16.401429,-8.003,-67.445612,-8.003,-0.265143,-0.005855
1.1.乌拉圭,乌拉圭新增毛利,8.839143,19.323,7.561286,17.638,31.976286,16.494857,11.255429,8.395714,-10.483857,-54.255846,-10.483857,-0.347335,-0.00767
1.1.乍得,乍得新增毛利,0.0,21.693,0.0,0.0,0.0,0.0,5.593,0.0,-21.693,-100.0,-21.693,-0.718699,-0.015871
1.1.也门,也门新增毛利,0.0,0.0,1.3965,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.亚美尼亚,亚美尼亚新增毛利,48.930286,61.364286,27.134,38.864857,33.441857,40.075143,14.223714,37.854286,-12.434,-20.2626,-12.434,-0.411944,-0.009097
1.1.以色列,以色列新增毛利,358.921429,324.151286,389.224714,408.368857,460.902143,454.951857,461.195429,488.521714,34.770143,10.726517,34.770143,1.151951,0.025438
1.1.伊拉克,伊拉克新增毛利,2.948,3.6155,7.658,4.3386,6.047,10.651714,1.707286,6.8042,-0.6675,-18.462177,-0.6675,-0.022115,-0.000488
1.1.伊朗,伊朗新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.伯利兹,伯利兹新增毛利,7.231,0.0,0.0,0.0,0.0,0.0,10.8465,0.0,7.231,,7.231,0.239566,0.00529
1.1.佛得角,佛得角新增毛利,0.0,3.821,3.375,10.8465,0.0,15.043,0.0,0.0,-3.821,-100.0,-3.821,-0.126591,-0.002795
