层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1,整体 DAU,713123.285714,723184.142857,741351.714286,730721.571429,723297.0,740301.428571,718559.285714,732984.0,-10060.857143,-1.391189,-10060.857143,100.0,-1.391189
1.1,新用户 DAU,34350.0,40447.857143,49009.285714,42443.714286,42277.428571,44210.285714,45928.142857,47333.857143,-6097.857143,-15.075847,-6097.857143,60.609718,-0.843196
1.2,老用户 DAU,678773.285714,682736.285714,692342.428571,688277.857143,681019.571429,696091.142857,672631.142857,685650.142857,-3963.0,-0.580458,-3963.0,39.390282,-0.547993
1.2.unknow,unknow DAU,58.857143,62.857143,58.571429,55.857143,49.714286,56.857143,51.142857,64.285714,-4.0,-6.363636,-4.0,0.039758,-0.000553
1.2.unknow.1,iOS DAU,35.857143,39.428571,37.142857,34.0,26.714286,29.285714,32.0,39.428571,-3.571429,-9.057971,-3.571429,0.035498,-0.000494
1.2.unknow.2,Android DAU,23.0,23.428571,21.428571,21.857143,23.0,27.571429,19.142857,24.857143,-0.428571,-1.829268,-0.428571,0.00426,-5.9e-05
1.2.不丹,不丹 DAU,3.428571,3.166667,3.428571,4.571429,4.285714,4.714286,4.857143,5.428571,0.261905,8.270677,0.261905,-0.002603,3.6e-05
1.2.不丹.1,iOS DAU,1.5,1.5,1.857143,2.857143,2.666667,3.6,3.0,2.833333,0.0,0.0,0.0,-0.0,0.0
1.2.不丹.2,Android DAU,2.571429,2.6,1.833333,1.714286,2.333333,2.142857,2.166667,3.5,-0.028571,-1.098901,-0.028571,0.000284,-4e-06
1.2.东帝汶,东帝汶 DAU,9.285714,7.142857,7.142857,7.857143,7.857143,8.428571,9.571429,8.714286,2.142857,30.0,2.142857,-0.021299,0.000296
1.2.东帝汶.1,iOS DAU,4.857143,4.142857,3.285714,4.0,4.142857,4.285714,6.142857,5.428571,0.714286,17.241379,0.714286,-0.0071,9.9e-05
1.2.东帝汶.2,Android DAU,4.428571,3.0,3.857143,3.857143,3.714286,4.142857,3.428571,3.833333,1.428571,47.619048,1.428571,-0.014199,0.000198
1.2.中国,中国 DAU,320.0,349.0,360.714286,468.285714,348.285714,340.428571,327.714286,320.857143,-29.0,-8.309456,-29.0,0.288246,-0.00401
1.2.中国.1,iOS DAU,142.285714,155.142857,159.142857,255.142857,149.428571,155.714286,149.285714,143.714286,-12.857143,-8.287293,-12.857143,0.127794,-0.001778
1.2.中国.2,Android DAU,177.714286,193.857143,201.571429,213.142857,198.857143,184.714286,178.428571,177.142857,-16.142857,-8.327192,-16.142857,0.160452,-0.002232
1.2.中非,中非 DAU,4.142857,3.166667,2.571429,2.571429,2.0,2.5,2.333333,2.333333,0.97619,30.827068,0.97619,-0.009703,0.000135
1.2.中非.1,iOS DAU,2.0,1.333333,3.333333,1.333333,1.25,1.666667,1.0,1.0,0.666667,50.0,0.666667,-0.006626,9.2e-05
1.2.中非.2,Android DAU,3.4,2.2,1.333333,2.333333,1.5,1.666667,2.0,2.25,1.2,54.545455,1.2,-0.011927,0.000166
1.2.丹麦,丹麦 DAU,1014.142857,953.285714,876.714286,976.857143,851.0,817.285714,844.285714,903.428571,60.857143,6.383935,60.857143,-0.60489,0.008415
1.2.丹麦.1,iOS DAU,928.571429,870.0,800.142857,896.0,777.0,746.571429,763.571429,824.0,58.571429,6.732348,58.571429,-0.582171,0.008099
1.2.丹麦.2,Android DAU,85.571429,83.285714,76.571429,80.857143,74.0,70.714286,80.714286,79.428571,2.285714,2.744425,2.285714,-0.022719,0.000316
1.2.乌克兰,乌克兰 DAU,7720.714286,7216.285714,7563.857143,7804.0,7329.285714,7355.571429,7196.714286,7785.714286,504.428571,6.990141,504.428571,-5.013773,0.069751
1.2.乌克兰.1,iOS DAU,6487.428571,6061.714286,6356.428571,6571.857143,6165.428571,6196.142857,6025.857143,6537.857143,425.714286,7.023002,425.714286,-4.231392,0.058867
1.2.乌克兰.2,Android DAU,1233.285714,1154.571429,1207.428571,1232.142857,1163.857143,1159.428571,1170.857143,1247.857143,78.714286,6.817619,78.714286,-0.782382,0.010884
1.2.乌兹别克斯坦,乌兹别克斯坦 DAU,307.857143,335.285714,316.285714,278.428571,282.714286,275.142857,281.285714,307.0,-27.428571,-8.180656,-27.428571,0.272627,-0.003793
1.2.乌兹别克斯坦.1,iOS DAU,211.285714,236.857143,220.571429,194.857143,200.571429,191.142857,195.714286,215.142857,-25.571429,-10.79614,-25.571429,0.254167,-0.003536
1.2.乌兹别克斯坦.2,Android DAU,96.571429,98.428571,95.714286,83.571429,82.142857,84.0,85.571429,91.857143,-1.857143,-1.886792,-1.857143,0.018459,-0.000257
1.2.乌干达,乌干达 DAU,192.571429,198.142857,192.0,199.571429,192.428571,205.857143,205.714286,207.428571,-5.571429,-2.811824,-5.571429,0.055377,-0.00077
1.2.乌干达.1,iOS DAU,95.0,102.857143,97.571429,98.571429,91.714286,97.0,102.428571,97.571429,-7.857143,-7.638889,-7.857143,0.078096,-0.001086
1.2.乌干达.2,Android DAU,97.571429,95.285714,94.428571,101.0,100.714286,108.857143,103.285714,109.857143,2.285714,2.398801,2.285714,-0.022719,0.000316
1.2.乌拉圭,乌拉圭 DAU,391.285714,377.714286,364.857143,354.285714,377.857143,373.0,371.285714,363.714286,13.571429,3.593041,13.571429,-0.134893,0.001877
1.2.乌拉圭.1,iOS DAU,270.285714,273.285714,261.857143,250.428571,267.571429,266.0,262.857143,253.428571,-3.0,-1.097752,-3.0,0.029819,-0.000415
1.2.乌拉圭.2,Android DAU,121.0,104.428571,103.0,103.857143,110.285714,107.0,108.428571,110.285714,16.571429,15.868673,16.571429,-0.164712,0.002291
1.2.乍得,乍得 DAU,11.428571,9.714286,6.857143,9.428571,9.285714,9.857143,10.428571,8.857143,1.714286,17.647059,1.714286,-0.017039,0.000237
1.2.乍得.1,iOS DAU,4.142857,3.857143,2.0,4.142857,2.428571,3.5,3.714286,2.285714,0.285714,7.407407,0.285714,-0.00284,4e-05
1.2.乍得.2,Android DAU,7.285714,5.857143,5.142857,5.285714,6.857143,6.857143,6.714286,6.571429,1.428571,24.390244,1.428571,-0.014199,0.000198
1.2.也门,也门 DAU,53.571429,50.857143,50.857143,49.428571,49.714286,51.857143,54.285714,64.142857,2.714286,5.337079,2.714286,-0.026979,0.000375
1.2.也门.1,iOS DAU,5.714286,5.571429,8.285714,6.857143,6.285714,6.142857,7.857143,9.857143,0.142857,2.564103,0.142857,-0.00142,2e-05
1.2.也门.2,Android DAU,47.857143,45.285714,42.571429,42.571429,43.428571,45.714286,46.428571,54.285714,2.571429,5.678233,2.571429,-0.025559,0.000356
1.2.亚美尼亚,亚美尼亚 DAU,617.142857,608.857143,613.428571,624.0,603.285714,474.857143,471.571429,482.857143,8.285714,1.360863,8.285714,-0.082356,0.001146
1.2.亚美尼亚.1,iOS DAU,515.285714,498.285714,502.142857,504.857143,497.714286,392.571429,380.857143,384.571429,17.0,3.411697,17.0,-0.168972,0.002351
1.2.亚美尼亚.2,Android DAU,101.857143,110.571429,111.285714,119.142857,105.571429,82.285714,90.714286,98.285714,-8.714286,-7.881137,-8.714286,0.086616,-0.001205
1.2.以色列,以色列 DAU,2225.714286,2238.714286,2129.857143,2189.714286,2270.428571,2281.0,2278.142857,2417.142857,-13.0,-0.58069,-13.0,0.129214,-0.001798
1.2.以色列.1,iOS DAU,1995.285714,2016.714286,1978.428571,2058.142857,2147.714286,2145.285714,2145.0,2282.0,-21.428571,-1.062549,-21.428571,0.21299,-0.002963
1.2.以色列.2,Android DAU,230.428571,222.0,151.428571,131.571429,122.714286,135.714286,133.142857,135.142857,8.428571,3.796654,8.428571,-0.083776,0.001165
1.2.伊拉克,伊拉克 DAU,671.714286,672.0,662.857143,662.857143,672.857143,703.285714,734.142857,911.142857,-0.285714,-0.042517,-0.285714,0.00284,-4e-05
1.2.伊拉克.1,iOS DAU,388.571429,389.285714,386.142857,374.714286,401.285714,413.0,443.285714,558.428571,-0.714286,-0.183486,-0.714286,0.0071,-9.9e-05
1.2.伊拉克.2,Android DAU,283.142857,282.714286,276.714286,288.142857,271.571429,290.285714,290.857143,352.714286,0.428571,0.151592,0.428571,-0.00426,5.9e-05
1.2.伊朗,伊朗 DAU,5747.428571,6567.857143,6207.285714,4605.714286,4891.714286,4977.428571,4985.285714,3962.0,-820.428571,-12.491572,-820.428571,8.154659,-0.113447
1.2.伊朗.1,iOS DAU,1862.0,1991.142857,1995.857143,1852.714286,2087.285714,2075.428571,2087.428571,1629.857143,-129.142857,-6.485866,-129.142857,1.283617,-0.017858
1.2.伊朗.2,Android DAU,3885.428571,4576.714286,4211.428571,2753.0,2804.428571,2902.0,2897.857143,2332.142857,-691.285714,-15.104411,-691.285714,6.871042,-0.095589
1.2.伯利兹,伯利兹 DAU,58.285714,56.571429,59.285714,58.571429,59.571429,60.714286,63.714286,61.285714,1.714286,3.030303,1.714286,-0.017039,0.000237
1.2.伯利兹.1,iOS DAU,43.285714,44.428571,46.285714,43.714286,43.428571,46.142857,49.285714,46.428571,-1.142857,-2.572347,-1.142857,0.011359,-0.000158
1.2.伯利兹.2,Android DAU,15.0,12.142857,13.0,14.857143,16.142857,14.571429,14.428571,14.857143,2.857143,23.529412,2.857143,-0.028399,0.000395
1.2.佛得角,佛得角 DAU,46.857143,46.571429,49.285714,54.714286,55.571429,53.857143,54.714286,49.571429,0.285714,0.613497,0.285714,-0.00284,4e-05
1.2.佛得角.1,iOS DAU,37.571429,38.0,39.428571,43.142857,45.0,45.714286,43.571429,39.571429,-0.428571,-1.12782,-0.428571,0.00426,-5.9e-05
1.2.佛得角.2,Android DAU,9.285714,8.571429,9.857143,11.571429,10.571429,8.142857,11.142857,10.0,0.714286,8.333333,0.714286,-0.0071,9.9e-05
1.2.俄罗斯,俄罗斯 DAU,26056.428571,25898.571429,26113.142857,26369.428571,26245.142857,27982.714286,26324.857143,26563.142857,157.857143,0.609521,157.857143,-1.569023,0.021828
1.2.俄罗斯.1,iOS DAU,18406.714286,18368.285714,18473.428571,18720.428571,18787.0,20168.428571,18751.857143,18704.0,38.428571,0.209212,38.428571,-0.381961,0.005314
1.2.俄罗斯.2,Android DAU,7649.714286,7530.285714,7639.714286,7649.0,7458.142857,7814.285714,7573.0,7859.142857,119.428571,1.585977,119.428571,-1.187062,0.016514
1.2.保加利亚,保加利亚 DAU,1359.857143,1307.285714,1290.428571,1264.142857,1247.571429,1206.428571,1194.285714,1291.142857,52.571429,4.021418,52.571429,-0.522534,0.007269
1.2.保加利亚.1,iOS DAU,1123.285714,1067.285714,1041.0,1026.857143,1032.714286,988.857143,976.428571,1058.142857,56.0,5.246955,56.0,-0.556613,0.007744
1.2.保加利亚.2,Android DAU,236.571429,240.0,249.428571,237.285714,214.857143,217.571429,217.857143,233.0,-3.428571,-1.428571,-3.428571,0.034078,-0.000474
1.2.克罗地亚,克罗地亚 DAU,1963.428571,1862.857143,1822.428571,1882.571429,1720.428571,1643.0,1627.714286,1617.142857,100.571429,5.398773,100.571429,-0.999631,0.013907
1.2.克罗地亚.1,iOS DAU,1515.857143,1421.714286,1377.714286,1429.428571,1296.857143,1243.142857,1228.0,1205.285714,94.142857,6.621785,94.142857,-0.935734,0.013018
1.2.克罗地亚.2,Android DAU,447.571429,441.142857,444.714286,453.142857,423.571429,399.857143,399.714286,411.857143,6.428571,1.457254,6.428571,-0.063897,0.000889
1.2.关岛,关岛 DAU,28.285714,22.142857,33.142857,34.0,36.857143,36.714286,39.0,38.857143,6.142857,27.741935,6.142857,-0.061057,0.000849
1.2.关岛.1,iOS DAU,25.142857,19.857143,29.571429,29.142857,33.428571,34.428571,35.428571,34.714286,5.285714,26.618705,5.285714,-0.052537,0.000731
1.2.关岛.2,Android DAU,3.142857,2.285714,3.571429,4.857143,3.428571,2.285714,3.571429,4.142857,0.857143,37.5,0.857143,-0.00852,0.000119
1.2.冈比亚,冈比亚 DAU,192.285714,217.142857,225.142857,239.0,234.142857,242.428571,331.571429,403.0,-24.857143,-11.447368,-24.857143,0.247068,-0.003437
1.2.冈比亚.1,iOS DAU,133.285714,154.285714,156.0,158.714286,161.571429,175.428571,239.142857,288.285714,-21.0,-13.611111,-21.0,0.20873,-0.002904
1.2.冈比亚.2,Android DAU,59.0,62.857143,69.142857,80.285714,72.571429,67.0,92.428571,114.714286,-3.857143,-6.136364,-3.857143,0.038338,-0.000533
1.2.冰岛,冰岛 DAU,99.0,109.142857,110.714286,122.0,136.857143,122.142857,112.571429,118.0,-10.142857,-9.293194,-10.142857,0.100815,-0.001403
1.2.冰岛.1,iOS DAU,87.857143,99.0,96.285714,105.285714,120.0,107.857143,99.571429,102.0,-11.142857,-11.255411,-11.142857,0.110755,-0.001541
1.2.冰岛.2,Android DAU,11.142857,10.142857,14.428571,16.714286,16.857143,14.285714,13.0,16.0,1.0,9.859155,1.0,-0.00994,0.000138
1.2.几内亚,几内亚 DAU,65.714286,59.857143,65.714286,64.571429,68.571429,73.142857,71.428571,82.428571,5.857143,9.785203,5.857143,-0.058217,0.00081
1.2.几内亚.1,iOS DAU,49.428571,47.857143,50.285714,49.0,52.428571,55.714286,55.857143,61.285714,1.571429,3.283582,1.571429,-0.015619,0.000217
1.2.几内亚.2,Android DAU,16.285714,12.0,15.428571,15.571429,16.142857,17.428571,15.571429,21.142857,4.285714,35.714286,4.285714,-0.042598,0.000593
1.2.几内亚比绍,几内亚比绍 DAU,9.0,9.857143,10.857143,7.428571,10.0,7.857143,8.285714,10.0,-0.857143,-8.695652,-0.857143,0.00852,-0.000119
1.2.几内亚比绍.1,iOS DAU,5.0,5.857143,6.571429,5.142857,6.142857,5.142857,5.571429,6.142857,-0.857143,-14.634146,-0.857143,0.00852,-0.000119
1.2.几内亚比绍.2,Android DAU,4.0,4.0,5.0,2.666667,4.5,2.714286,3.166667,3.857143,0.0,0.0,0.0,-0.0,0.0
1.2.列支敦士登,列支敦士登 DAU,2.714286,3.428571,2.142857,3.5,3.333333,2.571429,4.285714,8.857143,-0.714286,-20.833333,-0.714286,0.0071,-9.9e-05
1.2.列支敦士登.1,iOS DAU,2.571429,3.142857,2.142857,3.5,3.333333,2.428571,3.857143,7.428571,-0.571429,-18.181818,-0.571429,0.00568,-7.9e-05
1.2.列支敦士登.2,Android DAU,1.0,2.0,0.0,0.0,0.0,1.0,1.5,1.666667,-1.0,-50.0,-1.0,0.00994,-0.000138
1.2.刚果共和国,刚果共和国 DAU,26.857143,24.714286,28.571429,31.0,33.285714,34.571429,25.0,32.571429,2.142857,8.67052,2.142857,-0.021299,0.000296
1.2.刚果共和国.1,iOS DAU,14.428571,11.571429,15.714286,19.142857,21.285714,21.571429,13.857143,20.857143,2.857143,24.691358,2.857143,-0.028399,0.000395
1.2.刚果共和国.2,Android DAU,12.428571,13.142857,12.857143,11.857143,12.0,13.0,11.142857,11.714286,-0.714286,-5.434783,-0.714286,0.0071,-9.9e-05
1.2.刚果民主共和国,刚果民主共和国 DAU,166.0,153.0,160.0,155.428571,157.714286,165.428571,169.285714,167.857143,13.0,8.496732,13.0,-0.129214,0.001798
1.2.刚果民主共和国.1,iOS DAU,65.0,56.142857,60.428571,58.428571,64.285714,65.571429,62.571429,66.0,8.857143,15.776081,8.857143,-0.088036,0.001225
1.2.刚果民主共和国.2,Android DAU,101.0,96.857143,99.571429,97.0,93.428571,99.857143,106.714286,101.857143,4.142857,4.277286,4.142857,-0.041178,0.000573
1.2.利比亚,利比亚 DAU,116.857143,106.428571,112.571429,112.714286,110.142857,109.428571,115.428571,129.857143,10.428571,9.798658,10.428571,-0.103655,0.001442
