层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%
1,日均订阅毛利（剔除退款，$）,140167.300286,141211.492857,139702.836714,136684.466286,139307.200857,125573.207286,130205.769,128979.13,-1044.192571,-0.739453
1.1,新增毛利,69978.323429,65535.311571,64619.050714,69493.410571,67382.060286,64710.952714,67471.283857,68773.459429,4443.011857,6.779569
1.1.不丹,不丹新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.东帝汶,东帝汶新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.中国,中国新增毛利,1.266,2.6915,13.964714,0.747429,7.686286,13.079667,1.2408,0.0,-1.4255,-52.963032
1.1.中国内地,中国内地新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.中非,中非新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.丹麦,丹麦新增毛利,205.633714,205.535,173.576,125.183857,181.660429,144.825286,128.712571,151.237286,0.098714,0.048028
1.1.乌克兰,乌克兰新增毛利,791.897286,847.303714,681.894571,762.327286,730.143429,673.244,687.266429,687.426143,-55.406429,-6.539146
1.1.乌兹别克斯坦,乌兹别克斯坦新增毛利,20.664,33.889143,18.706,30.853,26.661143,24.228571,36.821286,41.401,-13.225143,-39.024719
1.1.乌干达,乌干达新增毛利,13.967571,5.630833,3.862857,11.865857,4.023857,0.7505,9.813,9.484667,8.336738,148.055139
1.1.乌拉圭,乌拉圭新增毛利,14.201857,20.073429,11.379286,19.323,7.561286,17.638,31.976286,16.494857,-5.871571,-29.250466
1.1.乍得,乍得新增毛利,0.0,0.0,0.0,21.693,0.0,0.0,0.0,0.0,0.0,
1.1.也门,也门新增毛利,0.0,10.8465,0.0,0.0,1.3965,0.0,0.0,0.0,-10.8465,-100.0
1.1.亚美尼亚,亚美尼亚新增毛利,55.812857,40.366286,52.262714,61.364286,27.134,38.864857,33.441857,40.075143,15.446571,38.266021
