层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%
1,整体 次留,0.330644,0.331235,0.329834,0.320492,0.323171,0.32246,0.325393,0.325307,-0.000591,-0.178554
1.1,新用户 次留,0.167233,0.160996,0.157097,0.141583,0.136161,0.142303,0.142372,0.144165,0.006237,3.874276
1.2,老用户 次留,0.339671,0.340028,0.338575,0.331092,0.33641,0.33357,0.336754,0.336812,-0.000357,-0.104975
1.2.1,Android 次留,0.327972,0.327095,0.323367,0.315722,0.318702,0.320279,0.323064,0.320111,0.000878,0.268271
1.2.1.unknow,unknow 次留,0.354839,0.313725,0.322981,0.243902,0.28,0.261438,0.273292,0.253886,0.041113,13.104839
1.2.1.不丹,不丹 次留,0.214286,0.0,0.166667,0.076923,0.0,0.0,0.142857,0.133333,0.214286,
1.2.1.东帝汶,东帝汶 次留,0.322581,0.47619,0.548387,0.333333,0.592593,0.518519,0.346154,0.517241,-0.15361,-32.258065
1.2.1.中国,中国 次留,0.405988,0.399777,0.377814,0.38762,0.390503,0.366622,0.375718,0.351121,0.006211,1.55355
1.2.1.中非,中非 次留,0.125,0.294118,0.294118,0.090909,0.25,0.214286,0.111111,0.1,-0.169118,-57.5
1.2.1.丹麦,丹麦 次留,0.408273,0.376054,0.380634,0.377358,0.347015,0.416961,0.382239,0.355556,0.032219,8.567765
1.2.1.乌克兰,乌克兰 次留,0.357186,0.364578,0.366501,0.35709,0.354709,0.358145,0.350313,0.352514,-0.007393,-2.027796
1.2.1.乌兹别克斯坦,乌兹别克斯坦 次留,0.273632,0.282272,0.242604,0.267054,0.249254,0.299145,0.269565,0.289116,-0.00864,-3.060915
1.2.1.乌干达,乌干达 次留,0.308931,0.303175,0.2694,0.293853,0.267776,0.25884,0.26383,0.272966,0.005757,1.898768
1.2.1.乌拉圭,乌拉圭 次留,0.375,0.379355,0.384888,0.387141,0.367545,0.371389,0.348446,0.381842,-0.004355,-1.147959
1.2.1.乍得,乍得 次留,0.088889,0.217391,0.098039,0.219512,0.138889,0.135135,0.125,0.0625,-0.128502,-59.111111
1.2.1.也门,也门 次留,0.231544,0.249169,0.250746,0.227129,0.312081,0.251678,0.319079,0.28125,-0.017626,-7.073826
1.2.1.亚美尼亚,亚美尼亚 次留,0.291055,0.28535,0.304348,0.271318,0.292683,0.282974,0.294993,0.279514,0.005704,1.999094
1.2.1.以色列,以色列 次留,0.397516,0.401163,0.379417,0.391248,0.366038,0.41911,0.365541,0.384211,-0.003647,-0.909173
1.2.1.伊拉克,伊拉克 次留,0.240077,0.270624,0.247225,0.272865,0.27207,0.280615,0.283535,0.271654,-0.030547,-11.28771
1.2.1.伊朗,伊朗 次留,0.23636,0.233837,0.213361,0.214221,0.237687,0.260806,0.260404,0.273801,0.002523,1.078824
1.2.1.伯利兹,伯利兹 次留,0.342857,0.330189,0.485714,0.211765,0.384615,0.317308,0.274336,0.284314,0.012668,3.836735
1.2.1.佛得角,佛得角 次留,0.415385,0.444444,0.446154,0.383333,0.376812,0.358025,0.445946,0.526316,-0.02906,-6.538462
1.2.1.俄罗斯,俄罗斯 次留,0.33011,0.329229,0.324606,0.311125,0.312577,0.309994,0.314479,0.317276,0.000881,0.267501
1.2.1.保加利亚,保加利亚 次留,0.385289,0.360708,0.368961,0.397024,0.396907,0.36484,0.367686,0.388707,0.024581,6.814787
1.2.1.克罗地亚,克罗地亚 次留,0.392523,0.407077,0.391318,0.388925,0.397366,0.402585,0.406408,0.376206,-0.014554,-3.575137
1.2.1.关岛,关岛 次留,0.269231,0.111111,0.090909,0.375,0.48,0.411765,0.375,0.3125,0.15812,142.307692
1.2.1.冈比亚,冈比亚 次留,0.208431,0.220751,0.213075,0.222727,0.214876,0.24911,0.259843,0.200426,-0.01232,-5.580796
1.2.1.冰岛,冰岛 次留,0.417476,0.302632,0.358974,0.295775,0.455446,0.435897,0.364407,0.42,0.114844,37.948501
1.2.1.几内亚,几内亚 次留,0.198276,0.258621,0.263158,0.297619,0.259259,0.275229,0.221239,0.237705,-0.060345,-23.333333
1.2.1.几内亚比绍,几内亚比绍 次留,0.307692,0.424242,0.285714,0.321429,0.3,0.0625,0.185185,0.157895,-0.11655,-27.472527
1.2.1.列支敦士登,列支敦士登 次留,0.0,0.142857,0.0,0.0,,,,0.0,-0.142857,-100.0
1.2.1.刚果共和国,刚果共和国 次留,0.294643,0.192771,0.298851,0.217391,0.244444,0.240964,0.22619,0.21978,0.101872,52.845982
1.2.1.刚果民主共和国,刚果民主共和国 次留,0.215126,0.24127,0.264498,0.249263,0.259684,0.266568,0.284404,0.257511,-0.026144,-10.835913
1.2.1.利比亚,利比亚 次留,0.18323,0.226837,0.209809,0.16763,0.213368,0.225974,0.232984,0.216578,-0.043607,-19.22404
1.2.1.利比里亚,利比里亚 次留,0.160781,0.177255,0.156098,0.16828,0.176636,0.156273,0.155983,0.171932,-0.016474,-9.293698
1.2.1.加拿大,加拿大 次留,0.363428,0.370287,0.362437,0.370749,0.361314,0.356642,0.36777,0.360281,-0.006859,-1.852261
1.2.1.加纳,加纳 次留,0.237534,0.263251,0.25,0.240756,0.247182,0.257962,0.255743,0.288925,-0.025717,-9.768964
1.2.1.加蓬,加蓬 次留,0.333333,0.28125,0.222222,0.219512,0.25,0.225806,0.28125,0.205882,0.052083,18.518519
1.2.1.匈牙利,匈牙利 次留,0.365996,0.362091,0.366407,0.358149,0.354861,0.362466,0.375857,0.367771,0.003905,1.078577
1.2.1.北马其顿,北马其顿 次留,0.364754,0.33956,0.341578,0.356052,0.329049,0.336095,0.338028,0.337403,0.025194,7.419492
1.2.1.北马里亚纳群岛,北马里亚纳群岛 次留,0.0,0.0,,,,,,,0.0,
1.2.1.南极洲,南极洲 次留,,0.0,1.0,0.0,0.0,,,,,
1.2.1.南苏丹,南苏丹 次留,0.206941,0.196031,0.190196,0.189069,0.174285,0.185633,0.190395,0.181436,0.01091,5.565339
1.2.1.南非,南非 次留,0.355722,0.36493,0.355044,0.364155,0.349457,0.36832,0.347181,0.351002,-0.009207,-2.523086
1.2.1.博茨瓦纳,博茨瓦纳 次留,0.389189,0.306748,0.362573,0.372222,0.270968,0.348101,0.404255,0.348571,0.082441,26.875676
1.2.1.卡塔尔,卡塔尔 次留,0.254958,0.281646,0.291176,0.275758,0.295031,0.259259,0.266106,0.283286,-0.026688,-9.475762
