层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%
1,整体DNU,41222.142857,38060.571429,35197.857143,34350.0,40447.857143,49009.285714,42443.714286,42277.428571,3161.571429,8.306684
1.1,渠道 DNU,11197.0,10285.142857,9325.428571,9315.428571,13768.571429,19097.571429,16449.714286,17167.571429,911.857143,8.86577
1.1.unknow,unknow DNU,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-100.0
1.1.不丹,不丹 DNU,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-100.0
1.1.东帝汶,东帝汶 DNU,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1.1.中国,中国 DNU,8.571429,3.2,1.25,1.0,1.0,1.333333,1.4,1.0,5.371429,167.857143
1.1.中非,中非 DNU,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
1.1.丹麦,丹麦 DNU,1.25,2.0,1.6,1.6,1.666667,2.142857,2.0,1.333333,-0.75,-37.5
1.1.乌克兰,乌克兰 DNU,19.571429,15.857143,20.857143,22.428571,24.0,22.285714,25.285714,21.857143,3.714286,23.423423
1.1.乌兹别克斯坦,乌兹别克斯坦 DNU,2.833333,3.428571,3.714286,4.285714,5.285714,5.857143,5.714286,3.714286,-0.595238,-17.361111
1.1.乌干达,乌干达 DNU,1.0,1.0,1.5,1.333333,1.5,1.0,1.5,1.0,0.0,0.0
1.1.乌拉圭,乌拉圭 DNU,1.0,1.5,1.571429,1.0,1.2,2.8,2.4,1.333333,-0.5,-33.333333
1.1.乍得,乍得 DNU,1.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,-0.5,-33.333333
1.1.也门,也门 DNU,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.1.亚美尼亚,亚美尼亚 DNU,1.833333,2.166667,1.666667,2.0,1.8,2.4,2.714286,2.666667,-0.333333,-15.384615
1.1.以色列,以色列 DNU,1.571429,2.666667,2.166667,4.666667,12.142857,19.0,3.0,2.0,-1.095238,-41.071429
1.1.伊拉克,伊拉克 DNU,4.142857,5.0,5.428571,6.428571,9.571429,8.285714,7.285714,6.285714,-0.857143,-17.142857
1.1.伊朗,伊朗 DNU,40.428571,57.428571,79.714286,87.285714,986.142857,2600.714286,626.857143,108.428571,-17.0,-29.60199
1.1.伯利兹,伯利兹 DNU,1.0,1.5,1.5,1.333333,1.0,1.0,0.0,0.0,-0.5,-33.333333
1.1.佛得角,佛得角 DNU,1.5,1.0,1.333333,1.0,1.0,1.0,1.0,1.0,0.5,50.0
1.1.俄罗斯,俄罗斯 DNU,223.428571,226.0,235.571429,263.142857,314.142857,312.714286,291.428571,277.142857,-2.571429,-1.1378
1.1.保加利亚,保加利亚 DNU,1.857143,2.714286,3.0,2.833333,3.285714,5.0,4.0,2.0,-0.857143,-31.578947
1.1.克罗地亚,克罗地亚 DNU,3.142857,3.571429,4.428571,2.833333,2.142857,2.8,3.714286,2.714286,-0.428571,-12.0
1.1.关岛,关岛 DNU,3.0,0.0,1.0,1.0,1.0,0.0,1.5,1.0,3.0,
1.1.冈比亚,冈比亚 DNU,1.0,1.25,2.166667,2.714286,2.6,1.857143,3.0,2.0,-0.25,-20.0
1.1.冰岛,冰岛 DNU,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
1.1.几内亚,几内亚 DNU,1.4,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.4,40.0
1.1.几内亚比绍,几内亚比绍 DNU,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-100.0
1.1.列支敦士登,列支敦士登 DNU,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
1.1.刚果共和国,刚果共和国 DNU,1.0,0.0,1.0,1.0,1.5,0.0,1.0,0.0,1.0,
1.1.刚果民主共和国,刚果民主共和国 DNU,0.0,1.0,1.333333,1.0,1.333333,1.25,1.0,2.0,-1.0,-100.0
1.1.利比亚,利比亚 DNU,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0
1.1.利比里亚,利比里亚 DNU,1.0,1.0,1.333333,2.0,1.0,1.0,1.0,1.0,0.0,0.0
1.1.加拿大,加拿大 DNU,92.428571,107.714286,122.142857,90.428571,86.857143,107.285714,200.428571,343.428571,-15.285714,-14.190981
1.1.加纳,加纳 DNU,11.142857,7.571429,6.571429,3.857143,5.428571,4.857143,5.0,5.428571,3.571429,47.169811
1.1.加蓬,加蓬 DNU,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-100.0
1.1.匈牙利,匈牙利 DNU,2.5,1.666667,1.8,1.857143,2.0,2.0,2.0,1.5,0.833333,50.0
1.1.北马其顿,北马其顿 DNU,1.333333,1.666667,1.333333,1.333333,1.25,1.0,1.5,1.0,-0.333333,-20.0
1.1.北马里亚纳群岛,北马里亚纳群岛 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.南苏丹,南苏丹 DNU,7.571429,6.714286,7.285714,7.142857,8.142857,7.285714,6.857143,6.142857,0.857143,12.765957
1.1.南非,南非 DNU,2.5,4.0,2.0,2.285714,10.428571,20.142857,4.0,3.142857,-1.5,-37.5
1.1.博茨瓦纳,博茨瓦纳 DNU,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,-100.0
1.1.卡塔尔,卡塔尔 DNU,1.0,1.0,1.6,1.166667,1.25,1.4,2.166667,2.0,0.0,0.0
1.1.卢旺达,卢旺达 DNU,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,
1.1.卢森堡,卢森堡 DNU,1.0,1.0,1.0,1.0,1.5,1.0,1.333333,1.0,0.0,0.0
1.1.印度,印度 DNU,32.714286,79.857143,19.142857,31.285714,27.285714,30.142857,26.714286,24.0,-47.142857,-59.033989
1.1.印度尼西亚,印度尼西亚 DNU,4.0,3.714286,4.428571,4.285714,9.571429,11.0,6.285714,6.857143,0.285714,7.692308
1.1.危地马拉,危地马拉 DNU,3.0,4.5,2.285714,3.666667,3.714286,2.833333,3.0,3.857143,-1.5,-33.333333
1.1.厄瓜多尔,厄瓜多尔 DNU,4.285714,3.142857,4.0,2.857143,2.428571,3.857143,5.285714,4.166667,1.142857,36.363636
1.1.叙利亚,叙利亚 DNU,1.4,3.666667,5.571429,6.142857,5.142857,5.857143,4.142857,3.142857,-2.266667,-61.818182
1.1.古巴,古巴 DNU,1.0,1.0,1.25,1.25,1.0,1.0,1.166667,1.0,0.0,0.0
