层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%
1,整体 新增次留,0.157918,0.167233,0.160996,0.157097,0.141583,0.136161,0.142303,0.142372,-0.009316,-5.570376
1.1,渠道 新增次留,0.13191,0.142202,0.127378,0.125889,0.105862,0.101853,0.110935,0.107046,-0.010292,-7.237582
1.1.unknow,unknow 新增次留,,0.0,,,,,0.0,0.0,,
1.1.不丹,不丹 新增次留,,0.0,,,,,,,,
1.1.东帝汶,东帝汶 新增次留,,,0.0,1.0,,,,,,
1.1.中国,中国 新增次留,0.266667,0.125,0.0,0.25,0.333333,0.0,0.142857,0.0,0.141667,113.333333
1.1.中非,中非 新增次留,,,,1.0,,,,,,
1.1.丹麦,丹麦 新增次留,0.2,0.1,0.0,0.25,0.0,0.066667,0.333333,0.25,0.1,100.0
1.1.乌克兰,乌克兰 新增次留,0.131387,0.099099,0.109589,0.089172,0.083333,0.134615,0.124294,0.124183,0.032288,32.581287
1.1.乌兹别克斯坦,乌兹别克斯坦 新增次留,0.0,0.125,0.153846,0.1,0.0,0.04878,0.1,0.076923,-0.125,-100.0
1.1.乌干达,乌干达 新增次留,1.0,0.0,0.666667,0.25,0.333333,0.0,0.333333,0.5,1.0,
1.1.乌拉圭,乌拉圭 新增次留,0.0,0.333333,0.181818,0.0,0.166667,0.071429,0.0,0.0,-0.333333,-100.0
1.1.乍得,乍得 新增次留,0.0,0.0,0.0,0.333333,,,,,0.0,
1.1.也门,也门 新增次留,0.0,0.0,,,,,1.0,,0.0,
1.1.亚美尼亚,亚美尼亚 新增次留,0.181818,0.153846,0.0,0.0,0.222222,0.166667,0.157895,0.0,0.027972,18.181818
1.1.以色列,以色列 新增次留,0.0,0.125,0.076923,0.142857,0.176471,0.233083,0.055556,0.25,-0.125,-100.0
1.1.伊拉克,伊拉克 新增次留,0.172414,0.085714,0.157895,0.066667,0.119403,0.12069,0.137255,0.068182,0.0867,101.149425
1.1.伊朗,伊朗 新增次留,0.183746,0.11194,0.134409,0.13748,0.105027,0.117056,0.123519,0.134387,0.071805,64.146054
1.1.伯利兹,伯利兹 新增次留,1.0,0.333333,0.333333,0.0,0.0,0.0,,,0.666667,200.0
