层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1,保存量,502431.0,503124.285714,496734.714286,494106.857143,496865.142857,505916.714286,501816.714286,483749.714286,-693.285714,-0.137796,-693.285714,100.0,-0.137796
2,DAU,732141.428571,727028.0,716672.857143,713123.285714,723184.142857,741351.714286,730721.571429,723297.0,5113.428571,0.703333,3523.825132,-508.278919,0.700388
3,保存率,0.686249,0.692029,0.693112,0.692877,0.687052,0.682425,0.686741,0.668812,-0.00578,-0.835255,-4216.961729,608.25741,-0.838154
3.AI Expand,AI Expand保存率,0.006316,0.00633,0.006256,0.006127,0.005967,0.005866,0.005954,0.006045,-1.4e-05,-0.223692,,,
3.AI Features,AI Features保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.AI Image,AI Image保存率,0.004518,0.004187,0.004018,0.00439,0.00434,0.004675,0.004985,0.005002,0.000331,7.894761,,,
3.AI Repair,AI Repair保存率,0.016337,0.016626,0.01678,0.01687,0.016678,0.016619,0.016914,0.016761,-0.000289,-1.739389,,,
3.AI Replace,AI Replace保存率,0.005449,0.005519,0.005554,0.005603,0.005549,0.005427,0.005399,0.005513,-7e-05,-1.274687,,,
3.AI Retouch,AI Retouch保存率,0.054528,0.05544,0.055724,0.05561,0.055247,0.05521,0.055593,0.054305,-0.000913,-1.646222,,,
3.AI Tattoo,AI Tattoo保存率,0.000532,0.000561,0.000575,0.000592,0.000586,0.000605,0.000561,0.000539,-2.9e-05,-5.082443,,,
3.Abs,Abs保存率,4e-06,5e-06,5e-06,4e-06,4e-06,3e-06,4e-06,4e-06,-1e-06,-20.558737,,,
3.Absarm,Absarm保存率,1e-06,1e-06,0.0,0.0,1e-06,0.0,0.0,0.0,-0.0,-0.698421,,,
3.Absbreast,Absbreast保存率,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1e-06,-100.0,,,
3.Abspecs,Abspecs保存率,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.Absv Line,Absv Line保存率,0.0,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,,,,
3.Acn,Acn保存率,0.0,1e-06,0.0,0.0,0.0,0.0,1e-06,0.0,-1e-06,-100.0,,,
3.Acne,Acne保存率,0.1098,0.111452,0.112052,0.112651,0.111614,0.110605,0.109659,0.105586,-0.001652,-1.482049,,,
3.Acneth,Acneth保存率,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1e-06,-100.0,,,
3.Acnsmooth,Acnsmooth保存率,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,,,,
3.Acnth,Acnth保存率,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1e-06,-100.0,,,
3.Adjust,Adjust保存率,0.074018,0.075322,0.075667,0.075726,0.074298,0.073847,0.075703,0.07423,-0.001304,-1.730996,,,
3.Align,Align保存率,0.0001,8.7e-05,9.1e-05,9.7e-05,9.5e-05,0.000103,3.9e-05,2e-06,1.2e-05,14.320102,,,
3.Arm,Arm保存率,9e-06,8e-06,6e-06,8e-06,1.1e-05,1e-05,9e-06,9e-06,1e-06,13.833518,,,
3.Armabs,Armabs保存率,1e-06,1e-06,0.0,1e-06,0.0,0.0,0.0,0.0,-0.0,-0.698421,,,
3.Armbody,Armbody保存率,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,,,,
3.Armcollarbone,Armcollarbone保存率,1e-06,1e-06,1e-06,0.0,0.0,1e-06,0.0,0.0,-0.0,-0.698421,,,
3.Ater,Ater保存率,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,,,,
3.Auto,Auto保存率,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,,,,
3.Background,Background保存率,0.003311,0.003367,0.003421,0.003463,0.003572,0.003697,0.003614,0.003633,-5.5e-05,-1.643101,,,
3.Background Adjust,Background Adjust保存率,0.000535,0.000544,0.000567,0.000558,0.000561,0.000538,0.000575,0.000579,-9e-06,-1.665993,,,
3.Backlight,Backlight保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.Backlight Tpm,Backlight Tpm保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.Beach Day,Beach Day保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.Beautymagic,Beautymagic保存率,0.000304,0.000322,0.000333,0.000351,0.000343,0.000356,0.000356,0.000402,-1.8e-05,-5.487691,,,
3.Blue Flash,Blue Flash保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.Blur,Blur保存率,0.02939,0.029874,0.030099,0.030604,0.03059,0.030411,0.031394,0.030441,-0.000484,-1.620015,,,
3.Blush,Blush保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.Body,Body保存率,0.099006,0.097393,0.097513,0.096124,0.091623,0.088934,0.088599,0.085785,0.001612,1.655628,,,
3.Body glow,Body glow保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.Bodybreast,Bodybreast保存率,0.0,1e-06,0.0,1e-06,1e-06,0.0,0.0,0.0,-1e-06,-100.0,,,
3.Bodyv Line,Bodyv Line保存率,1e-06,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,1e-06,,,,
3.Bokeh,Bokeh保存率,0.011017,0.011218,0.011243,0.011363,0.011497,0.011534,0.011917,0.011858,-0.000201,-1.794215,,,
3.Breast,Breast保存率,4e-06,5e-06,5e-06,4e-06,4e-06,5e-06,4e-06,3e-06,-1e-06,-15.409766,,,
3.Breastbody,Breastbody保存率,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,,,,
3.Breastcollarbone,Breastcollarbone保存率,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.Breastv Line,Breastv Line保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,,,,
3.Brighten,Brighten保存率,0.005961,0.006148,0.006385,0.007454,0.008712,0.00911,0.009002,0.008885,-0.000188,-3.05005,,,
3.Buttock,Buttock保存率,0.0,1e-06,0.0,0.0,1e-06,0.0,1e-06,1e-06,-1e-06,-100.0,,,
3.Ccd,Ccd保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.Clean Skin,Clean Skin保存率,0.020774,0.019588,0.018513,0.010401,0.001196,2e-06,1e-06,0.0,0.001186,6.052377,,,
3.Cloudy Fix,Cloudy Fix保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.Cne,Cne保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.Collarbone,Collarbone保存率,6e-06,9e-06,8e-06,7e-06,7e-06,6e-06,7e-06,8e-06,-3e-06,-32.294378,,,
3.Collarbonearm,Collarbonearm保存率,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,,,,
3.Collarbonepecs,Collarbonepecs保存率,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1e-06,-100.0,,,
3.Collarbonev Line,Collarbonev Line保存率,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,,,,
3.Concealer,Concealer保存率,0.007788,0.008347,0.008816,0.009657,0.010556,0.010825,0.010729,0.010588,-0.000559,-6.692188,,,
3.Contour,Contour保存率,0.007613,0.007901,0.008053,0.008339,0.008435,0.008513,0.008549,0.008607,-0.000288,-3.64208,,,
3.Contouring,Contouring保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.Crop,Crop保存率,0.064702,0.065281,0.065238,0.064832,0.064019,0.064103,0.064994,0.064027,-0.000579,-0.886725,,,
3.Dacne,Dacne保存率,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,,,,
3.Dark Circles,Dark Circles保存率,0.039613,0.041832,0.042549,0.043668,0.043888,0.04285,0.043714,0.043399,-0.002218,-5.302726,,,
3.Deglare,Deglare保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3.Details,Details保存率,0.009465,0.009637,0.009685,0.009905,0.009885,0.009823,0.009759,0.009862,-0.000172,-1.783684,,,
3.Detailsdetails,Detailsdetails保存率,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,,,,
3.Detailsone,Detailsone保存率,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,,,,
