层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1,订阅毛利（剔除退款，$）,raw_data/bookings.csv,订阅毛利（剔除退款，$）,订阅类型=整体，国家=整体，平台=整体,4002914.104,3593301.987,3655952.809,3339299.378,3884464.89,3923846.69,3656423.515,3685427.322,3654574.486,3967339.153,3998519.618,3435567.067,3613274.504,3268667.66,409612.117,11.399323,409612.117,100.0,11.399323
1.1,新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=整体，平台=整体,2063548.86,1841108.376,1845293.854,1569201.841,1950293.985,1783295.658,1632842.188,1508020.62,1471209.239,1789837.931,1770760.904,1711628.618,1847796.945,1643535.347,222440.484,12.081879,222440.484,54.305152,6.19042
1.1.不丹,不丹新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,29.327,,,20.66,,,24.5,,,7.7,,,,,,,,,
1.1.东帝汶,东帝汶新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.中国,中国新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,264.049,164.664,43345.543,65287.151,21031.625,13896.347,1882.992,377.859,138.048,181.527,315.397,232.421,224.805,139.834,99.385,60.356241,99.385,0.024263,0.002766
1.1.中国内地,中国内地新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.中非,中非新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.丹麦,丹麦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,4681.273,3658.688,3338.905,2751.612,4328.085,3285.559,2710.005,2536.686,2695.736,4323.302,4407.495,3579.464,3498.391,2287.854,1022.585,27.9495,1022.585,0.249647,0.028458
1.1.乌克兰,乌克兰新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,16657.95,12485.873,12483.498,11049.068,12497.389,9844.746,9880.565,9707.951,11183.913,14785.983,13605.817,11776.044,11590.637,10616.117,4172.077,33.41438,4172.077,1.018543,0.116107
1.1.乌兹别克斯坦,乌兹别克斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,538.853,349.571,403.786,364.434,469.506,311.253,431.633,326.275,264.795,418.692,343.616,293.938,294.818,238.3,189.282,54.14694,189.282,0.04621,0.005268
1.1.乌干达,乌干达新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,245.99,195.465,133.174,100.017,87.799,175.818,59.621,141.964,152.008,88.349,99.651,105.253,142.117,140.106,50.525,25.848617,50.525,0.012335,0.001406
1.1.乌拉圭,乌拉圭新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,385.948,542.738,623.918,420.986,952.663,780.953,907.108,635.68,629.929,823.294,660.45,731.785,531.044,362.874,-156.79,-28.888709,-156.79,-0.038278,-0.004363
1.1.乍得,乍得新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,0.0,5.593,0.0,13.6,0.0,,,,0.0,30.8,42.7,0.0,0.0,19.542,-5.593,-100.0,-5.593,-0.001365,-0.000156
1.1.也门,也门新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,0.0,3.392,17.417,3.995,12.054,0.85,0.0,12.75,,0.0,,35.127,0.595,5.942,-3.392,-100.0,-3.392,-0.000828,-9.4e-05
1.1.亚美尼亚,亚美尼亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1034.254,566.242,409.949,348.654,618.257,537.961,438.178,452.852,353.305,530.286,585.975,522.373,467.479,223.566,468.012,82.652294,468.012,0.114257,0.013025
