层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1,整体 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=整体，平台=整体，新老=整体,6015857.0,5775135.0,5788814.0,5607951.0,6478965.0,6745811.0,6225213.0,8079475.0,6387049.0,6641065.0,6705712.0,6695240.0,6807610.0,6663974.0,240722.0,4.168249,240722.0,100.0,4.168249
1.unknow,unknowMAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,928.0,778.0,791.0,873.0,1158.0,1534.0,1585.0,2300.0,2165.0,2617.0,2327.0,2390.0,1886.0,1687.0,150.0,19.280206,150.0,0.062313,0.002597
1.unknow.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,,,,,,,,,,,,,,,,,,,
1.unknow.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,,,,,,,,,,,,,,,,,,,
1.unknow.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,,,,,,,,,,,,,,,,,,,
1.unknow.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,,,,,,,,,,,,,,,,,,,
1.不丹,不丹MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,82.0,77.0,78.0,83.0,102.0,119.0,104.0,129.0,107.0,114.0,122.0,117.0,155.0,132.0,5.0,6.493506,5.0,0.002077,8.7e-05
1.不丹.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,14.0,13.0,13.0,16.0,20.0,17.0,14.0,9.0,6.0,4.0,11.0,4.0,9.0,12.0,1.0,7.692308,1.0,0.000415,1.7e-05
1.不丹.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,3.0,4.0,1.0,5.0,9.0,2.0,3.0,,,1.0,3.0,2.0,1.0,,-1.0,-25.0,-1.0,-0.000415,-1.7e-05
1.不丹.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,11.0,9.0,12.0,11.0,11.0,15.0,11.0,9.0,6.0,3.0,8.0,2.0,8.0,12.0,2.0,22.222222,2.0,0.000831,3.5e-05
1.不丹.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,68.0,64.0,65.0,67.0,82.0,102.0,90.0,120.0,101.0,110.0,111.0,113.0,146.0,120.0,4.0,6.25,4.0,0.001662,6.9e-05
1.东帝汶,东帝汶MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,87.0,63.0,51.0,49.0,63.0,72.0,63.0,72.0,74.0,78.0,83.0,86.0,81.0,106.0,24.0,38.095238,24.0,0.00997,0.000416
1.东帝汶.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,21.0,14.0,9.0,5.0,6.0,11.0,10.0,5.0,7.0,9.0,2.0,10.0,4.0,11.0,7.0,50.0,7.0,0.002908,0.000121
1.东帝汶.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,6.0,4.0,,1.0,,2.0,,,,2.0,,,1.0,1.0,2.0,50.0,2.0,0.000831,3.5e-05
1.东帝汶.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,15.0,10.0,9.0,4.0,6.0,9.0,10.0,5.0,7.0,7.0,2.0,10.0,3.0,10.0,5.0,50.0,5.0,0.002077,8.7e-05
1.东帝汶.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,66.0,49.0,42.0,44.0,57.0,61.0,53.0,67.0,67.0,69.0,81.0,76.0,77.0,95.0,17.0,34.693878,17.0,0.007062,0.000294
1.中国,中国MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,5618.0,5065.0,4996.0,4344.0,5141.0,5308.0,4874.0,5121.0,5900.0,5649.0,6014.0,5690.0,6310.0,6432.0,553.0,10.918065,553.0,0.229726,0.009576
1.中国.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,1620.0,1458.0,1513.0,1367.0,1734.0,1767.0,1436.0,918.0,1652.0,1453.0,1366.0,1192.0,1423.0,1323.0,162.0,11.111111,162.0,0.067298,0.002805
1.中国.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,8.0,10.0,10.0,5.0,31.0,47.0,61.0,211.0,1105.0,946.0,952.0,846.0,990.0,867.0,-2.0,-20.0,-2.0,-0.000831,-3.5e-05
1.中国.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,1612.0,1448.0,1503.0,1362.0,1703.0,1720.0,1375.0,707.0,547.0,507.0,414.0,346.0,433.0,456.0,164.0,11.325967,164.0,0.068128,0.00284
1.中国.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,3998.0,3607.0,3483.0,2977.0,3407.0,3541.0,3438.0,4203.0,4248.0,4196.0,4648.0,4498.0,4887.0,5109.0,391.0,10.840033,391.0,0.162428,0.00677
1.中非,中非MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,56.0,51.0,40.0,34.0,32.0,36.0,28.0,49.0,39.0,48.0,48.0,54.0,54.0,52.0,5.0,9.803922,5.0,0.002077,8.7e-05
1.中非.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,28.0,20.0,9.0,7.0,6.0,8.0,5.0,4.0,4.0,9.0,11.0,5.0,7.0,8.0,8.0,40.0,8.0,0.003323,0.000139
1.中非.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,4.0,7.0,1.0,,,,,,1.0,,,,,,-3.0,-42.857143,-3.0,-0.001246,-5.2e-05
1.中非.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,24.0,13.0,8.0,7.0,6.0,8.0,5.0,4.0,3.0,9.0,11.0,5.0,7.0,8.0,11.0,84.615385,11.0,0.00457,0.00019
1.中非.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,28.0,31.0,31.0,27.0,26.0,28.0,23.0,45.0,35.0,39.0,37.0,49.0,47.0,44.0,-3.0,-9.677419,-3.0,-0.001246,-5.2e-05
1.丹麦,丹麦MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,9679.0,9931.0,10354.0,8778.0,10017.0,10576.0,9811.0,12600.0,9743.0,12146.0,12670.0,11839.0,13281.0,13019.0,-252.0,-2.537509,-252.0,-0.104685,-0.004364
1.丹麦.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,1188.0,1108.0,1139.0,947.0,1114.0,1196.0,1088.0,1110.0,494.0,586.0,598.0,637.0,648.0,520.0,80.0,7.220217,80.0,0.033233,0.001385
1.丹麦.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,43.0,24.0,52.0,42.0,36.0,32.0,18.0,42.0,46.0,53.0,37.0,61.0,67.0,87.0,19.0,79.166667,19.0,0.007893,0.000329
1.丹麦.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,1145.0,1084.0,1087.0,905.0,1078.0,1164.0,1070.0,1068.0,448.0,533.0,561.0,576.0,581.0,433.0,61.0,5.627306,61.0,0.02534,0.001056
1.丹麦.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,8491.0,8823.0,9215.0,7831.0,8903.0,9380.0,8723.0,11490.0,9249.0,11560.0,12072.0,11202.0,12633.0,12499.0,-332.0,-3.762892,-332.0,-0.137918,-0.005749
1.乌克兰,乌克兰MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,72556.0,58392.0,60233.0,54911.0,62100.0,64101.0,62549.0,89244.0,79004.0,88698.0,89939.0,85128.0,82178.0,81224.0,14164.0,24.256747,14164.0,5.883966,0.245258
1.乌克兰.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,15746.0,7317.0,7620.0,6610.0,8277.0,8608.0,7873.0,8303.0,6224.0,7773.0,8445.0,7903.0,6260.0,6207.0,8429.0,115.197485,8429.0,3.50155,0.145953
