层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%
1,订阅毛利（剔除退款，$）,raw_data/bookings.csv,订阅毛利（剔除退款，$）,订阅类型=整体，国家=整体，平台=整体,4491039.747,3946054.908,4002914.104,3593301.987,3655952.809,3339299.378,3884464.89,3923846.69,3656423.515,3685427.322,3654574.486,3967339.153,3998519.618,3435567.067,544984.839,13.810878
1.1,新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=整体，平台=整体,2061359.469,2032668.335,2063548.86,1841108.376,1845293.854,1569201.841,1950293.985,1783295.658,1632842.188,1508020.62,1471209.239,1789837.931,1770760.904,1711628.618,28691.134,1.411501
1.1.不丹,不丹新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,29.327,,,20.66,,,24.5,,,7.7,,,,
1.1.东帝汶,东帝汶新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.中国,中国新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,179.268,158.905,264.049,164.664,43345.543,65287.151,21031.625,13896.347,1882.992,377.859,138.048,181.527,315.397,232.421,20.363,12.814575
1.1.中国内地,中国内地新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.中非,中非新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.丹麦,丹麦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,5468.071,4235.679,4681.273,3658.688,3338.905,2751.612,4328.085,3285.559,2710.005,2536.686,2695.736,4323.302,4407.495,3579.464,1232.392,29.0955
1.1.乌克兰,乌克兰新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,23582.038,21242.329,16657.95,12485.873,12483.498,11049.068,12497.389,9844.746,9880.565,9707.951,11183.913,14785.983,13605.817,11776.044,2339.709,11.014371
1.1.乌兹别克斯坦,乌兹别克斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,806.192,890.564,538.853,349.571,403.786,364.434,469.506,311.253,431.633,326.275,264.795,418.692,343.616,293.938,-84.372,-9.473996
1.1.乌干达,乌干达新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,200.22,180.789,245.99,195.465,133.174,100.017,87.799,175.818,59.621,141.964,152.008,88.349,99.651,105.253,19.431,10.747888
1.1.乌拉圭,乌拉圭新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,474.999,558.466,385.948,542.738,623.918,420.986,952.663,780.953,907.108,635.68,629.929,823.294,660.45,731.785,-83.467,-14.945762
1.1.乍得,乍得新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,21.693,5.593,0.0,5.593,0.0,13.6,0.0,,,,0.0,30.8,42.7,0.0,16.1,287.859825
1.1.也门,也门新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,24.486,0.0,0.0,3.392,17.417,3.995,12.054,0.85,0.0,12.75,,0.0,,35.127,24.486,
1.1.亚美尼亚,亚美尼亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1483.085,959.131,1034.254,566.242,409.949,348.654,618.257,537.961,438.178,452.852,353.305,530.286,585.975,522.373,523.954,54.627991
1.1.以色列,以色列新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,11442.121,13160.288,13487.771,8857.924,7455.074,7533.832,7286.521,8410.204,9286.75,10095.991,12212.776,13443.299,12289.3,8865.801,-1718.167,-13.055695
1.1.伊拉克,伊拉克新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,197.076,172.228,159.686,158.086,127.555,152.017,81.476,228.624,116.468,140.171,147.62,69.58,98.555,179.338,24.848,14.427387
1.1.伊朗,伊朗新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.伯利兹,伯利兹新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,41.903,21.693,55.91,30.678,45.553,27.286,105.618,26.784,25.292,6.45,79.188,4.988,27.3,43.537,20.21,93.163693
1.1.佛得角,佛得角新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,32.71,36.736,25.085,48.979,17.417,0.0,36.736,11.2,23.8,44.384,2.542,0.0,0.0,11.9,-4.026,-10.959277
1.1.俄罗斯,俄罗斯新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,2605.3,2327.426,1906.732,3372.419,16174.296,10589.163,13305.573,11305.468,11143.547,10061.98,10805.743,12697.69,16017.822,11293.441,277.874,11.939112
1.1.保加利亚,保加利亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,3610.768,3036.087,3196.805,2517.165,2465.746,1833.639,2332.647,2093.349,1766.308,1466.451,1814.55,2649.061,2338.182,2694.681,574.681,18.928344
1.1.克罗地亚,克罗地亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,7163.371,6527.667,6481.88,4302.82,4399.951,4335.633,4983.606,4308.246,4322.914,4305.129,5368.276,6969.823,6354.317,6044.374,635.704,9.73861
1.1.关岛,关岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,4.242,7.634,0.0,3.392,0.0,17.842,,
1.1.冈比亚,冈比亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,138.166,292.474,399.903,177.996,273.399,150.374,67.74,127.118,38.246,56.575,24.918,67.775,40.475,156.383,-154.308,-52.759562
1.1.冰岛,冰岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,494.965,639.189,496.724,424.452,342.562,126.942,455.177,407.969,364.998,370.924,388.414,374.18,447.005,538.507,-144.224,-22.563592
1.1.几内亚,几内亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.几内亚比绍,几内亚比绍新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,0.0,,,0.0,0.0,,,,,,,,,
1.1.列支敦士登,列支敦士登新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.刚果共和国,刚果共和国新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,0.0,0.0,5.593,21.693,13.923,8.386,0.0,0.0,11.9,0.0,5.6,5.6,0.0,16.8,0.0,
1.1.刚果民主共和国,刚果民主共和国新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,119.918,129.168,6.885,44.646,27.286,106.008,83.909,22.4,11.2,27.175,27.859,54.044,22.917,65.109,-9.25,-7.161216
1.1.利比亚,利比亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,21.693,0.0,0.0,,3.995,0.0,21.693,0.0,3.995,0.0,21.7,0.0,0.85,0.85,21.693,
1.1.利比里亚,利比里亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,256.722,182.775,176.667,137.604,101.343,62.724,86.332,124.53,56.04,70.284,106.118,170.424,136.561,120.255,73.947,40.45794
1.1.加拿大,加拿大新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,90917.368,91283.065,91177.176,79476.396,81322.067,68801.394,89203.458,74661.173,68403.301,62459.434,61097.827,82912.016,80845.144,80100.275,-365.697,-0.400619
1.1.加纳,加纳新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,775.329,1011.361,849.264,550.715,500.645,266.65,508.758,409.572,368.855,389.756,277.929,530.187,381.394,504.358,-236.032,-23.338056
1.1.加蓬,加蓬新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,35.616,27.286,43.95,35.565,0.0,25.144,44.554,21.7,32.9,8.33,0.0,0.0,16.387,0.0,8.33,30.528476
1.1.匈牙利,匈牙利新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,3861.044,3356.015,2947.328,2455.255,2205.642,1583.113,2004.725,2269.045,1621.238,2188.197,1649.046,2518.245,2476.943,1873.689,505.029,15.048473
1.1.北马其顿,北马其顿新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1434.757,1236.411,1264.394,930.233,861.884,907.873,913.936,675.307,675.461,638.125,853.264,1020.522,1212.999,847.451,198.346,16.042077
1.1.北马里亚纳群岛,北马里亚纳群岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,3.392,0.0,0.0,0.0,3.392,0.0,,
1.1.南极洲,南极洲新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.南苏丹,南苏丹新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.南非,南非新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,5648.314,5671.649,6248.653,6361.306,6540.851,5340.06,6933.688,6956.131,5158.051,5041.334,5215.298,5188.099,4734.741,4091.438,-23.335,-0.411432
1.1.博茨瓦纳,博茨瓦纳新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,108.388,164.92,95.781,97.099,106.187,61.278,78.901,52.037,146.482,50.46,143.564,121.527,86.926,73.726,-56.532,-34.278438
1.1.卡塔尔,卡塔尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,667.651,563.835,660.388,586.792,451.542,547.15,499.866,593.97,675.126,691.642,717.875,685.467,620.723,893.479,103.816,18.412479
1.1.卢旺达,卢旺达新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,94.882,86.401,55.864,56.471,27.286,5.593,46.123,66.86,32.614,33.6,34.875,11.9,8.4,16.8,8.481,9.815859
1.1.卢森堡,卢森堡新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,576.975,500.031,508.012,826.069,405.696,395.392,360.059,307.121,475.877,413.011,293.904,704.058,456.492,589.836,76.944,15.387846
1.1.印度,印度新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,0.0,0.0,4.921,0.0,0.0,,,0.0,,3.366,0.0,,21.227,0.0,0.0,
1.1.印度尼西亚,印度尼西亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1487.181,1504.327,1740.271,1431.82,1611.601,1204.497,1362.204,1118.351,1184.976,1266.748,1095.171,1313.118,1117.147,888.795,-17.146,-1.139779
1.1.危地马拉,危地马拉新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1151.853,1098.983,905.761,927.936,918.989,1017.068,1463.89,1263.596,1099.158,775.248,1008.136,1067.251,859.558,868.166,52.87,4.810811
1.1.厄瓜多尔,厄瓜多尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,2537.233,2233.751,2732.168,2341.344,2617.773,2395.258,3199.747,2491.501,2320.095,1713.146,2102.237,2452.313,2112.817,2217.053,303.482,13.586205
1.1.叙利亚,叙利亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.古巴,古巴新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.台湾,台湾新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,278.7,266.099,283.362,308.05,188.324,308.867,241.71,484.709,619.324,147.549,220.512,297.408,563.562,263.932,12.601,4.735456
1.1.吉尔吉斯斯坦,吉尔吉斯斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1647.508,1596.717,1435.977,521.406,403.185,356.805,397.53,539.024,321.357,445.895,299.688,451.51,338.338,461.301,50.791,3.180964
1.1.吉布提,吉布提新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.哈萨克斯坦,哈萨克斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,8902.264,7956.317,5414.114,3494.288,3137.755,2573.036,2982.231,2884.354,2668.079,2463.15,2319.47,3395.658,3679.12,2782.338,945.947,11.889257
1.1.哥伦比亚,哥伦比亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,12762.924,10232.805,10356.517,9156.85,8828.603,8272.652,10927.456,8667.958,8255.597,6628.449,6401.806,7490.087,7180.739,6551.355,2530.119,24.725566
1.1.哥斯达黎加,哥斯达黎加新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1466.49,1084.766,1405.155,1209.664,1375.55,1270.517,1317.259,1485.82,1176.892,875.104,1031.489,1440.023,1433.704,1199.196,381.724,35.189525
1.1.喀麦隆,喀麦隆新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,320.864,339.935,231.236,232.075,112.619,182.288,77.33,86.264,38.871,11.73,28.024,35.834,4.312,24.203,-19.071,-5.61019
1.1.土库曼斯坦,土库曼斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,0.0,17.417,21.693,0.0,,,8.33,,5.6,,,,
1.1.土耳其,土耳其新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,16843.298,16716.016,12339.871,8898.39,7725.852,6265.532,7772.06,6075.159,6152.568,5840.47,6706.495,7811.071,8258.985,7276.184,127.282,0.761437
1.1.圣卢西亚,圣卢西亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,141.06,35.846,89.107,20.763,101.375,64.195,65.339,156.892,70.381,99.185,57.663,124.156,126.395,56.316,105.214,293.51671
1.1.圣基茨和尼维斯,圣基茨和尼维斯新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,89.565,66.357,65.588,9.577,5.593,35.571,33.633,54.6,43.025,29.846,63.0,41.875,56.117,11.65,23.208,34.974456
1.1.圣多美和普林西比,圣多美和普林西比新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.圣巴泰勒米岛,圣巴泰勒米岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.圣文森特和格林纳丁斯,圣文森特和格林纳丁斯新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,38.465,13.923,98.938,26.002,73.409,0.0,8.33,35.7,0.0,30.8,24.5,0.0,8.33,33.248,24.542,176.269482
1.1.圣皮埃尔和密克隆群岛,圣皮埃尔和密克隆群岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.圣诞岛,圣诞岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.圣马力诺,圣马力诺新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.圭亚那,圭亚那新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,64.022,113.001,167.93,129.857,93.065,99.007,142.044,57.05,11.2,65.8,65.1,21.7,53.548,71.05,-48.979,-43.343864
1.1.坦桑尼亚,坦桑尼亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,280.377,272.857,289.609,200.102,171.435,138.809,182.488,211.79,128.483,160.074,108.273,78.274,134.474,117.286,7.52,2.756022
1.1.埃及,埃及新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,700.265,650.558,729.218,645.952,464.549,626.116,497.858,370.799,505.766,509.204,649.668,585.267,546.299,544.342,49.707,7.640672
1.1.埃塞俄比亚,埃塞俄比亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.基里巴斯,基里巴斯新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.塔吉克斯坦,塔吉克斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,595.528,343.821,236.665,163.917,97.388,66.843,106.475,40.928,49.968,57.39,27.915,57.972,96.782,41.222,251.707,73.208734
1.1.塞内加尔,塞内加尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,316.319,355.902,457.266,129.253,166.67,22.331,67.035,62.47,64.194,23.336,65.589,62.029,81.48,91.015,-39.583,-11.121882
1.1.塞尔维亚,塞尔维亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,7192.611,6718.183,5493.632,4545.545,4425.143,3555.264,4747.28,3781.0,3822.808,3762.294,3902.49,5258.043,4860.84,4422.048,474.428,7.06185
1.1.塞拉利昂,塞拉利昂新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,140.317,158.127,105.295,217.54,52.371,68.435,53.515,65.435,21.0,27.018,53.83,27.535,67.548,15.275,-17.81,-11.263099
1.1.塞浦路斯,塞浦路斯新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1632.547,1475.736,1287.041,1209.537,1054.582,1128.426,1185.383,1048.527,1047.825,1131.409,984.998,1642.23,1532.527,1328.953,156.811,10.625952
1.1.塞舌尔,塞舌尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,11.186,32.284,22.036,21.693,36.271,75.471,44.619,19.748,0.0,5.942,26.792,13.242,20.648,45.941,-21.098,-65.351258
1.1.墨西哥,墨西哥新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,26394.048,23889.078,27282.245,26242.464,26325.711,22248.055,27805.654,26132.217,23992.737,21412.402,21748.416,25100.362,22298.929,20508.351,2504.97,10.485838
1.1.多哥,多哥新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.多米尼克,多米尼克新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,46.879,93.682,75.949,40.521,21.693,5.593,39.123,35.35,40.6,17.246,5.6,30.8,20.746,37.675,-46.803,-49.959437
1.1.多米尼加,多米尼加新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1340.169,1295.083,1409.91,1545.022,1628.474,1607.41,1998.512,1660.365,1552.937,1072.29,1095.939,1509.387,1141.446,1380.503,45.086,3.481321
1.1.奥兰群岛,奥兰群岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.奥地利,奥地利新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,5087.664,3942.425,4315.408,3642.481,3427.539,2753.484,3645.185,3113.032,3853.302,3090.109,3392.808,5284.328,4630.821,4337.287,1145.239,29.0491
1.1.委内瑞拉,委内瑞拉新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,122.953,270.968,181.187,198.781,209.393,153.989,207.193,113.896,186.822,106.161,174.916,167.119,114.522,90.153,-148.015,-54.624531
1.1.孟加拉,孟加拉新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,3.294,89.673,25.944,71.576,31.505,51.812,8.768,0.0,19.598,35.341,27.715,24.429,13.763,14.211,-86.379,-96.326654
1.1.安哥拉,安哥拉新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,88.154,85.866,72.542,136.355,85.537,90.253,77.931,107.907,89.822,117.347,90.313,79.1,79.888,72.59,2.288,2.664617
1.1.安圭拉,安圭拉新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,0.0,30.235,15.043,0.0,5.593,,,4.9,,,,21.7,,,-30.235,-100.0
1.1.安提瓜和巴布达,安提瓜和巴布达新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,47.395,60.931,109.082,99.555,34.409,30.255,132.347,60.441,63.225,92.4,3.375,116.904,38.723,41.041,-13.536,-22.215293
1.1.安道尔,安道尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.密克罗尼西亚联邦,密克罗尼西亚联邦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.尼加拉瓜,尼加拉瓜新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,250.626,288.255,276.579,207.223,210.413,266.667,276.895,222.432,204.661,200.984,190.579,163.125,217.008,165.818,-37.629,-13.054067
1.1.尼日利亚,尼日利亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,5007.929,4416.066,3853.89,3496.789,2975.434,2775.721,2382.935,2231.391,1881.378,1850.232,2019.3,1576.31,1089.312,955.085,591.863,13.402494
1.1.尼日尔,尼日尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,26.236,0.0,20.655,0.0,21.693,0.0,,3.79,11.9,,0.0,21.7,,17.5,26.236,
1.1.尼泊尔,尼泊尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,23.341,23.341,19.534,49.404,17.417,24.277,4.505,31.117,19.42,17.11,5.936,7.22,4.501,25.533,0.0,0.0
1.1.巴勒斯坦,巴勒斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.巴哈马,巴哈马新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,221.573,355.185,206.767,176.831,349.8,163.276,160.918,203.908,369.732,285.302,327.2,510.29,403.732,499.12,-133.612,-37.61758
1.1.巴基斯坦,巴基斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,632.252,651.127,614.334,671.276,904.975,486.102,961.99,616.811,705.101,496.829,430.29,602.658,518.666,661.426,-18.875,-2.89882
1.1.巴巴多斯,巴巴多斯新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,251.905,53.594,95.247,169.721,178.677,107.193,126.841,120.117,99.44,66.1,59.31,148.65,123.1,150.06,198.311,370.02463
1.1.巴布亚新几内亚,巴布亚新几内亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,0.0,14.463,20.809,39.11,0.0,4.48,0.0,40.152,0.0,29.342,7.642,0.0,25.449,21.7,-14.463,-100.0
1.1.巴拉圭,巴拉圭新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,935.794,1100.834,1163.924,1055.497,1219.186,1011.855,1352.743,1161.678,858.696,609.984,702.493,663.006,765.042,693.086,-165.04,-14.992269
1.1.巴拿马,巴拿马新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,845.661,668.137,871.186,992.198,809.165,852.373,967.831,824.519,807.923,641.959,642.577,835.173,558.441,783.489,177.524,26.57
1.1.巴林,巴林新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,278.802,239.424,470.923,109.535,266.161,302.936,199.612,409.076,270.604,385.737,236.701,145.414,207.138,313.115,39.378,16.446973
1.1.巴西,巴西新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,263556.039,266335.269,255792.416,231012.178,236372.808,212271.058,296867.108,279906.991,252351.9,219675.76,227317.294,239001.59,233227.803,223933.019,-2779.23,-1.043508
1.1.布基纳法索,布基纳法索新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,112.014,63.573,85.284,0.0,48.979,21.693,79.695,37.034,0.0,25.449,0.0,24.918,51.8,26.452,48.441,76.197442
1.1.布隆迪,布隆迪新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.布韦岛,布韦岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.希腊,希腊新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,8693.44,7709.156,6812.037,7190.865,5525.168,6126.284,8089.368,5912.581,5485.659,4571.277,6075.333,10774.77,7074.39,5994.209,984.284,12.767727
1.1.帕劳,帕劳新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0,21.7,0.0,0.0,8.33,8.33,8.33,0.0,
1.1.库克群岛,库克群岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,
1.1.库拉索,库拉索新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,0.0,,,,,,,
