层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%
1,整体 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=整体，平台=整体，新老=整体,5918705.0,6011938.0,6015857.0,5775135.0,5788814.0,5607951.0,6478965.0,6745811.0,6225213.0,8079475.0,6387049.0,6641065.0,6705712.0,6695240.0,-93233.0,-1.550798
1.unknow,unknowMAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,907.0,815.0,928.0,778.0,791.0,873.0,1158.0,1534.0,1585.0,2300.0,2165.0,2617.0,2327.0,2390.0,92.0,11.288344
1.unknow.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,,,,,,,,,,,,,,,,
1.unknow.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,,,,,,,,,,,,,,,,
1.unknow.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,,,,,,,,,,,,,,,,
1.unknow.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,,,,,,,,,,,,,,,,
1.不丹,不丹MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,68.0,62.0,82.0,77.0,78.0,83.0,102.0,119.0,104.0,129.0,107.0,114.0,122.0,117.0,6.0,9.677419
1.不丹.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,12.0,13.0,14.0,13.0,13.0,16.0,20.0,17.0,14.0,9.0,6.0,4.0,11.0,4.0,-1.0,-7.692308
1.不丹.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,1.0,1.0,3.0,4.0,1.0,5.0,9.0,2.0,3.0,,,1.0,3.0,2.0,0.0,0.0
1.不丹.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,11.0,12.0,11.0,9.0,12.0,11.0,11.0,15.0,11.0,9.0,6.0,3.0,8.0,2.0,-1.0,-8.333333
