name,desc,launch,feature_requested,feature_resolved,feature_candidates_tried,level1,before_start,before_end,after_start,after_end,before_avg_enter_save_rate,after_avg_enter_save_rate,relative_change,relative_change_pct,before_avg_enter_penetration,after_avg_enter_penetration,penetration_relative_change,penetration_relative_change_pct,is_new_feature,summary_eligible,summary_rule,status,note,gate_label,before_days,after_days,feature_match_note
Hair新增多人识别,Hair 新增多人识别,20260617,Hair,Hair,['Hair'],图片编辑,20260603,20260616,20260617,20260630,0.30637,0.325277,0.061712,6.17,0.081182,0.085283,0.050524,5.05,False,True,规则1,入选总结（规则1）,Hair 进入保存率上涨 6.2% (30.6%→32.5%)；进入渗透率相对变动 5.1%（>-3%）,是（规则1）,14,14,
Hair loading组件统一,Hair loading 组件统一,20260617,Hair,Hair,['Hair'],图片编辑,20260603,20260616,20260617,20260630,0.30637,0.325277,0.061712,6.17,0.081182,0.085283,0.050524,5.05,False,True,规则1,入选总结（规则1）,Hair 进入保存率上涨 6.2% (30.6%→32.5%)；进入渗透率相对变动 5.1%（>-3%）,是（规则1）,14,14,
Teeth新增去牙渍,Teeth 新增去牙渍,20260617,Teeth,Teeth,['Teeth'],图片编辑,20260603,20260616,20260617,20260630,0.823466,0.794165,-0.035582,-3.56,0.063716,0.069099,0.084495,8.45,False,False,,未达总结入选门槛,Teeth 保存率相对变动 -3.6% (82.3%→79.4%)；渗透率相对变动 8.4% (6.4%→6.9%)；未达规则1/规则2/规则3,否,14,14,
Retouch&Face新增3D骨相还原,Retouch&Face 新增 3D 骨相还原,20260617,Face,Face,['Face'],图片编辑,20260603,20260616,20260617,20260630,0.474342,0.464435,-0.020886,-2.09,0.218066,0.239113,0.096518,9.65,False,False,,未达总结入选门槛,Face 保存率相对变动 -2.1% (47.4%→46.4%)；渗透率相对变动 9.7% (21.8%→23.9%)；未达规则1/规则2/规则3,否,14,14,
Face新增提拉Pro,Face 新增提拉 Pro,20260617,Face,Face,['Face'],图片编辑,20260603,20260616,20260617,20260630,0.474342,0.464435,-0.020886,-2.09,0.218066,0.239113,0.096518,9.65,False,False,,未达总结入选门槛,Face 保存率相对变动 -2.1% (47.4%→46.4%)；渗透率相对变动 9.7% (21.8%→23.9%)；未达规则1/规则2/规则3,否,14,14,
Repair支持批量,Repair 支持批量,20260617,AI Repair,AI Repair,['AI Repair'],图片编辑,20260603,20260616,20260617,20260630,0.398476,0.383067,-0.038668,-3.87,0.040583,0.044215,0.089496,8.95,False,False,,未达总结入选门槛,AI Repair 保存率相对变动 -3.9% (39.8%→38.3%)；渗透率相对变动 8.9% (4.1%→4.4%)；未达规则1/规则2/规则3,否,14,14,
磨皮效果新增,磨皮效果新增,20260701,Skin,Smooth,['Smooth'],图片编辑,20260617,20260630,20260701,20260714,0.82045,0.806879,-0.016541,-1.65,0.201955,0.20482,0.014185,1.42,False,False,,未达总结入选门槛,Smooth 保存率相对变动 -1.7% (82.0%→80.7%)；渗透率相对变动 1.4% (20.2%→20.5%)；未达规则1/规则2/规则3,否,14,14,
Body新增曲线功能,Body 新增曲线功能,20260701,Body,Body,['Body'],图片编辑,20260617,20260630,20260701,20260714,0.687024,0.691391,0.006357,0.64,0.128416,0.130994,0.020076,2.01,False,False,,未达总结入选门槛,Body 保存率相对变动 0.6% (68.7%→69.1%)；渗透率相对变动 2.0% (12.8%→13.1%)；未达规则1/规则2/规则3,否,14,14,
Hair新增去碎发,Hair 新增去碎发,20260708,Hair,Hair,['Hair'],图片编辑,20260624,20260707,20260708,20260721,0.324234,0.360779,0.11271,11.27,0.086766,0.078008,-0.100934,-10.09,False,False,,未达总结入选门槛,Hair 保存率相对变动 11.3% (32.4%→36.1%)；渗透率相对变动 -10.1% (8.7%→7.8%)；未达规则1/规则2/规则3,否,14,14,
Body多族裔Auto参数,Body 多族裔 Auto 参数,20260708,Body,Body,['Body'],图片编辑,20260624,20260707,20260708,20260721,0.68277,0.697946,0.022227,2.22,0.130245,0.13548,0.040191,4.02,False,False,,未达总结入选门槛,Body 保存率相对变动 2.2% (68.3%→69.8%)；渗透率相对变动 4.0% (13.0%→13.5%)；未达规则1/规则2/规则3,否,14,14,
Skin新增Clean Skin,Skin 新增 Clean Skin,20260708,Skin,Clean Skin,"['Clean Skin', 'Ski', 'Kin', 'In', 'E', 'N']",图片编辑,20260624,20260707,20260708,20260721,,0.456934,,,,0.016516,,,True,False,,未达总结入选门槛,Clean Skin 完全新增；上线后日均进入渗透率 1.7%（未达5%）；相对变动不适用，记新功能,否,0,14,
Retouch效果新增,Retouch 效果新增,20260722,Retouch,AI Retouch,"['Retouch', 'AI Retouch']",图片编辑,20260708,20260721,20260722,20260804,0.379452,0.381298,0.004863,0.49,0.14533,0.144978,-0.002417,-0.24,False,False,,未达总结入选门槛,AI Retouch 保存率相对变动 0.5% (37.9%→38.1%)；渗透率相对变动 -0.2% (14.5%→14.5%)；未达规则1/规则2/规则3,否,14,12,原名「Retouch」取数无效，回退匹配「AI Retouch」
Skin新增Redness Fix,Skin 新增 Redness Fix,20260722,Skin,Redness Fix,"['Redness Fix', 'Redness', 'Ski', 'Kin', 'Ne', 'In', 'E', 'N']",图片编辑,20260708,20260721,20260722,20260804,,0.349269,,,,0.003748,,,True,False,,未达总结入选门槛,Redness Fix 完全新增；上线后日均进入渗透率 0.4%（未达5%）；相对变动不适用，记新功能,否,0,12,
