result.date_p,result.platform,result.install_days_type,country_type,result.hist_sub_type,target_user_uv,day_paid_user_uv,day_revenue_usd,skin_tone_paid_user_uv,skin_tone_revenue_usd
20260725,iOS,30天以上,墨西哥,历史未订阅过,76,2,30.41,2,30.41
20260726,Android,30天以上,乌克兰,历史未订阅过,5,0,0.0,0,0.0
20260801,iOS,30天内,德国,历史未订阅过,7,0,0.0,0,0.0
20260803,Android,30天以上,西班牙,历史未订阅过,9,0,0.0,0,0.0
20260723,iOS,30天内,澳大利亚,历史未订阅过,4,0,0.0,0,0.0
20260725,iOS,30天以上,英国,历史未订阅过,331,6,100.86,5,90.76
20260729,iOS,30天内,美国,历史订阅过（含试用）,5,0,0.0,0,0.0
20260730,Android,新用户,英国,历史未订阅过,1,0,0.0,0,0.0
20260802,Android,30天内,美国,历史未订阅过,4,1,37.56,0,0.0
20260805,iOS,新用户,西班牙,历史订阅过（含试用）,1,0,0.0,0,0.0
20260806,iOS,30天内,以色列,历史未订阅过,2,0,0.0,0,0.0
20260723,iOS,30天以上,美国,历史订阅过（含试用）,187,8,88.66,6,77.48
20260724,iOS,30天以上,乌克兰,历史未订阅过,25,0,0.0,0,0.0
20260724,iOS,30天以上,澳大利亚,历史未订阅过,60,0,0.0,0,0.0
20260731,Android,30天内,乌克兰,历史未订阅过,1,0,0.0,0,0.0
20260731,iOS,30天内,其他,历史订阅过（含试用）,5,0,0.0,0,0.0
20260806,iOS,30天内,其他,历史订阅过（含试用）,5,0,0.0,0,0.0
20260723,iOS,新用户,巴西,历史未订阅过,21,3,8.01,2,4.79
20260724,Android,30天内,澳大利亚,历史未订阅过,1,0,0.0,0,0.0
20260725,Android,新用户,德国,历史未订阅过,2,0,0.0,0,0.0
20260728,Android,30天以上,巴西,历史未订阅过,252,2,5.73,0,0.0
20260730,Android,30天以上,西班牙,历史未订阅过,13,0,0.0,0,0.0
20260801,Android,30天以上,美国,历史未订阅过,19,1,4.24,0,0.0
20260801,iOS,30天内,巴西,历史未订阅过,63,0,0.0,0,0.0
20260722,iOS,30天以上,德国,历史未订阅过,62,0,0.0,0,0.0
20260725,Android,新用户,墨西哥,历史未订阅过,2,0,0.0,0,0.0
20260727,iOS,30天以上,墨西哥,历史订阅过（含试用）,23,1,6.16,1,6.16
20260801,Android,30天以上,乌克兰,历史订阅过（含试用）,1,0,0.0,0,0.0
20260801,Android,30天以上,美国,历史订阅过（含试用）,7,0,0.0,0,0.0
20260804,iOS,新用户,巴西,历史未订阅过,21,2,4.76,1,1.55
20260806,iOS,30天以上,德国,历史订阅过（含试用）,17,2,48.78,2,48.78
20260731,Android,30天以上,澳大利亚,历史订阅过（含试用）,1,0,0.0,0,0.0
20260801,Android,30天以上,墨西哥,历史未订阅过,38,0,0.0,0,0.0
20260802,iOS,30天以上,西班牙,历史订阅过（含试用）,44,5,116.27,3,72.26
20260806,Android,30天以上,德国,历史未订阅过,14,0,0.0,0,0.0
20260806,iOS,30天以上,英国,历史未订阅过,227,5,97.3,4,69.83
20260722,iOS,30天以上,英国,历史订阅过（含试用）,126,4,40.52,3,30.39
20260722,iOS,30天内,美国,历史未订阅过,34,0,0.0,0,0.0
20260727,Android,30天内,巴西,历史未订阅过,36,0,0.0,0,0.0
