月份,市场,平台,渠道/自然,功能,进入人数,打勾人数,活跃人数,进入渗透率,打勾渗透率,进入排名,打勾排名,渠道,月份标签
2026-01,墨西哥,Android,Organic,Hair,42.0,14.161290322580646,439.51612903225805,0.09555963302752293,0.032220183486238535,6,7,自然新增,1月
2026-01,墨西哥,Android,non-Organic,Hair,139.80645161290323,42.0,1107.8387096774193,0.12619747837987363,0.03791165594153103,6,6,渠道新增,1月
2026-01,墨西哥,iOS,Organic,Hair,34.12903225806452,9.709677419354838,253.2258064516129,0.13477707006369427,0.03834394904458598,8,12,自然新增,1月
2026-01,墨西哥,iOS,non-Organic,Hair,2.967741935483871,0.8387096774193549,14.129032258064516,0.21004566210045664,0.05936073059360731,4,8,渠道新增,1月
2026-01,巴西,Android,Organic,Hair,531.3870967741935,187.74193548387098,4043.064516129032,0.13143176287549369,0.04643555271871385,4,6,自然新增,1月
2026-01,巴西,Android,non-Organic,Hair,4596.903225806452,1783.3870967741937,19178.83870967742,0.2396862132996044,0.09298723054979952,1,3,渠道新增,1月
2026-01,巴西,iOS,Organic,Hair,722.5483870967741,202.7741935483871,5051.774193548387,0.1430286389323457,0.04013920372912742,9,18,自然新增,1月
2026-01,巴西,iOS,non-Organic,Hair,7.129032258064516,2.129032258064516,34.41935483870968,0.2071227741330834,0.06185567010309278,4,8,渠道新增,1月
2026-01,整体,Android,Organic,Hair,1591.5483870967741,488.3225806451613,9377.838709677419,0.16971377268990379,0.052071974765490366,5,6,自然新增,1月
2026-01,整体,Android,non-Organic,Hair,5072.5161290322585,1926.8064516129032,21614.129032258064,0.23468519695897846,0.08914569024443389,1,3,渠道新增,1月
2026-01,整体,iOS,Organic,Hair,2548.967741935484,714.9677419354839,15920.09677419355,0.1601100657922731,0.044909761044571374,8,13,自然新增,1月
2026-01,整体,iOS,non-Organic,Hair,1055.4516129032259,262.61290322580646,2895.6774193548385,0.36449212396675806,0.09069135307354678,1,3,渠道新增,1月
2026-01,美国,Android,Organic,Hair,44.064516129032256,15.225806451612904,301.35483870967744,0.14622136587454504,0.05052451295225861,5,8,自然新增,1月
2026-01,美国,Android,non-Organic,Hair,60.193548387096776,18.161290322580644,276.1290322580645,0.21799065420560748,0.06577102803738318,5,6,渠道新增,1月
2026-01,美国,iOS,Organic,Hair,541.9032258064516,135.96774193548387,2834.3870967741937,0.19118885575763092,0.047970773678100743,5,10,自然新增,1月
2026-01,美国,iOS,non-Organic,Hair,795.0967741935484,182.90322580645162,1812.4193548387098,0.438693601495061,0.1009166147548278,1,2,渠道新增,1月
2026-01,英国,Android,Organic,Hair,14.387096774193548,4.32258064516129,107.38709677419355,0.13397416641634124,0.04025232802643436,6,11,自然新增,1月
2026-01,英国,Android,non-Organic,Hair,3.4193548387096775,1.1290322580645162,17.225806451612904,0.19850187265917602,0.0655430711610487,3,3,渠道新增,1月
2026-01,英国,iOS,Organic,Hair,120.90322580645162,32.354838709677416,780.1290322580645,0.1549784981806153,0.041473701620906384,7,11,自然新增,1月
2026-01,英国,iOS,non-Organic,Hair,52.70967741935484,16.322580645161292,289.96774193548384,0.18177772833463124,0.056291022360663044,5,10,渠道新增,1月
2026-02,墨西哥,Android,Organic,Hair,19.642857142857142,7.535714285714286,119.46428571428571,0.16442451420029897,0.06307922272047833,5,9,自然新增,2月
2026-02,墨西哥,Android,non-Organic,Hair,53.607142857142854,15.928571428571429,214.32142857142858,0.25012497917013826,0.07432094650891517,3,5,渠道新增,2月
2026-02,墨西哥,iOS,Organic,Hair,27.928571428571427,7.821428571428571,219.71428571428572,0.12711313394018203,0.03559817945383615,9,13,自然新增,2月
2026-02,墨西哥,iOS,non-Organic,Hair,2.3214285714285716,0.7142857142857143,15.535714285714286,0.14942528735632185,0.04597701149425287,7,8,渠道新增,2月
2026-02,巴西,Android,Organic,Hair,314.67857142857144,113.28571428571429,2078.785714285714,0.15137614678899083,0.054496100058413224,5,7,自然新增,2月
2026-02,巴西,Android,non-Organic,Hair,3528.464285714286,1384.142857142857,14378.5,0.24539863586008873,0.0962647603813233,2,4,渠道新增,2月
2026-02,巴西,iOS,Organic,Hair,469.7857142857143,136.07142857142858,3975.964285714286,0.11815642207191426,0.034223503732248244,12,18,自然新增,2月
2026-02,巴西,iOS,non-Organic,Hair,6.035714285714286,1.5357142857142858,33.5,0.18017057569296374,0.04584221748400853,6,9,渠道新增,2月
2026-02,整体,Android,Organic,Hair,1343.2142857142858,384.67857142857144,6586.071428571428,0.2039477251775934,0.05840789545035519,5,7,自然新增,2月
2026-02,整体,Android,non-Organic,Hair,3930.8214285714284,1503.7142857142858,15915.75,0.24697682663848253,0.09447963719675703,2,3,渠道新增,2月
2026-02,整体,iOS,Organic,Hair,2025.5357142857142,568.4642857142857,13886.607142857143,0.14586253455924902,0.040936153796695164,8,12,自然新增,2月
2026-02,整体,iOS,non-Organic,Hair,1031.4285714285713,239.64285714285714,3114.035714285714,0.3312192492516601,0.07695571892239056,1,4,渠道新增,2月
2026-02,美国,Android,Organic,Hair,42.107142857142854,14.321428571428571,260.39285714285717,0.16170621313948702,0.05499931422301467,5,8,自然新增,2月
2026-02,美国,Android,non-Organic,Hair,68.60714285714286,22.035714285714285,329.89285714285717,0.2079679549637328,0.06679657897585796,5,7,渠道新增,2月
