月份,市场,平台,渠道/自然,功能,进入人数,打勾人数,活跃人数,打勾渗透率,进入渗透率,进入排名,打勾排名
2026-01,墨西哥,Android,Organic,AI Expand,13.774193548387096,6.419354838709677,439.51612903225805,0.020010953734946723,0.04129977918953019,20,17
2026-01,墨西哥,Android,Organic,AI Image,23.838709677419356,3.4516129032258065,439.51612903225805,0.012187212857520995,0.07511319849249132,8,20
2026-01,墨西哥,Android,Organic,AI Repair,16.70967741935484,8.387096774193548,439.51612903225805,0.029595893721315273,0.05502156585021886,13,13
2026-01,墨西哥,Android,Organic,AI Replace,8.03225806451613,4.193548387096774,439.51612903225805,0.011794529384779585,0.023960553649050316,32,21
2026-01,墨西哥,Android,Organic,AI Retouch,47.96774193548387,21.774193548387096,439.51612903225805,0.06339090214479705,0.13255893024925244,4,4
2026-01,墨西哥,Android,Organic,AI Tattoo,7.612903225806452,2.2580645161290325,439.51612903225805,0.005771571685805392,0.01846663586771392,39,35
2026-01,墨西哥,Android,Organic,Acne,10.419354838709678,6.516129032258065,439.51612903225805,0.019443390546243552,0.030064653297538376,27,18
2026-01,墨西哥,Android,Organic,Adjust,22.0,9.096774193548388,439.51612903225805,0.0315307418591773,0.07053559249356318,10,12
2026-01,墨西哥,Android,Organic,Background,15.612903225806452,2.4193548387096775,439.51612903225805,0.006293583894910173,0.04796995334467104,17,33
2026-01,墨西哥,Android,Organic,Blur,11.387096774193548,6.193548387096774,439.51612903225805,0.021382931506542156,0.038983569548734706,23,16
2026-01,墨西哥,Android,Organic,Body,17.387096774193548,10.387096774193548,439.51612903225805,0.034096967722369205,0.05324273520865352,14,11
2026-01,墨西哥,Android,Organic,Bokeh,7.709677419354839,2.3548387096774195,439.51612903225805,0.007239286436521701,0.023770254932933894,33,31
2026-01,墨西哥,Android,Organic,Brighten,8.64516129032258,4.0,439.51612903225805,0.011633873161873812,0.02362234416972944,34,22
2026-01,墨西哥,Android,Organic,Concealer,10.612903225806452,3.7419354838709675,439.51612903225805,0.008686538841925714,0.027477883534584763,29,27
2026-01,墨西哥,Android,Organic,Contour,3.6129032258064515,1.6451612903225807,439.51612903225805,0.00413367968626934,0.01084276354457067,44,40
2026-01,墨西哥,Android,Organic,Crop,20.64516129032258,14.580645161290322,439.51612903225805,0.04559403143441296,0.062427982138338924,12,6
2026-01,墨西哥,Android,Organic,Dark Circles,6.516129032258065,3.6774193548387095,439.51612903225805,0.011473347398690643,0.01861481758176902,38,23
2026-01,墨西哥,Android,Organic,Details,3.870967741935484,1.903225806451613,439.51612903225805,0.007609365202777269,0.014248776782502599,41,30
2026-01,墨西哥,Android,Organic,Effects,16.096774193548388,1.5161290322580645,439.51612903225805,0.0046076771766859585,0.05098977359863984,15,37
2026-01,墨西哥,Android,Organic,Eraser,55.0,25.548387096774192,439.51612903225805,0.06404635999737843,0.12840956141210408,6,3
2026-01,墨西哥,Android,Organic,Expression,10.580645161290322,3.5806451612903225,439.51612903225805,0.010995733654872766,0.03301589653894643,25,24
2026-01,墨西哥,Android,Organic,Eye Brighten,4.32258064516129,2.4193548387096775,439.51612903225805,0.007066901774799139,0.012202181728637324,43,32
2026-01,墨西哥,Android,Organic,Face,53.0,22.516129032258064,439.51612903225805,0.06506183567875796,0.1488984485918647,3,2
2026-01,墨西哥,Android,Organic,Face Fix,10.806451612903226,2.5483870967741935,439.51612903225805,0.008190979098170613,0.03391938074943956,24,29
2026-01,墨西哥,Android,Organic,Filters,57.32258064516129,13.225806451612904,439.51612903225805,0.04017441701251611,0.1707408825195849,2,8
2026-01,墨西哥,Android,Organic,Glitter,9.387096774193548,2.0,439.51612903225805,0.004876497844010943,0.0242907136222696,30,36
2026-01,墨西哥,Android,Organic,Glowup,13.806451612903226,2.967741935483871,439.51612903225805,0.008806370777879324,0.040042006733043936,22,26
2026-01,墨西哥,Android,Organic,Hair,42.0,14.161290322580646,439.51612903225805,0.044635822102976716,0.13052599096446277,5,7
2026-01,墨西哥,Android,Organic,Magic,70.12903225806451,30.806451612903224,439.51612903225805,0.08010271551287679,0.18112216391348296,1,1
2026-01,墨西哥,Android,Organic,Makeup,39.87096774193548,21.387096774193548,439.51612903225805,0.05967663424581703,0.10534027551796168,7,5
2026-01,墨西哥,Android,Organic,Matte,4.032258064516129,1.8387096774193548,439.51612903225805,0.006006629965655576,0.012549634194951004,42,34
2026-01,墨西哥,Android,Organic,Muscle,7.838709677419355,2.5161290322580645,439.51612903225805,0.008651067510949512,0.023204918202199196,35,28
2026-01,墨西哥,Android,Organic,Mykit,9.419354838709678,0.0,439.51612903225805,0.0,0.03050437289873563,26,43
2026-01,墨西哥,Android,Organic,Plump,16.967741935483872,6.612903225806452,439.51612903225805,0.015302909431070922,0.04124696317525937,21,19
2026-01,墨西哥,Android,Organic,Preset,12.451612903225806,0.967741935483871,439.51612903225805,0.0030826390168611733,0.04229961384911791,18,41
2026-01,墨西哥,Android,Organic,Prism,5.161290322580645,1.2580645161290323,439.51612903225805,0.0044012155540049,0.01767619522297812,40,39
2026-01,墨西哥,Android,Organic,Relight,22.70967741935484,7.967741935483871,439.51612903225805,0.022444553414587863,0.06336880459259002,11,15
2026-01,墨西哥,Android,Organic,Reshape,23.967741935483872,12.451612903225806,439.51612903225805,0.039109581057997334,0.0707531763426105,9,9
2026-01,墨西哥,Android,Organic,Resize,8.0,3.064516129032258,439.51612903225805,0.010150784017664503,0.024283877253582543,31,25
2026-01,墨西哥,Android,Organic,Skin Tone,14.419354838709678,9.387096774193548,439.51612903225805,0.027613169248774,0.04175775327597232,19,14
2026-01,墨西哥,Android,Organic,Smooth,17.161290322580644,11.0,439.51612903225805,0.034545959194531003,0.05024173204095209,16,10
2026-01,墨西哥,Android,Organic,Stamp,7.580645161290323,1.2258064516129032,439.51612903225805,0.00448307677096532,0.02282501062978581,36,38
2026-01,墨西哥,Android,Organic,Teeth,10.225806451612904,0.0,439.51612903225805,0.0,0.02900575319032915,28,43
2026-01,墨西哥,Android,Organic,Text,5.838709677419355,0.7096774193548387,439.51612903225805,0.0023876575845042116,0.020159762971989334,37,42
2026-01,墨西哥,Android,non-Organic,AI Expand,35.03225806451613,14.709677419354838,1107.8387096774193,0.017479386051854062,0.042279474137986266,22,18
2026-01,墨西哥,Android,non-Organic,AI Image,82.35483870967742,12.67741935483871,1107.8387096774193,0.014078133123563876,0.11105660599499416,8,20
2026-01,墨西哥,Android,non-Organic,AI Repair,46.774193548387096,18.806451612903224,1107.8387096774193,0.03042813958179708,0.06655834921135798,12,11
2026-01,墨西哥,Android,non-Organic,AI Replace,20.451612903225808,10.03225806451613,1107.8387096774193,0.009252498350855528,0.02241942505278675,36,27
2026-01,墨西哥,Android,non-Organic,AI Retouch,158.74193548387098,72.19354838709677,1107.8387096774193,0.0779691872292788,0.1750614015883026,5,3
2026-01,墨西哥,Android,non-Organic,AI Tattoo,23.225806451612904,7.451612903225806,1107.8387096774193,0.006385263423663346,0.02373865780743782,33,32
2026-01,墨西哥,Android,non-Organic,Acne,20.580645161290324,9.161290322580646,1107.8387096774193,0.01601465258314391,0.02892711371983627,30,19
2026-01,墨西哥,Android,non-Organic,Adjust,52.806451612903224,16.774193548387096,1107.8387096774193,0.020911137239146824,0.06687243157389744,11,15
2026-01,墨西哥,Android,non-Organic,Background,54.483870967741936,11.225806451612904,1107.8387096774193,0.010492093149885487,0.06487412903813998,13,26
2026-01,墨西哥,Android,non-Organic,Blur,24.64516129032258,12.064516129032258,1107.8387096774193,0.0184173112187933,0.03265817746379238,29,17
2026-01,墨西哥,Android,non-Organic,Body,44.03225806451613,23.129032258064516,1107.8387096774193,0.03394150501594696,0.060381084068655326,16,9
2026-01,墨西哥,Android,non-Organic,Bokeh,17.258064516129032,4.483870967741935,1107.8387096774193,0.0055346408199737985,0.023611328767548987,34,36
2026-01,墨西哥,Android,non-Organic,Brighten,23.387096774193548,10.193548387096774,1107.8387096774193,0.013984739786461907,0.02870579740094727,31,21
2026-01,墨西哥,Android,non-Organic,Concealer,34.806451612903224,12.516129032258064,1107.8387096774193,0.013345989193273285,0.03824680641608815,23,22
2026-01,墨西哥,Android,non-Organic,Contour,10.806451612903226,4.354838709677419,1107.8387096774193,0.005925258918551314,0.013061769951019042,43,34
2026-01,墨西哥,Android,non-Organic,Crop,52.096774193548384,33.193548387096776,1107.8387096774193,0.038704315058589074,0.055539540065345706,17,7
2026-01,墨西哥,Android,non-Organic,Dark Circles,17.419354838709676,8.419354838709678,1107.8387096774193,0.011579696046661207,0.021903219703045297,39,24
2026-01,墨西哥,Android,non-Organic,Details,10.67741935483871,4.032258064516129,1107.8387096774193,0.00622496188369826,0.014318311484463837,41,33
2026-01,墨西哥,Android,non-Organic,Effects,44.806451612903224,5.193548387096774,1107.8387096774193,0.004716572542153492,0.06349265412126767,14,38
2026-01,墨西哥,Android,non-Organic,Eraser,182.67741935483872,88.06451612903226,1107.8387096774193,0.08220442412424553,0.1572198776096425,6,2
2026-01,墨西哥,Android,non-Organic,Expression,23.838709677419356,7.935483870967742,1107.8387096774193,0.011091293053945335,0.03675867272734825,25,25
2026-01,墨西哥,Android,non-Organic,Eye Brighten,10.516129032258064,4.354838709677419,1107.8387096774193,0.006476112939358372,0.01270678845142725,44,31
2026-01,墨西哥,Android,non-Organic,Face,151.41935483870967,59.58064516129032,1107.8387096774193,0.07104280927861316,0.1757896049190918,4,4
2026-01,墨西哥,Android,non-Organic,Face Fix,23.903225806451612,5.161290322580645,1107.8387096774193,0.007902807680493657,0.03459042023331017,27,30
2026-01,墨西哥,Android,non-Organic,Filters,175.3548387096774,35.45161290322581,1107.8387096774193,0.037787151302642055,0.20362423900333002,2,8
2026-01,墨西哥,Android,non-Organic,Glitter,28.387096774193548,6.0,1107.8387096774193,0.005076588403561525,0.03440539075645283,28,37
2026-01,墨西哥,Android,non-Organic,Glowup,38.32258064516129,8.064516129032258,1107.8387096774193,0.012849097389337325,0.06225357138394761,15,23
2026-01,墨西哥,Android,non-Organic,Hair,139.80645161290323,42.0,1107.8387096774193,0.05800974986004124,0.19200309963645804,3,6
2026-01,墨西哥,Android,non-Organic,Magic,222.6451612903226,87.61290322580645,1107.8387096774193,0.08463598372197342,0.22969375960046212,1,1
2026-01,墨西哥,Android,non-Organic,Makeup,121.58064516129032,60.32258064516129,1107.8387096774193,0.06178243160970204,0.12125569048641807,7,5
2026-01,墨西哥,Android,non-Organic,Matte,10.96774193548387,4.483870967741935,1107.8387096774193,0.005878147593805427,0.01383619413318431,42,35
2026-01,墨西哥,Android,non-Organic,Muscle,18.161290322580644,4.774193548387097,1107.8387096774193,0.008386694137192374,0.02625565216259436,32,28
2026-01,墨西哥,Android,non-Organic,Mykit,27.322580645161292,0.0,1107.8387096774193,0.0,0.036787702201204545,24,43
2026-01,墨西哥,Android,non-Organic,Plump,51.483870967741936,20.06451612903226,1107.8387096774193,0.01997497239912322,0.055216813573395564,18,16
2026-01,墨西哥,Android,non-Organic,Preset,35.83870967741935,3.3225806451612905,1107.8387096774193,0.004306732444782403,0.051138090017271036,20,40
2026-01,墨西哥,Android,non-Organic,Prism,12.161290322580646,4.193548387096774,1107.8387096774193,0.004387800714344161,0.01466747979853359,40,39
2026-01,墨西哥,Android,non-Organic,Relight,64.83870967741936,21.70967741935484,1107.8387096774193,0.024474981154366346,0.07143379656278752,10,14
2026-01,墨西哥,Android,non-Organic,Reshape,62.58064516129032,20.580645161290324,1107.8387096774193,0.029999962874393663,0.08079546732369224,9,12
2026-01,墨西哥,Android,non-Organic,Resize,14.774193548387096,4.774193548387097,1107.8387096774193,0.008050407729324586,0.022021932507925293,38,29
2026-01,墨西哥,Android,non-Organic,Skin Tone,37.903225806451616,20.548387096774192,1107.8387096774193,0.024659395138142286,0.04504414270300529,21,13
2026-01,墨西哥,Android,non-Organic,Smooth,41.064516129032256,22.096774193548388,1107.8387096774193,0.031323494284736894,0.05115256079821499,19,10
2026-01,墨西哥,Android,non-Organic,Stamp,19.419354838709676,3.4193548387096775,1107.8387096774193,0.0038121537042117393,0.022633626379226605,35,41
2026-01,墨西哥,Android,non-Organic,Teeth,29.612903225806452,0.0,1107.8387096774193,0.0,0.035072315417241484,26,43
2026-01,墨西哥,Android,non-Organic,Text,17.612903225806452,2.3870967741935485,1107.8387096774193,0.0023646656178339756,0.022283162699830952,37,42
2026-01,墨西哥,iOS,Organic,AI Expand,7.580645161290323,2.3548387096774195,253.2258064516129,0.009302454593936815,0.030429967975833663,32,30
2026-01,墨西哥,iOS,Organic,AI Image,14.870967741935484,1.5161290322580645,253.2258064516129,0.0057272787958705775,0.05681921886495215,17,33
2026-01,墨西哥,iOS,Organic,AI Repair,10.96774193548387,4.419354838709677,253.2258064516129,0.017465882066620312,0.04328478020387928,27,22
2026-01,墨西哥,iOS,Organic,AI Replace,3.3870967741935485,1.032258064516129,253.2258064516129,0.0041610172637833905,0.014575433997071367,42,36
2026-01,墨西哥,iOS,Organic,AI Retouch,50.32258064516129,20.161290322580644,253.2258064516129,0.07882049864515854,0.19687334853839814,4,8
