月份,市场,平台,功能,进入人数,打勾人数,渠道/自然
2026-07-01T00:00:00,整体,Android,Mykit,356.7741935483871,0.0,Organic
2026-04-01T00:00:00,整体,iOS,Reshape,2521.233333333333,1670.5333333333333,Organic
2026-03-01T00:00:00,整体,Android,Mykit,374.2903225806452,0.0,Organic
2026-07-01T00:00:00,整体,Android,Adjust,695.6451612903226,344.4516129032258,Organic
2026-07-01T00:00:00,整体,Android,Dark Circles,223.1290322580645,135.48387096774192,Organic
2026-01-01T00:00:00,整体,iOS,Flawless,0.0,0.0,Organic
2026-02-01T00:00:00,整体,Android,Brighten,276.14285714285717,142.32142857142858,Organic
2026-08-01T00:00:00,整体,iOS,Stamp,254.5,51.166666666666664,Organic
2026-07-01T00:00:00,整体,iOS,Eraser,2059.483870967742,1047.1290322580646,Organic
2026-02-01T00:00:00,整体,iOS,Expression,535.75,114.92857142857143,Organic
2026-02-01T00:00:00,整体,iOS,Glowup,1223.6785714285713,379.17857142857144,Organic
2026-04-01T00:00:00,整体,Android,Effects,570.0,27.433333333333334,Organic
2026-04-01T00:00:00,整体,iOS,Crop,762.3,522.1333333333333,Organic
2026-02-01T00:00:00,整体,iOS,AI Expand,389.92857142857144,124.25,Organic
2026-07-01T00:00:00,整体,Android,Acne,462.93548387096774,296.7741935483871,Organic
2026-05-01T00:00:00,整体,iOS,Body,2004.8709677419354,1175.0,Organic
2026-05-01T00:00:00,整体,iOS,Skin Tone,1651.9354838709678,1008.8064516129032,Organic
2026-06-01T00:00:00,整体,iOS,Details,407.2962962962963,135.14814814814815,Organic
2026-04-01T00:00:00,整体,iOS,Preset,1015.2,94.4,Organic
2026-02-01T00:00:00,整体,Android,Collarbone,0.0,0.0,Organic
2026-02-01T00:00:00,整体,Android,Whiten,0.0,0.0,Organic
2026-01-01T00:00:00,整体,iOS,Resize,965.9354838709677,450.4193548387097,Organic
2026-04-01T00:00:00,整体,iOS,Face,5231.766666666666,2205.4,Organic
2026-08-01T00:00:00,整体,iOS,Expression,623.5,116.33333333333333,Organic
2026-08-01T00:00:00,整体,Android,Expression,231.0,57.833333333333336,Organic
2026-07-01T00:00:00,整体,iOS,Acne,1848.225806451613,1328.5483870967741,Organic
2026-05-01T00:00:00,整体,Android,Text,238.7741935483871,17.258064516129032,Organic
2026-05-01T00:00:00,整体,Android,Eye Brighten,168.4516129032258,104.0,Organic
2026-03-01T00:00:00,整体,iOS,Smooth,2613.935483870968,2024.967741935484,Organic
2026-02-01T00:00:00,整体,iOS,Brighten,754.9285714285714,392.92857142857144,Organic
2026-02-01T00:00:00,整体,Android,Effects,585.5357142857143,26.964285714285715,Organic
2026-08-01T00:00:00,整体,iOS,Whiten,0.0,0.0,Organic
2026-02-01T00:00:00,整体,iOS,Blur,716.8571428571429,432.5357142857143,Organic
2026-01-01T00:00:00,整体,Android,Smooth,845.1290322580645,598.4516129032259,Organic
2026-03-01T00:00:00,整体,Android,Magic,1597.1612903225807,763.2903225806451,Organic
2026-02-01T00:00:00,整体,iOS,AI Replace,278.5357142857143,117.14285714285714,Organic
2026-08-01T00:00:00,整体,iOS,Acne,1833.1666666666667,1339.6666666666667,Organic
2026-02-01T00:00:00,整体,iOS,Prism,143.46428571428572,38.714285714285715,Organic
2026-03-01T00:00:00,整体,Android,AI Image,848.7741935483871,140.25806451612902,Organic
2026-08-01T00:00:00,整体,Android,Whiten,0.0,0.0,Organic
2026-04-01T00:00:00,整体,Android,Matte,124.16666666666667,53.63333333333333,Organic
2026-06-01T00:00:00,整体,iOS,Magic,5130.2962962962965,2459.925925925926,Organic
2026-06-01T00:00:00,整体,Android,Face,1511.2222222222222,630.5185185185185,Organic
2026-01-01T00:00:00,整体,iOS,Skin Tone,1486.8387096774193,968.1612903225806,Organic
2026-03-01T00:00:00,整体,iOS,Bokeh,291.19354838709677,94.41935483870968,Organic
2026-04-01T00:00:00,整体,Android,Glowup,416.1333333333333,111.0,Organic
2026-04-01T00:00:00,整体,iOS,Adjust,1798.8666666666666,904.4333333333333,Organic
2026-06-01T00:00:00,整体,iOS,AI Expand,292.6666666666667,101.18518518518519,Organic
2026-05-01T00:00:00,整体,Android,Teeth,315.03225806451616,0.0,Organic
2026-03-01T00:00:00,整体,Android,Face,1509.225806451613,622.5806451612904,Organic
2026-07-01T00:00:00,整体,Android,AI Replace,183.3548387096774,80.61290322580645,Organic
2026-05-01T00:00:00,整体,iOS,Resize,867.6129032258065,388.0,Organic
2026-01-01T00:00:00,整体,Android,Text,278.48387096774195,22.93548387096774,Organic
2026-01-01T00:00:00,整体,iOS,AI Replace,295.83870967741933,113.2258064516129,Organic
2026-06-01T00:00:00,整体,iOS,Face,5706.407407407408,2486.5185185185187,Organic
2026-07-01T00:00:00,整体,Android,Concealer,345.2258064516129,144.70967741935485,Organic
2026-04-01T00:00:00,整体,Android,Details,134.6,55.9,Organic
2026-02-01T00:00:00,整体,iOS,Plump,809.9285714285714,253.21428571428572,Organic
2026-08-01T00:00:00,整体,Android,Flawless,0.0,0.0,Organic
2026-04-01T00:00:00,整体,iOS,Smooth,2897.0,2177.9,Organic
2026-06-01T00:00:00,整体,iOS,Matte,370.55555555555554,172.77777777777777,Organic
2026-02-01T00:00:00,整体,iOS,Dark Circles,718.8928571428571,540.4642857142857,Organic
2026-06-01T00:00:00,整体,iOS,Reshape,2467.8888888888887,1696.888888888889,Organic
2026-05-01T00:00:00,整体,iOS,Glowup,1548.9032258064517,471.38709677419354,Organic
2026-07-01T00:00:00,整体,Android,AI Image,639.483870967742,110.12903225806451,Organic
2026-03-01T00:00:00,整体,Android,Details,124.74193548387096,55.806451612903224,Organic
2026-07-01T00:00:00,整体,Android,Face Fix,363.3225806451613,89.12903225806451,Organic
2026-04-01T00:00:00,整体,Android,Magic,1638.4666666666667,778.0666666666667,Organic
2026-01-01T00:00:00,整体,Android,Details,155.09677419354838,68.45161290322581,Organic
2026-07-01T00:00:00,整体,Android,Bokeh,248.19354838709677,117.70967741935483,Organic
2026-08-01T00:00:00,整体,Android,AI Retouch,1317.5,494.0,Organic
2026-03-01T00:00:00,整体,Android,Smooth,730.483870967742,528.8387096774194,Organic
2026-03-01T00:00:00,整体,Android,Flawless,0.0,0.0,Organic
2026-01-01T00:00:00,整体,Android,Collarbone,0.0,0.0,Organic
2026-08-01T00:00:00,整体,iOS,Brighten,598.3333333333334,295.6666666666667,Organic
2026-04-01T00:00:00,整体,iOS,Details,395.8,129.33333333333334,Organic
2026-07-01T00:00:00,整体,Android,Expression,278.96774193548384,71.96774193548387,Organic
2026-03-01T00:00:00,整体,iOS,Text,197.80645161290323,19.741935483870968,Organic
2026-02-01T00:00:00,整体,Android,Skin Tone,435.10714285714283,276.2857142857143,Organic
2026-02-01T00:00:00,整体,Android,Plump,277.0,92.64285714285714,Organic
2026-02-01T00:00:00,整体,iOS,AI Tattoo,252.71428571428572,46.57142857142857,Organic
2026-04-01T00:00:00,整体,iOS,AI Tattoo,388.23333333333335,82.93333333333334,Organic
2026-04-01T00:00:00,整体,Android,Smooth,760.6666666666666,550.6333333333333,Organic
2026-08-01T00:00:00,整体,Android,Adjust,693.8333333333334,352.1666666666667,Organic
2026-06-01T00:00:00,整体,Android,Dark Circles,211.11111111111111,130.85185185185185,Organic
2026-05-01T00:00:00,整体,Android,Resize,242.58064516129033,101.25806451612904,Organic
2026-03-01T00:00:00,整体,Android,Blur,494.61290322580646,223.06451612903226,Organic
2026-02-01T00:00:00,整体,Android,Filters,1876.0714285714287,451.0357142857143,Organic
2026-08-01T00:00:00,整体,iOS,AI Retouch,5133.166666666667,1973.6666666666667,Organic
2026-07-01T00:00:00,整体,iOS,Bokeh,297.3225806451613,82.38709677419355,Organic
2026-07-01T00:00:00,整体,iOS,Blur,799.0967741935484,456.48387096774195,Organic
2026-05-01T00:00:00,整体,iOS,Makeup,3126.7096774193546,1291.1935483870968,Organic
2026-08-01T00:00:00,整体,Android,Teeth,268.5,128.33333333333334,Organic
2026-05-01T00:00:00,整体,iOS,Text,296.3225806451613,17.93548387096774,Organic
2026-07-01T00:00:00,整体,Android,AI Expand,200.25806451612902,89.41935483870968,Organic
2026-06-01T00:00:00,整体,Android,Brighten,273.962962962963,139.66666666666666,Organic
2026-05-01T00:00:00,整体,Android,Glitter,302.1290322580645,44.54838709677419,Organic
2026-08-01T00:00:00,整体,iOS,Dark Circles,630.1666666666666,475.3333333333333,Organic
2026-08-01T00:00:00,整体,Android,Hair,739.6666666666666,239.5,Organic
2026-03-01T00:00:00,整体,iOS,Blur,702.6774193548387,428.19354838709677,Organic
2026-04-01T00:00:00,整体,Android,AI Tattoo,197.86666666666667,49.233333333333334,Organic
2026-06-01T00:00:00,整体,Android,AI Expand,175.25925925925927,69.11111111111111,Organic
2026-02-01T00:00:00,整体,Android,Background,585.75,70.32142857142857,Organic
2026-03-01T00:00:00,整体,Android,Collarbone,0.0,0.0,Organic
2026-01-01T00:00:00,整体,Android,Blur,496.8709677419355,235.58064516129033,Organic
2026-07-01T00:00:00,整体,iOS,Hair,2417.8064516129034,725.1290322580645,Organic
2026-08-01T00:00:00,整体,iOS,Adjust,1993.5,882.0,Organic
2026-02-01T00:00:00,整体,Android,Mykit,406.7857142857143,0.0,Organic
2026-05-01T00:00:00,整体,Android,Face Fix,366.0,86.12903225806451,Organic
2026-04-01T00:00:00,整体,Android,Relight,916.9,407.46666666666664,Organic
2026-04-01T00:00:00,整体,iOS,Whiten,0.0,0.0,Organic
2026-06-01T00:00:00,整体,Android,Stamp,136.55555555555554,26.814814814814813,Organic
2026-03-01T00:00:00,整体,Android,Relight,698.258064516129,324.8709677419355,Organic
2026-01-01T00:00:00,整体,Android,Mykit,420.9032258064516,0.0,Organic
2026-05-01T00:00:00,整体,Android,Relight,828.8387096774194,395.741935483871,Organic
2026-07-01T00:00:00,整体,iOS,Face Fix,979.8709677419355,149.48387096774192,Organic
2026-07-01T00:00:00,整体,iOS,Teeth,1003.7096774193549,661.483870967742,Organic
2026-06-01T00:00:00,整体,iOS,Crop,807.7777777777778,562.5555555555555,Organic
2026-08-01T00:00:00,整体,Android,Effects,429.6666666666667,15.333333333333334,Organic
2026-04-01T00:00:00,整体,iOS,Filters,4809.133333333333,957.5666666666667,Organic
2026-08-01T00:00:00,整体,iOS,Filters,8082.5,2123.1666666666665,Organic
2026-07-01T00:00:00,整体,iOS,AI Image,1121.3225806451612,225.6451612903226,Organic
2026-07-01T00:00:00,整体,iOS,Mykit,558.6451612903226,0.0,Organic
2026-03-01T00:00:00,整体,iOS,Concealer,991.9032258064516,454.3225806451613,Organic
2026-08-01T00:00:00,整体,Android,Crop,421.0,313.3333333333333,Organic
2026-02-01T00:00:00,整体,Android,AI Retouch,1367.5,608.7142857142857,Organic
2026-03-01T00:00:00,整体,Android,Eye Brighten,151.74193548387098,97.93548387096774,Organic
2026-04-01T00:00:00,整体,iOS,Contour,413.23333333333335,211.5,Organic
2026-02-01T00:00:00,整体,iOS,Adjust,1298.8214285714287,528.75,Organic
2026-04-01T00:00:00,整体,iOS,Flawless,0.0,0.0,Organic
2026-06-01T00:00:00,整体,Android,Muscle,213.25925925925927,57.0,Organic
2026-06-01T00:00:00,整体,Android,Effects,512.5555555555555,19.85185185185185,Organic
2026-04-01T00:00:00,整体,iOS,AI Repair,737.6333333333333,252.76666666666668,Organic
2026-08-01T00:00:00,整体,iOS,Plump,877.8333333333334,257.8333333333333,Organic
2026-03-01T00:00:00,整体,iOS,Resize,816.8064516129032,380.96774193548384,Organic
2026-05-01T00:00:00,整体,iOS,Relight,3845.1290322580644,1801.0645161290322,Organic
2026-06-01T00:00:00,整体,iOS,Effects,2170.962962962963,29.11111111111111,Organic
2026-01-01T00:00:00,整体,iOS,Eye Brighten,523.7741935483871,357.96774193548384,Organic
2026-06-01T00:00:00,整体,Android,Preset,509.037037037037,47.18518518518518,Organic
2026-08-01T00:00:00,整体,Android,Filters,1981.8333333333333,596.1666666666666,Organic
2026-05-01T00:00:00,整体,iOS,Prism,184.16129032258064,52.87096774193548,Organic
2026-05-01T00:00:00,整体,iOS,AI Image,1625.7096774193549,290.2258064516129,Organic
2026-08-01T00:00:00,整体,iOS,Crop,922.8333333333334,645.1666666666666,Organic
2026-07-01T00:00:00,整体,iOS,Skin Tone,1476.225806451613,949.3225806451613,Organic
2026-07-01T00:00:00,整体,iOS,Relight,5597.8387096774195,3107.967741935484,Organic
2026-02-01T00:00:00,整体,Android,Dark Circles,213.25,133.60714285714286,Organic
2026-08-01T00:00:00,整体,iOS,Effects,1514.0,22.0,Organic
2026-05-01T00:00:00,整体,Android,Collarbone,0.0,0.0,Organic
2026-02-01T00:00:00,整体,iOS,Hair,2025.5357142857142,568.4642857142857,Organic
2026-02-01T00:00:00,整体,Android,Adjust,735.3928571428571,359.75,Organic
2026-08-01T00:00:00,整体,Android,AI Repair,553.3333333333334,250.83333333333334,Organic
2026-02-01T00:00:00,整体,Android,Glowup,444.42857142857144,123.28571428571429,Organic
2026-02-01T00:00:00,整体,Android,Relight,608.75,275.07142857142856,Organic
