月份,市场,平台,功能,进入渗透率,渠道/自然
2026-06-01T00:00:00,整体,iOS,Hair,0.14640974890707237,Organic
2026-07-01T00:00:00,整体,Android,Prism,0.018362556994408558,Organic
2026-07-01T00:00:00,整体,iOS,Makeup,0.15189488913144583,Organic
2026-03-01T00:00:00,整体,Android,Face Fix,0.05819238595879392,Organic
2026-06-01T00:00:00,整体,Android,Details,0.021124353561894255,Organic
2026-02-01T00:00:00,整体,Android,Plump,0.041977283236483746,Organic
2026-02-01T00:00:00,整体,iOS,Smooth,0.18647812871239489,Organic
2026-04-01T00:00:00,整体,iOS,Glowup,0.08553922852737082,Organic
2026-06-01T00:00:00,整体,iOS,Makeup,0.1486561171469763,Organic
2026-05-01T00:00:00,整体,iOS,Details,0.023060706276431503,Organic
2026-01-01T00:00:00,整体,iOS,Eye Brighten,0.03319878067438881,Organic
2026-07-01T00:00:00,整体,Android,Text,0.03304092076015824,Organic
2026-03-01T00:00:00,整体,iOS,Contour,0.026217188312204747,Organic
2026-07-01T00:00:00,整体,Android,Effects,0.06853478820215471,Organic
2026-04-01T00:00:00,整体,iOS,Dark Circles,0.04755563468557832,Organic
2026-07-01T00:00:00,整体,iOS,Background,0.050145636222992424,Organic
2026-07-01T00:00:00,整体,iOS,Adjust,0.09236070684677353,Organic
2026-05-01T00:00:00,整体,iOS,AI Retouch,0.27298825610729094,Organic
2026-04-01T00:00:00,整体,iOS,Muscle,0.02632836877928866,Organic
2026-04-01T00:00:00,整体,Android,Plump,0.04004332790233405,Organic
2026-02-01T00:00:00,整体,iOS,Details,0.026354660787198576,Organic
2026-04-01T00:00:00,整体,Android,Blur,0.07068848630627769,Organic
2026-07-01T00:00:00,整体,Android,AI Repair,0.07985554646757115,Organic
2026-01-01T00:00:00,整体,iOS,Resize,0.05952148799944181,Organic
2026-03-01T00:00:00,整体,iOS,Glowup,0.08530840373250696,Organic
2026-07-01T00:00:00,整体,Android,Adjust,0.10130305379770768,Organic
2026-06-01T00:00:00,整体,Android,Matte,0.02081081460352824,Organic
2026-06-01T00:00:00,整体,iOS,Body,0.10090960456257239,Organic
2026-01-01T00:00:00,整体,Android,Contour,0.01781451878403297,Organic
2026-01-01T00:00:00,整体,iOS,Contour,0.026081079756635966,Organic
2026-05-01T00:00:00,整体,iOS,Face Fix,0.057314605077424516,Organic
2026-05-01T00:00:00,整体,Android,Face,0.24505037438292018,Organic
2026-05-01T00:00:00,整体,iOS,Teeth,0.05890253715279756,Organic
2026-03-01T00:00:00,整体,iOS,Concealer,0.07099085350235092,Organic
2026-04-01T00:00:00,整体,Android,Bokeh,0.0577882646566767,Organic
2026-03-01T00:00:00,整体,iOS,Relight,0.10140931471259895,Organic
2026-06-01T00:00:00,整体,iOS,AI Repair,0.057290078625650095,Organic
2026-05-01T00:00:00,整体,Android,Expression,0.04227228153476606,Organic
2026-03-01T00:00:00,整体,iOS,Background,0.05214309564495578,Organic
2026-01-01T00:00:00,整体,iOS,Glitter,0.0261507472620861,Organic
2026-01-01T00:00:00,整体,Android,Relight,0.0761922273802383,Organic
2026-05-01T00:00:00,整体,iOS,Eraser,0.10664765959316513,Organic
2026-02-01T00:00:00,整体,iOS,Eye Brighten,0.03351879664333069,Organic
2026-06-01T00:00:00,整体,Android,Preset,0.08300025553147862,Organic
2026-04-01T00:00:00,整体,Android,Smooth,0.11510025698857711,Organic
2026-05-01T00:00:00,整体,iOS,AI Expand,0.016360411272226434,Organic
2026-04-01T00:00:00,整体,Android,Stamp,0.024128978853537635,Organic
2026-07-01T00:00:00,整体,iOS,Effects,0.0804069549248302,Organic
2026-07-01T00:00:00,整体,iOS,Text,0.013828406523610818,Organic
2026-01-01T00:00:00,整体,Android,Prism,0.01645039320463986,Organic
2026-04-01T00:00:00,整体,iOS,Magic,0.2882476998767149,Organic
2026-04-01T00:00:00,整体,Android,Filters,0.2853305013617663,Organic
2026-07-01T00:00:00,整体,Android,Filters,0.3040198504522754,Organic
2026-05-01T00:00:00,整体,iOS,AI Tattoo,0.02335644580586266,Organic
2026-02-01T00:00:00,整体,Android,Mykit,0.061480181528016695,Organic
2026-03-01T00:00:00,整体,Android,Dark Circles,0.03295929998098864,Organic
2026-06-01T00:00:00,整体,iOS,AI Retouch,0.24690104025435355,Organic
2026-06-01T00:00:00,整体,Android,AI Image,0.11055624409455025,Organic
2026-05-01T00:00:00,整体,Android,Background,0.0792858953385193,Organic
2026-05-01T00:00:00,整体,iOS,Effects,0.09420047135617851,Organic
2026-04-01T00:00:00,整体,Android,Dark Circles,0.03302200271592957,Organic
2026-01-01T00:00:00,整体,iOS,Relight,0.09971005250467975,Organic
2026-05-01T00:00:00,整体,Android,Makeup,0.1467655884105555,Organic
2026-04-01T00:00:00,整体,iOS,Smooth,0.17895109297740205,Organic
2026-06-01T00:00:00,整体,iOS,Concealer,0.05471588142073917,Organic
2026-05-01T00:00:00,整体,Android,Effects,0.08795693503182228,Organic
2026-05-01T00:00:00,整体,iOS,Muscle,0.024538676085060638,Organic
2026-04-01T00:00:00,整体,iOS,AI Image,0.06824583525267833,Organic
2026-05-01T00:00:00,整体,iOS,Text,0.015769524423275155,Organic
2026-02-01T00:00:00,整体,Android,Eye Brighten,0.02335209785818764,Organic
2026-04-01T00:00:00,整体,Android,Magic,0.24744536991106844,Organic
2026-04-01T00:00:00,整体,iOS,Bokeh,0.020448816616916093,Organic
2026-05-01T00:00:00,整体,Android,Text,0.03583867423964714,Organic
2026-02-01T00:00:00,整体,Android,Body,0.05817359002876819,Organic
2026-06-01T00:00:00,整体,iOS,AI Replace,0.012136826858527187,Organic
2026-06-01T00:00:00,整体,iOS,AI Image,0.08282712202587812,Organic
2026-01-01T00:00:00,整体,Android,Makeup,0.1246220428253956,Organic
2026-06-01T00:00:00,整体,iOS,Prism,0.008968663614002373,Organic
2026-07-01T00:00:00,整体,iOS,Prism,0.00954536777097189,Organic
2026-04-01T00:00:00,整体,iOS,Background,0.05600408528512439,Organic
2026-06-01T00:00:00,整体,iOS,Adjust,0.08806852645892829,Organic
2026-04-01T00:00:00,整体,Android,Contour,0.020818882184607996,Organic
2026-05-01T00:00:00,整体,Android,AI Replace,0.029904712903892565,Organic
2026-07-01T00:00:00,整体,Android,AI Image,0.08875985929069541,Organic
2026-07-01T00:00:00,整体,Android,Acne,0.06631521281549756,Organic
2026-05-01T00:00:00,整体,Android,Blur,0.06569635145727741,Organic
2026-05-01T00:00:00,整体,iOS,Expression,0.03432987584981618,Organic
2026-02-01T00:00:00,整体,Android,Teeth,0.045907395775060124,Organic
2026-05-01T00:00:00,整体,iOS,Crop,0.041931649408644175,Organic
2026-06-01T00:00:00,整体,Android,Hair,0.19769324886707393,Organic
2026-02-01T00:00:00,整体,iOS,Face Fix,0.061877308222195594,Organic
2026-02-01T00:00:00,整体,Android,Skin Tone,0.06613387784067475,Organic
2026-07-01T00:00:00,整体,iOS,Preset,0.060669123013834036,Organic
2026-01-01T00:00:00,整体,iOS,Makeup,0.1684721021445162,Organic
2026-03-01T00:00:00,整体,iOS,Effects,0.06206596482801887,Organic
2026-01-01T00:00:00,整体,Android,Reshape,0.08174817933749408,Organic
2026-01-01T00:00:00,整体,Android,Hair,0.1807494691420441,Organic
2026-01-01T00:00:00,整体,iOS,Skin Tone,0.0937252227621366,Organic
2026-06-01T00:00:00,整体,iOS,Reshape,0.12035190628977561,Organic
2026-01-01T00:00:00,整体,iOS,Filters,0.2518089459945522,Organic
2026-03-01T00:00:00,整体,Android,Blur,0.0774876733907971,Organic
2026-01-01T00:00:00,整体,Android,Concealer,0.045136391193826106,Organic
2026-05-01T00:00:00,整体,iOS,Preset,0.07644043857859076,Organic
2026-01-01T00:00:00,整体,Android,Resize,0.030675474060527987,Organic
2026-06-01T00:00:00,整体,Android,Concealer,0.054869453252023796,Organic
2026-06-01T00:00:00,整体,Android,AI Tattoo,0.029318662605201367,Organic
2026-01-01T00:00:00,整体,Android,Filters,0.23560296633694158,Organic
2026-07-01T00:00:00,整体,Android,Details,0.018851470534855242,Organic
2026-03-01T00:00:00,整体,Android,Background,0.08960684629911979,Organic
2026-03-01T00:00:00,整体,Android,Crop,0.071317810340301,Organic
2026-07-01T00:00:00,整体,iOS,Glitter,0.026473617529479868,Organic
2026-05-01T00:00:00,整体,Android,AI Expand,0.031707391491434,Organic
2026-02-01T00:00:00,整体,Android,Matte,0.01903779811153589,Organic
2026-05-01T00:00:00,整体,Android,Crop,0.06983068988672128,Organic
2026-06-01T00:00:00,整体,iOS,Bokeh,0.015514468829262797,Organic
2026-03-01T00:00:00,整体,iOS,Crop,0.04809682242964418,Organic
2026-01-01T00:00:00,整体,Android,Stamp,0.01924943519436036,Organic
2026-03-01T00:00:00,整体,Android,Text,0.042015965473406525,Organic
2026-06-01T00:00:00,整体,iOS,Filters,0.35330731239134894,Organic
2026-01-01T00:00:00,整体,Android,Bokeh,0.04760879954758487,Organic
2026-07-01T00:00:00,整体,Android,Preset,0.06538968034467413,Organic
2026-07-01T00:00:00,整体,Android,Reshape,0.09452339865711712,Organic
2026-07-01T00:00:00,整体,iOS,AI Repair,0.05444848858482678,Organic
2026-07-01T00:00:00,整体,Android,Concealer,0.0465089156229355,Organic
2026-02-01T00:00:00,整体,iOS,Background,0.0523632834728683,Organic
2026-03-01T00:00:00,整体,iOS,Smooth,0.18661944886435877,Organic
2026-02-01T00:00:00,整体,iOS,Plump,0.05792340226363463,Organic
2026-04-01T00:00:00,整体,iOS,Face,0.3234087677124115,Organic
2026-02-01T00:00:00,整体,Android,Stamp,0.025847151163034644,Organic
2026-03-01T00:00:00,整体,Android,Plump,0.04171284624853526,Organic
2026-04-01T00:00:00,整体,iOS,AI Expand,0.022917145239003976,Organic
2026-06-01T00:00:00,整体,Android,Bokeh,0.044422864595745674,Organic
2026-03-01T00:00:00,整体,iOS,Face,0.32960035447317854,Organic
2026-05-01T00:00:00,整体,iOS,AI Replace,0.013299786388853534,Organic
2026-05-01T00:00:00,整体,iOS,Glitter,0.029821166506518088,Organic
