日期,市场,平台,活跃人数,渠道/自然
2026-01-02T00:00:00,整体,iOS,29165.0,Organic
2026-01-26T00:00:00,整体,Android,6739.0,Organic
2026-05-29T00:00:00,整体,iOS,21269.0,Organic
2026-06-15T00:00:00,整体,Android,6146.0,Organic
2026-04-21T00:00:00,整体,iOS,14474.0,Organic
2026-07-12T00:00:00,整体,Android,7659.0,Organic
2026-03-16T00:00:00,整体,iOS,15694.0,Organic
2026-05-18T00:00:00,整体,Android,7431.0,Organic
2026-07-16T00:00:00,整体,Android,5416.0,Organic
2026-02-04T00:00:00,整体,iOS,12324.0,Organic
2026-06-20T00:00:00,整体,Android,5664.0,Organic
2026-04-05T00:00:00,整体,iOS,18023.0,Organic
2026-04-11T00:00:00,整体,Android,7295.0,Organic
2026-06-02T00:00:00,整体,Android,5792.0,Organic
2026-05-05T00:00:00,整体,iOS,16213.0,Organic
2026-03-15T00:00:00,整体,iOS,16666.0,Organic
2026-05-29T00:00:00,整体,Android,6657.0,Organic
2026-06-25T00:00:00,整体,Android,5636.0,Organic
2026-01-25T00:00:00,整体,Android,7039.0,Organic
2026-04-11T00:00:00,整体,iOS,14073.0,Organic
2026-07-15T00:00:00,整体,iOS,17566.0,Organic
2026-02-12T00:00:00,整体,Android,6709.0,Organic
2026-07-07T00:00:00,整体,iOS,17629.0,Organic
2026-07-14T00:00:00,整体,iOS,19097.0,Organic
2026-02-06T00:00:00,整体,Android,6145.0,Organic
2026-01-20T00:00:00,整体,iOS,13629.0,Organic
2026-03-11T00:00:00,整体,iOS,11968.0,Organic
2026-06-13T00:00:00,整体,iOS,22243.0,Organic
2026-03-20T00:00:00,整体,iOS,13373.0,Organic
2026-03-17T00:00:00,整体,iOS,12655.0,Organic
2026-06-11T00:00:00,整体,Android,5572.0,Organic
2026-03-30T00:00:00,整体,Android,6373.0,Organic
2026-04-28T00:00:00,整体,Android,6301.0,Organic
2026-01-24T00:00:00,整体,iOS,14225.0,Organic
2026-07-28T00:00:00,整体,iOS,20116.0,Organic
2026-03-29T00:00:00,整体,iOS,16490.0,Organic
2026-02-12T00:00:00,整体,iOS,12223.0,Organic
2026-06-23T00:00:00,整体,iOS,17912.0,Organic
2026-01-22T00:00:00,整体,Android,6355.0,Organic
2026-02-22T00:00:00,整体,Android,6324.0,Organic
2026-07-02T00:00:00,整体,Android,10121.0,Organic
2026-01-03T00:00:00,整体,iOS,20901.0,Organic
2026-07-17T00:00:00,整体,iOS,17837.0,Organic
2026-01-24T00:00:00,整体,Android,6975.0,Organic
2026-03-19T00:00:00,整体,Android,5032.0,Organic
2026-02-15T00:00:00,整体,iOS,19253.0,Organic
2026-04-30T00:00:00,整体,Android,5920.0,Organic
2026-06-28T00:00:00,整体,Android,8887.0,Organic
2026-04-14T00:00:00,整体,iOS,14364.0,Organic
