月份,市场,平台,活跃人数,渠道/自然
2026-07-01T00:00:00,整体,iOS,19599.0,Organic
2026-02-01T00:00:00,整体,iOS,13886.607142857143,Organic
2026-03-01T00:00:00,整体,Android,6246.193548387097,Organic
2026-08-01T00:00:00,整体,Android,6169.333333333333,Organic
2026-05-01T00:00:00,整体,iOS,18838.774193548386,Organic
2026-07-01T00:00:00,整体,Android,7143.1612903225805,Organic
2026-03-01T00:00:00,整体,iOS,13913.741935483871,Organic
2026-04-01T00:00:00,整体,iOS,16087.566666666668,Organic
2026-08-01T00:00:00,整体,iOS,21761.0,Organic
2026-05-01T00:00:00,整体,Android,6672.451612903225,Organic
2026-01-01T00:00:00,整体,iOS,15920.09677419355,Organic
2026-06-01T00:00:00,整体,iOS,20280.5,Organic
2026-01-01T00:00:00,整体,Android,9377.838709677419,Organic
2026-06-01T00:00:00,整体,Android,6184.233333333334,Organic
2026-04-01T00:00:00,整体,Android,6607.5,Organic
2026-02-01T00:00:00,整体,Android,6586.071428571428,Organic
2026-08-01T00:00:00,美国,Android,312.6666666666667,Organic
2026-05-01T00:00:00,英国,Android,104.3225806451613,Organic
2026-04-01T00:00:00,英国,Android,158.63333333333333,Organic
2026-05-01T00:00:00,巴西,Android,1718.516129032258,Organic
2026-05-01T00:00:00,墨西哥,Android,253.51612903225808,Organic
2026-04-01T00:00:00,巴西,Android,1959.2666666666667,Organic
2026-06-01T00:00:00,墨西哥,iOS,208.06666666666666,Organic
2026-01-01T00:00:00,墨西哥,Android,439.51612903225805,Organic
2026-08-01T00:00:00,巴西,iOS,4862.166666666667,Organic
2026-01-01T00:00:00,美国,Android,301.35483870967744,Organic
2026-06-01T00:00:00,美国,Android,447.6,Organic
2026-03-01T00:00:00,美国,iOS,2591.0967741935483,Organic
2026-03-01T00:00:00,墨西哥,iOS,214.09677419354838,Organic
2026-06-01T00:00:00,巴西,Android,1593.2333333333333,Organic
2026-05-01T00:00:00,美国,Android,316.0967741935484,Organic
2026-08-01T00:00:00,英国,Android,108.33333333333333,Organic
2026-04-01T00:00:00,美国,Android,306.6333333333333,Organic
2026-07-01T00:00:00,英国,Android,120.61290322580645,Organic
2026-05-01T00:00:00,美国,iOS,3457.032258064516,Organic
2026-06-01T00:00:00,墨西哥,Android,210.33333333333334,Organic
2026-08-01T00:00:00,墨西哥,iOS,576.5,Organic
2026-02-01T00:00:00,英国,iOS,777.1785714285714,Organic
2026-07-01T00:00:00,墨西哥,Android,212.6451612903226,Organic
2026-03-01T00:00:00,英国,iOS,729.258064516129,Organic
2026-01-01T00:00:00,英国,Android,107.38709677419355,Organic
2026-01-01T00:00:00,巴西,iOS,5051.774193548387,Organic
2026-02-01T00:00:00,英国,Android,99.10714285714286,Organic
2026-06-01T00:00:00,巴西,iOS,5092.9,Organic
2026-07-01T00:00:00,美国,Android,759.7741935483871,Organic
2026-03-01T00:00:00,墨西哥,Android,243.32258064516128,Organic
2026-04-01T00:00:00,墨西哥,Android,342.73333333333335,Organic
2026-08-01T00:00:00,美国,iOS,3596.1666666666665,Organic
2026-04-01T00:00:00,巴西,iOS,4623.966666666666,Organic
2026-02-01T00:00:00,巴西,iOS,3975.964285714286,Organic
2026-05-01T00:00:00,巴西,iOS,4817.322580645161,Organic
2026-05-01T00:00:00,墨西哥,iOS,213.93548387096774,Organic
2026-01-01T00:00:00,巴西,Android,4043.064516129032,Organic
2026-02-01T00:00:00,墨西哥,iOS,219.71428571428572,Organic
2026-01-01T00:00:00,英国,iOS,780.1290322580645,Organic
2026-02-01T00:00:00,美国,Android,260.39285714285717,Organic
2026-05-01T00:00:00,英国,iOS,1014.0322580645161,Organic
2026-04-01T00:00:00,墨西哥,iOS,308.9,Organic
2026-07-01T00:00:00,英国,iOS,1168.6451612903227,Organic
2026-01-01T00:00:00,美国,iOS,2834.3870967741937,Organic
2026-03-01T00:00:00,巴西,Android,1869.258064516129,Organic
2026-06-01T00:00:00,英国,Android,107.4,Organic
2026-04-01T00:00:00,英国,iOS,792.8,Organic
2026-06-01T00:00:00,美国,iOS,3470.4333333333334,Organic
2026-02-01T00:00:00,美国,iOS,2625.3928571428573,Organic
2026-06-01T00:00:00,英国,iOS,1200.0666666666666,Organic
2026-02-01T00:00:00,巴西,Android,2078.785714285714,Organic
2026-03-01T00:00:00,英国,Android,156.8709677419355,Organic
2026-02-01T00:00:00,墨西哥,Android,119.46428571428571,Organic
2026-01-01T00:00:00,墨西哥,iOS,253.2258064516129,Organic
2026-03-01T00:00:00,巴西,iOS,4206.870967741936,Organic
2026-08-01T00:00:00,英国,iOS,1261.3333333333333,Organic
2026-07-01T00:00:00,巴西,iOS,4495.709677419355,Organic
2026-07-01T00:00:00,墨西哥,iOS,453.5483870967742,Organic
2026-07-01T00:00:00,美国,iOS,3508.548387096774,Organic
2026-03-01T00:00:00,美国,Android,276.258064516129,Organic
2026-07-01T00:00:00,巴西,Android,1440.4516129032259,Organic
2026-08-01T00:00:00,巴西,Android,1189.8333333333333,Organic
2026-08-01T00:00:00,墨西哥,Android,170.33333333333334,Organic
2026-04-01T00:00:00,美国,iOS,2735.766666666667,Organic
2026-06-01T00:00:00,整体,Android,11421.366666666667,non-Organic
2026-02-01T00:00:00,整体,Android,15915.75,non-Organic
2026-02-01T00:00:00,整体,iOS,3114.035714285714,non-Organic
2026-08-01T00:00:00,整体,iOS,6211.0,non-Organic
2026-07-01T00:00:00,整体,iOS,4585.419354838709,non-Organic
2026-07-01T00:00:00,整体,Android,7531.709677419355,non-Organic
2026-04-01T00:00:00,整体,iOS,4173.7,non-Organic
2026-01-01T00:00:00,整体,iOS,2895.6774193548385,non-Organic
2026-05-01T00:00:00,整体,Android,11130.161290322581,non-Organic
2026-04-01T00:00:00,整体,Android,13076.1,non-Organic
2026-08-01T00:00:00,整体,Android,5042.166666666667,non-Organic
2026-05-01T00:00:00,整体,iOS,4912.677419354839,non-Organic
2026-01-01T00:00:00,整体,Android,21614.129032258064,non-Organic
2026-06-01T00:00:00,整体,iOS,6024.7,non-Organic
2026-03-01T00:00:00,整体,Android,13372.064516129032,non-Organic
2026-03-01T00:00:00,整体,iOS,4404.709677419355,non-Organic
2026-05-01T00:00:00,巴西,iOS,1036.8387096774193,non-Organic
2026-05-01T00:00:00,墨西哥,iOS,13.32258064516129,non-Organic
2026-08-01T00:00:00,美国,iOS,1403.1666666666667,non-Organic
2026-04-01T00:00:00,巴西,iOS,735.6,non-Organic
2026-05-01T00:00:00,英国,Android,12.806451612903226,non-Organic
2026-08-01T00:00:00,墨西哥,Android,499.8333333333333,non-Organic
2026-07-01T00:00:00,美国,iOS,1799.1935483870968,non-Organic
2026-05-01T00:00:00,美国,Android,314.8709677419355,non-Organic
2026-06-01T00:00:00,墨西哥,Android,920.4333333333333,non-Organic
2026-06-01T00:00:00,英国,iOS,649.8666666666667,non-Organic
2026-01-01T00:00:00,英国,iOS,289.96774193548384,non-Organic
2026-04-01T00:00:00,墨西哥,Android,2235.0,non-Organic
2026-01-01T00:00:00,墨西哥,iOS,14.129032258064516,non-Organic
2026-06-01T00:00:00,巴西,iOS,1210.4666666666667,non-Organic
2026-02-01T00:00:00,美国,iOS,1784.5,non-Organic
2026-01-01T00:00:00,英国,Android,17.225806451612904,non-Organic
2026-07-01T00:00:00,美国,Android,317.1290322580645,non-Organic
2026-08-01T00:00:00,英国,iOS,540.5,non-Organic
2026-06-01T00:00:00,英国,Android,17.233333333333334,non-Organic
2026-03-01T00:00:00,美国,iOS,1919.9354838709678,non-Organic
2026-03-01T00:00:00,巴西,Android,10415.354838709678,non-Organic
2026-02-01T00:00:00,美国,Android,329.89285714285717,non-Organic
2026-07-01T00:00:00,英国,Android,18.967741935483872,non-Organic
2026-04-01T00:00:00,巴西,Android,8336.866666666667,non-Organic
2026-07-01T00:00:00,巴西,iOS,810.3870967741935,non-Organic
2026-07-01T00:00:00,墨西哥,iOS,271.38709677419354,non-Organic
2026-03-01T00:00:00,英国,Android,52.12903225806452,non-Organic
2026-01-01T00:00:00,美国,Android,276.1290322580645,non-Organic
2026-03-01T00:00:00,美国,Android,370.16129032258067,non-Organic
2026-04-01T00:00:00,美国,iOS,1822.0,non-Organic
2026-06-01T00:00:00,巴西,Android,7799.366666666667,non-Organic
2026-08-01T00:00:00,巴西,Android,3235.6666666666665,non-Organic
2026-01-01T00:00:00,墨西哥,Android,1107.8387096774193,non-Organic
