country,platform,duration,payment_price_usd,DAU,sub_to_paid_uv,sub_to_paid_revenue,sub_to_paid_rate
Australia,IOS,1month,10.7,101273,483,5171.920000000001,0.004769
Australia,IOS,1month,10.8,127643,494,5340.49,0.00387
Australia,IOS,1month,10.9,198947,790,8607.08,0.003971
Australia,IOS,1month,11.0,184378,791,8708.77,0.00429
Australia,IOS,1month,11.1,323754,1494,16592.7,0.004615
Australia,IOS,1month,11.2,369232,1596,17891.28,0.004322
Australia,IOS,1month,11.3,419031,1881,21257.78,0.004489
Australia,IOS,1month,11.4,393690,1610,18347.620000000003,0.00409
Australia,IOS,1month,11.5,407331,1961,22560.109999999997,0.004814
Australia,IOS,1month,11.6,362901,1780,20632.850000000006,0.004905
Australia,IOS,1month,11.7,244986,1198,14010.989999999998,0.00489
Australia,IOS,1month,11.8,207015,920,10850.609999999999,0.004444
Australia,IOS,1month,11.9,125344,472,5621.3899999999994,0.003766
Australia,IOS,1month,12.0,95275,473,5673.829999999999,0.004965
Australia,IOS,1month,12.1,72590,347,4195.4100000000008,0.00478
Australia,IOS,1month,13.0,82168,283,3685.2000000000003,0.003444
Australia,IOS,1month,13.1,78946,228,2983.63,0.002888
Australia,IOS,1month,13.2,116258,326,4300.55,0.002804
Australia,IOS,1month,13.3,139911,494,6562.1100000000006,0.003531
Australia,IOS,1month,13.4,146713,554,7430.6100000000006,0.003776
Australia,IOS,1month,13.5,117146,456,6151.8600000000006,0.003893
Australia,IOS,1month,13.6,58295,228,3099.7299999999996,0.003911
Australia,IOS,1month,13.7,87217,403,5522.86,0.004621
Australia,IOS,1month,13.8,99712,428,5905.88,0.004292
Australia,IOS,1month,13.9,80255,315,4380.9000000000005,0.003925
Australia,IOS,1month,14.1,52293,231,3259.17,0.004417
Australia,IOS,annual,27.5,24153,344,9451.9700000000012,0.014243
Australia,IOS,annual,27.7,25077,338,9350.09,0.013478
Australia,IOS,annual,32.8,32158,277,9087.5399999999991,0.008614
Australia,IOS,annual,39.4,33304,270,10637.67,0.008107
Australia,IOS,annual,40.6,42545,324,13149.43,0.007615
Australia,IOS,annual,41.1,37334,227,9334.95,0.00608
Australia,IOS,annual,41.7,36872,231,9634.15,0.006265
Australia,IOS,annual,41.8,95553,704,29419.870000000003,0.007368
Australia,IOS,annual,41.9,61337,359,15041.99,0.005853
Australia,IOS,annual,42.0,41625,220,9240.32,0.005285
Australia,IOS,annual,42.1,52805,283,11920.380000000001,0.005359
Australia,IOS,annual,42.2,67252,391,16497.010000000002,0.005814
Australia,IOS,annual,42.3,59920,383,16204.73,0.006392
Australia,IOS,annual,42.4,58391,359,15218.77,0.006148
Australia,IOS,annual,42.5,92750,517,21970.309999999998,0.005574
Australia,IOS,annual,42.6,65144,402,17126.309999999998,0.006171
Australia,IOS,annual,42.7,40713,234,9990.7200000000012,0.005748
Australia,IOS,annual,42.9,62078,355,15232.640000000001,0.005719
Australia,IOS,annual,43.1,67307,368,15867.739999999998,0.005467
