功能,使用人数,使用占比,付费人数,付费率
Face,63553,31.06%,10341,16.27%
Skin,63285,30.92%,11186,17.68%
Magic,50905,24.88%,8977,17.63%
AI Retouch,46812,22.88%,7849,16.77%
Filters,34121,16.67%,5820,17.06%
Reshape,32153,15.71%,5762,17.92%
Makeup,31633,15.46%,5306,16.77%
Body,31373,15.33%,5259,16.76%
Hair,27981,13.67%,3826,13.67%
Relight,27192,13.29%,4577,16.83%
Eraser,26239,12.82%,4039,15.39%
Glowup,17520,8.56%,2936,16.76%
Crop,13568,6.63%,2278,16.79%
Adjust,13562,6.63%,2337,17.23%
AI Repair,12456,6.09%,1798,14.43%
Plump,10316,5.04%,1593,15.44%
