功能组合,使用人数,使用占比,付费人数,付费率
Face + Skin,31289,15.29%,5426,17.34%
Face + Magic,23633,11.55%,4213,17.83%
Magic + Skin,22690,11.09%,4198,18.50%
AI Retouch + Face,22651,11.07%,3837,16.94%
AI Retouch + Magic,21126,10.32%,3764,17.82%
AI Retouch + Skin,20547,10.04%,3611,17.57%
Face + Makeup,20149,9.85%,3425,17.00%
Makeup + Skin,18217,8.90%,3221,17.68%
Filters + Skin,15434,7.54%,2872,18.61%
Body + Face,15294,7.47%,2630,17.20%
Face + Filters,15227,7.44%,2657,17.45%
Face + Hair,14543,7.11%,2257,15.52%
Reshape + Skin,14363,7.02%,2761,19.22%
Face + Reshape,14102,6.89%,2520,17.87%
Filters + Magic,14068,6.87%,2615,18.59%
Body + Skin,13425,6.56%,2426,18.07%
Magic + Makeup,13280,6.49%,2392,18.01%
AI Retouch + Makeup,13115,6.41%,2289,17.45%
Hair + Skin,12744,6.23%,2030,15.93%
AI Retouch + Filters,12630,6.17%,2248,17.80%
Body + Magic,11102,5.43%,2018,18.18%
AI Retouch + Hair,10968,5.36%,1717,15.65%
Body + Reshape,10853,5.30%,1925,17.74%
Hair + Magic,10635,5.20%,1767,16.61%
Hair + Makeup,10620,5.19%,1619,15.24%
Glowup + Skin,10617,5.19%,1815,17.10%
Face + Glowup,10451,5.11%,1800,17.22%
