功能组合,最终付费_进入人数,最终付费_进入人数占比,最终付费_进入到打勾转化率,最终付费_打勾到保存转化率,最终未付费_进入人数,最终未付费_进入人数占比,最终未付费_进入到打勾转化率,最终未付费_打勾到保存转化率
AI Retouch + Face,11195.0,37.23%,34.27%,58.25%,58811.0,33.69%,31.98%,56.11%
AI Retouch + Magic,10577.0,35.18%,35.57%,62.89%,54745.0,31.36%,31.71%,59.90%
Face + Magic,10123.0,33.67%,41.62%,63.21%,51519.0,29.51%,37.68%,62.35%
Face + Skin,9871.0,32.83%,54.97%,71.64%,48772.0,27.94%,53.01%,69.64%
Face + Filters,9284.0,30.88%,28.62%,72.83%,49418.0,28.31%,25.43%,72.59%
Filters + Magic,9161.0,30.47%,28.54%,76.86%,49098.0,28.12%,23.32%,74.38%
AI Retouch + Filters,8807.0,29.29%,25.50%,74.20%,47075.0,26.97%,22.05%,70.48%
AI Retouch + Skin,8406.0,27.96%,42.92%,63.06%,41454.0,23.75%,40.84%,60.31%
Face + Makeup,8167.0,27.16%,41.92%,67.65%,43125.0,24.70%,38.77%,64.81%
Magic + Skin,7955.0,26.46%,52.77%,68.51%,38337.0,21.96%,48.22%,65.10%
Filters + Skin,7563.0,25.15%,37.97%,77.99%,37911.0,21.72%,33.13%,76.00%
Face + Hair,7101.0,23.62%,31.78%,55.43%,40547.0,23.23%,30.30%,54.60%
AI Retouch + Makeup,6893.0,22.93%,33.21%,62.60%,35929.0,20.58%,30.13%,57.03%
Filters + Hair,6732.0,22.39%,19.58%,63.05%,40672.0,23.30%,17.23%,59.90%
Makeup + Skin,6588.0,21.91%,48.88%,72.06%,33027.0,18.92%,45.40%,68.66%
Magic + Makeup,6463.0,21.50%,37.01%,67.64%,32880.0,18.83%,33.10%,62.10%
AI Retouch + Hair,6402.0,21.29%,26.79%,56.79%,36645.0,20.99%,25.24%,54.22%
Hair + Magic,6280.0,20.89%,28.12%,55.12%,34965.0,20.03%,25.35%,55.11%
Filters + Makeup,6043.0,20.10%,27.35%,74.95%,32156.0,18.42%,24.03%,71.24%
Filters + Relight,5963.0,19.83%,29.48%,77.53%,32144.0,18.41%,25.35%,75.01%
Hair + Skin,5700.0,18.96%,35.61%,61.08%,30594.0,17.52%,35.01%,57.05%
Face + Glowup,5427.0,18.05%,33.17%,67.00%,29491.0,16.89%,29.32%,62.85%
Face + Reshape,5193.0,17.27%,48.53%,72.26%,24901.0,14.26%,46.49%,71.21%
Hair + Makeup,5063.0,16.84%,31.98%,61.09%,28036.0,16.06%,32.09%,59.12%
Magic + Relight,4923.0,16.37%,33.11%,66.56%,25606.0,14.67%,27.56%,63.43%
Glowup + Magic,4902.0,16.30%,31.60%,65.16%,25930.0,14.85%,27.28%,63.50%
AI Retouch + Glowup,4871.0,16.20%,27.63%,64.34%,26595.0,15.23%,25.57%,59.35%
Face + Relight,4717.0,15.69%,35.19%,65.24%,24311.0,13.93%,32.32%,61.74%
Effects + Filters,4652.0,15.47%,2.39%,65.77%,25462.0,14.59%,2.17%,68.35%
Magic + Reshape,4648.0,15.46%,37.76%,65.49%,21826.0,12.50%,34.26%,64.52%
Filters + Glowup,4618.0,15.36%,23.69%,73.63%,25402.0,14.55%,19.82%,70.59%
AI Retouch + Relight,4584.0,15.25%,31.26%,62.55%,23608.0,13.52%,27.91%,59.51%
Filters + Reshape,4580.0,15.23%,28.91%,76.74%,22728.0,13.02%,25.64%,74.84%
Glowup + Skin,4555.0,15.15%,39.80%,69.64%,23418.0,13.41%,37.57%,65.85%
AI Retouch + Reshape,4547.0,15.12%,30.17%,59.46%,21813.0,12.49%,29.28%,58.23%
Body + Face,4533.0,15.08%,57.97%,76.58%,23021.0,13.19%,54.99%,73.38%
Face + Face Fix,4527.0,15.06%,16.50%,9.77%,24190.0,13.86%,15.67%,11.02%
Reshape + Skin,4379.0,14.56%,63.05%,77.91%,19769.0,11.32%,58.67%,75.32%
Body + Magic,4259.0,14.17%,47.36%,71.56%,20895.0,11.97%,43.46%,70.06%
Body + Filters,4237.0,14.09%,34.58%,80.61%,22200.0,12.72%,31.32%,79.63%
AI Retouch + Body,4102.0,13.64%,41.74%,68.96%,20229.0,11.59%,39.07%,64.84%
AI Retouch + Face Fix,4012.0,13.34%,14.83%,8.40%,21233.0,12.16%,13.05%,9.64%
Effects + Magic,3925.0,13.05%,2.50%,63.27%,20431.0,11.70%,2.38%,61.19%
Relight + Skin,3922.0,13.04%,45.64%,69.79%,19302.0,11.06%,41.36%,66.85%
Glowup + Makeup,3921.0,13.04%,30.02%,67.83%,20738.0,11.88%,27.94%,62.94%
Filters + Preset,3904.0,12.98%,6.61%,72.09%,22908.0,13.12%,5.47%,71.85%
Eraser + Filters,3887.0,12.93%,27.37%,79.44%,20874.0,11.96%,23.74%,77.80%
Adjust + Filters,3879.0,12.90%,27.30%,76.86%,19782.0,11.33%,25.07%,75.49%
Face Fix + Magic,3844.0,12.79%,17.43%,10.75%,19843.0,11.37%,14.94%,9.98%
Eraser + Magic,3829.0,12.74%,33.61%,69.00%,20280.0,11.62%,28.90%,66.96%
Body + Skin,3772.0,12.55%,64.32%,74.48%,17983.0,10.30%,61.14%,72.45%
Glowup + Hair,3754.0,12.49%,24.19%,58.92%,21693.0,12.43%,21.93%,55.04%
Body + Reshape,3752.0,12.48%,51.28%,70.08%,18073.0,10.35%,49.37%,68.23%
Effects + Face,3720.0,12.37%,2.26%,59.52%,18901.0,10.83%,2.17%,50.36%
AI Retouch + Effects,3678.0,12.23%,1.88%,57.97%,18774.0,10.75%,2.14%,59.20%
AI Image + Filters,3608.0,12.00%,7.87%,60.21%,24207.0,13.87%,8.18%,63.72%
Hair + Relight,3542.0,11.78%,24.68%,57.44%,20062.0,11.49%,23.45%,52.10%
Face Fix + Filters,3492.0,11.61%,10.88%,12.11%,18976.0,10.87%,9.74%,13.15%
Face Fix + Skin,3394.0,11.29%,19.00%,10.70%,17304.0,9.91%,17.00%,9.99%
Hair + Reshape,3360.0,11.18%,27.41%,55.16%,17127.0,9.81%,26.54%,53.48%
AI Image + Magic,3344.0,11.12%,8.88%,56.90%,21079.0,12.07%,9.39%,56.75%
AI Retouch + Eraser,3293.0,10.95%,28.24%,60.86%,16785.0,9.61%,26.13%,60.76%
Eraser + Face,3278.0,10.90%,38.90%,68.55%,16655.0,9.54%,36.94%,67.41%
Face + Plump,3267.0,10.87%,35.26%,63.54%,18053.0,10.34%,34.18%,59.52%
Adjust + Magic,3257.0,10.83%,28.62%,64.06%,16105.0,9.23%,25.04%,62.07%
Body + Hair,3254.0,10.82%,35.06%,60.30%,17813.0,10.20%,34.35%,57.70%
Effects + Skin,3219.0,10.71%,2.67%,60.47%,15245.0,8.73%,2.87%,57.44%
Face + Teeth,3217.0,10.70%,0.00%,nan%,13648.0,7.82%,0.01%,0.00%
Makeup + Reshape,3207.0,10.67%,38.73%,71.26%,15108.0,8.65%,36.08%,66.50%
Magic + Preset,3203.0,10.65%,8.46%,62.36%,18039.0,10.33%,7.55%,63.66%
Background + Filters,3196.0,10.63%,5.91%,74.60%,18415.0,10.55%,5.17%,71.01%
Effects + Hair,3164.0,10.52%,2.56%,61.73%,17490.0,10.02%,2.41%,55.92%
Makeup + Relight,3156.0,10.50%,33.65%,68.86%,16165.0,9.26%,30.51%,63.33%
Face + Preset,3083.0,10.25%,9.24%,58.95%,17123.0,9.81%,8.37%,58.86%
Reshape + Resize,3041.0,10.11%,39.56%,65.23%,13972.0,8.00%,35.61%,61.93%
AI Retouch + Preset,3032.0,10.08%,8.97%,62.87%,16834.0,9.64%,8.36%,61.58%
Adjust + Face,3029.0,10.07%,31.10%,63.31%,14580.0,8.35%,30.31%,63.89%
Face Fix + Makeup,3024.0,10.06%,13.36%,11.39%,15639.0,8.96%,12.35%,10.25%
AI Image + AI Retouch,3012.0,10.02%,9.03%,55.15%,18381.0,10.53%,10.18%,57.45%
AI Retouch + Adjust,3011.0,10.01%,24.28%,60.11%,14368.0,8.23%,23.67%,57.01%
AI Image + Face,2950.0,9.81%,9.73%,49.83%,18222.0,10.44%,10.96%,49.70%
Face Fix + Hair,2943.0,9.79%,12.23%,11.11%,16371.0,9.38%,11.29%,10.65%
Background + Magic,2940.0,9.78%,8.27%,68.72%,15894.0,9.10%,7.32%,64.92%
Glowup + Reshape,2919.0,9.71%,29.02%,64.55%,14502.0,8.31%,26.58%,61.67%
Adjust + Relight,2887.0,9.60%,38.41%,73.40%,14454.0,8.28%,36.16%,72.76%
Body + Makeup,2882.0,9.59%,44.17%,71.92%,14764.0,8.46%,43.02%,67.21%
AI Repair + Filters,2871.0,9.55%,24.66%,70.34%,16955.0,9.71%,20.76%,65.86%
Effects + Relight,2867.0,9.54%,2.02%,53.45%,14983.0,8.58%,2.00%,53.67%
AI Retouch + Plump,2833.0,9.42%,25.66%,57.08%,15798.0,9.05%,25.43%,50.93%
Eraser + Skin,2828.0,9.41%,52.86%,73.21%,13738.0,7.87%,50.20%,70.94%
Hair + Preset,2802.0,9.32%,6.85%,61.98%,17138.0,9.82%,6.51%,54.71%
Plump + Skin,2790.0,9.28%,39.43%,64.27%,14981.0,8.58%,37.78%,60.52%
Face Fix + Glowup,2779.0,9.24%,11.77%,10.09%,15293.0,8.76%,10.85%,10.17%
Background + Face,2738.0,9.11%,7.82%,62.62%,14636.0,8.38%,7.47%,59.00%
AI Retouch + Background,2724.0,9.06%,7.97%,68.20%,14455.0,8.28%,7.12%,64.04%
Magic + Plump,2723.0,9.06%,31.11%,57.85%,14638.0,8.38%,28.85%,55.28%
AI Retouch + Teeth,2709.0,9.01%,0.00%,nan%,11868.0,6.80%,0.01%,100.00%
AI Repair + Magic,2684.0,8.93%,29.92%,63.01%,15610.0,8.94%,25.72%,56.11%
Eraser + Relight,2682.0,8.92%,38.52%,72.70%,14399.0,8.25%,36.18%,70.53%
Skin + Teeth,2678.0,8.91%,0.00%,nan%,10917.0,6.25%,0.01%,100.00%
Adjust + Skin,2664.0,8.86%,41.18%,70.58%,12224.0,7.00%,40.12%,68.73%
Expression + Face,2660.0,8.85%,24.51%,37.27%,15653.0,8.97%,22.00%,34.12%
