三级来源,用户数,占比,付费人数,付费转化率,留存率,使用该三级功能比例,除该三级功能还使用其他功能比例,仅使用来源功能占比,仅使用来源功能付费率,仅使用来源功能留存率,还使用其他功能占比,还使用其他功能付费率,还使用其他功能留存率,试用其他来源功能比仅使用来源功能留存率提升,AI Expand,AI Image,AI Repair,AI Replace,AI Retouch,AI Tattoo,Adjust,Background,Blur,Body,Bokeh,Crop,Effects,Eraser,Expression,Face,Face Fix,Filters,Glitter,Glowup,Hair,Magic,Makeup,Muscle,Plump,Preset,Prism,Relight,Reshape,Resize,Skin,Stamp,Stretch,Text
Face,16422.0,12.42%,3342.0,20.35%,28.11%,99.68%,83.52%,16.16%,17.53%,19.37%,83.52%,20.89%,29.82%,10.44%,1.17%,0.72%,2.17%,0.71%,11.37%,0.35%,7.51%,0.68%,3.59%,15.38%,0.69%,6.87%,0.08%,6.39%,2.48%,99.68%,2.75%,14.08%,0.52%,6.76%,10.41%,23.35%,24.00%,1.25%,6.84%,0.79%,0.29%,6.98%,24.49%,6.34%,49.19%,0.27%,3.51%,0.07%
无三级,15761.0,11.92%,3236.0,20.53%,34.96%,-,-,-,-,-,-,-,-,-,2.44%,6.24%,6.34%,2.48%,15.60%,0.65%,10.49%,1.19%,4.90%,14.69%,1.45%,10.66%,0.20%,17.06%,1.87%,27.83%,1.85%,17.45%,0.76%,6.24%,9.64%,24.54%,16.75%,2.02%,4.29%,1.41%,0.62%,14.36%,24.41%,6.65%,43.61%,0.84%,3.50%,0.29%
Eraser,13327.0,10.08%,2367.0,17.76%,25.38%,98.51%,64.90%,33.61%,16.12%,16.30%,64.90%,18.82%,30.18%,13.88%,2.66%,0.83%,5.86%,2.25%,4.71%,0.36%,10.89%,1.04%,8.90%,8.34%,1.38%,11.93%,0.11%,98.51%,0.70%,10.05%,0.85%,12.41%,0.28%,2.28%,4.28%,16.85%,7.90%,0.92%,1.47%,0.46%,0.57%,11.16%,15.95%,3.93%,26.01%,1.07%,2.17%,0.68%
Onboarding,11294.0,8.54%,1571.0,13.91%,28.57%,-,-,-,-,-,-,-,-,-,2.50%,3.09%,6.26%,2.13%,21.14%,0.84%,7.92%,1.43%,4.41%,16.08%,1.04%,7.51%,0.41%,13.48%,2.67%,32.01%,3.70%,17.25%,1.06%,8.38%,12.78%,27.02%,17.29%,2.17%,5.53%,1.56%,0.66%,13.86%,19.59%,5.74%,36.67%,0.73%,3.08%,0.20%
Reshape,10813.0,8.18%,2757.0,25.50%,26.75%,99.73%,78.10%,21.63%,22.92%,18.60%,78.10%,26.20%,28.94%,10.34%,0.77%,0.39%,1.83%,0.68%,5.41%,0.24%,6.50%,0.22%,4.67%,15.89%,0.58%,6.57%,0.04%,7.35%,0.82%,20.94%,1.19%,11.15%,0.36%,4.97%,4.94%,16.66%,10.11%,1.05%,2.51%,0.60%,0.18%,6.00%,99.73%,11.80%,48.11%,0.38%,6.12%,0.05%
AI Retouch,10332.0,7.82%,2182.0,21.12%,32.80%,97.16%,82.09%,15.07%,21.45%,25.95%,82.09%,21.35%,34.24%,8.29%,1.17%,1.59%,3.86%,0.90%,97.16%,0.40%,8.78%,1.16%,4.07%,12.95%,0.98%,8.78%,0.27%,7.05%,2.12%,30.55%,2.75%,20.27%,0.59%,8.01%,12.48%,37.32%,22.50%,1.29%,5.47%,1.95%,0.34%,10.78%,16.98%,4.28%,37.36%,0.27%,2.66%,0.15%
Skin,9323.0,7.05%,2012.0,21.58%,28.98%,99.95%,66.38%,33.56%,21.44%,21.80%,66.38%,21.64%,32.61%,10.81%,0.83%,0.57%,2.32%,0.76%,6.38%,0.35%,8.17%,0.78%,4.20%,6.97%,0.94%,7.36%,0.08%,5.74%,1.16%,20.26%,1.20%,10.65%,0.70%,5.02%,5.68%,17.48%,17.02%,0.90%,4.23%,0.59%,0.35%,6.14%,23.13%,4.94%,99.95%,0.32%,2.17%,0.11%
Update First Launch,7907.0,5.98%,2280.0,28.84%,23.28%,-,-,-,-,-,-,-,-,-,1.62%,2.01%,5.82%,1.85%,18.95%,0.57%,7.21%,1.28%,4.27%,14.13%,1.06%,7.45%,0.24%,12.12%,1.88%,30.67%,3.12%,16.19%,0.81%,7.27%,9.65%,29.77%,14.58%,2.10%,4.57%,1.35%,0.42%,13.03%,21.50%,6.40%,38.32%,0.71%,3.41%,0.24%
Body,5648.0,4.27%,1180.0,20.89%,35.92%,98.37%,80.74%,17.63%,18.17%,28.11%,80.74%,21.54%,37.65%,9.54%,1.68%,0.97%,3.47%,1.13%,9.26%,1.36%,7.67%,0.42%,3.75%,98.37%,0.78%,9.42%,0.05%,8.69%,2.78%,23.05%,2.50%,15.58%,0.50%,5.97%,8.36%,24.54%,11.76%,6.71%,3.98%,0.76%,0.32%,9.42%,30.72%,12.43%,36.01%,0.32%,9.21%,0.04%
Relight,5153.0,3.90%,1056.0,20.49%,45.84%,88.30%,67.01%,21.29%,21.79%,38.47%,67.01%,21.43%,50.45%,11.98%,3.07%,2.46%,6.71%,1.46%,7.51%,0.39%,22.14%,0.72%,6.37%,10.87%,2.87%,14.79%,0.23%,10.44%,0.93%,14.28%,0.78%,20.86%,0.47%,4.54%,6.07%,17.23%,14.34%,0.93%,2.72%,1.92%,1.13%,88.30%,17.43%,3.53%,28.92%,0.60%,2.31%,0.21%
Filters,4906.0,3.71%,996.0,20.30%,33.86%,98.33%,85.98%,12.35%,20.46%,25.74%,85.98%,20.27%,35.02%,9.27%,1.71%,2.28%,4.91%,1.12%,10.11%,0.33%,21.24%,0.86%,8.52%,11.21%,2.14%,18.51%,0.39%,9.34%,1.04%,16.98%,1.37%,98.33%,0.53%,4.00%,7.26%,30.13%,16.49%,0.77%,2.75%,1.26%,1.14%,17.28%,20.16%,5.30%,39.48%,0.33%,2.91%,0.18%
Makeup,4026.0,3.05%,822.0,20.42%,28.66%,99.65%,87.11%,12.54%,19.01%,17.82%,87.11%,20.56%,30.23%,12.40%,1.34%,0.77%,2.76%,0.84%,11.70%,0.47%,8.57%,1.32%,3.78%,8.57%,1.12%,8.59%,0.37%,5.59%,1.89%,30.73%,1.42%,15.03%,0.79%,7.10%,14.21%,26.06%,99.65%,0.84%,5.79%,0.97%,0.35%,8.05%,20.27%,5.02%,54.87%,0.22%,2.43%,0.12%
Magic,3964.0,3.00%,923.0,23.28%,30.25%,98.79%,77.37%,21.42%,24.50%,22.85%,77.37%,23.05%,32.18%,9.33%,0.91%,0.91%,3.78%,0.91%,20.08%,0.50%,7.52%,1.03%,3.73%,14.20%,0.81%,8.17%,0.25%,6.38%,2.47%,37.03%,2.90%,16.80%,0.96%,8.38%,9.79%,98.79%,19.85%,1.19%,6.36%,1.11%,0.28%,8.63%,16.73%,5.25%,34.64%,0.23%,3.36%,0.15%
Hair,3281.0,2.48%,456.0,13.90%,33.80%,71.90%,56.81%,15.09%,11.31%,23.84%,56.81%,15.67%,40.02%,16.18%,1.95%,2.59%,3.47%,1.62%,11.64%,1.62%,7.28%,1.46%,3.60%,11.64%,1.16%,10.15%,0.30%,6.58%,3.44%,23.07%,1.98%,14.14%,0.82%,7.22%,71.90%,19.23%,28.41%,2.04%,4.94%,1.80%,0.64%,8.59%,17.98%,4.54%,33.59%,0.34%,3.02%,0.06%
AI Repair,1991.0,1.51%,336.0,16.88%,35.06%,98.14%,86.54%,11.60%,16.02%,21.65%,86.54%,16.95%,36.80%,15.15%,9.04%,3.21%,98.14%,6.88%,12.46%,0.80%,21.15%,1.46%,12.31%,11.40%,3.11%,20.89%,0.25%,15.27%,1.86%,19.49%,2.71%,21.85%,0.60%,5.83%,9.54%,27.27%,15.32%,1.41%,3.77%,1.61%,1.76%,24.31%,19.44%,4.72%,33.40%,1.61%,3.01%,0.45%
Resize,1568.0,1.19%,402.0,25.64%,26.08%,99.55%,86.35%,13.20%,22.22%,17.39%,86.35%,26.07%,27.47%,10.08%,1.08%,0.32%,3.12%,0.96%,6.38%,0.77%,6.70%,0.64%,4.21%,22.83%,0.57%,7.46%,0.26%,6.95%,1.21%,23.47%,1.98%,12.63%,0.45%,6.44%,5.23%,23.41%,11.10%,1.79%,3.64%,0.57%,0.38%,5.23%,44.77%,99.55%,46.88%,0.32%,13.71%,0.13%
Muscle,827.0,0.63%,159.0,19.23%,37.00%,95.77%,82.47%,13.30%,19.09%,31.82%,82.47%,20.09%,37.83%,6.01%,1.33%,1.57%,3.14%,1.93%,6.89%,3.26%,7.74%,0.73%,3.99%,45.34%,0.85%,9.55%,0.00%,7.62%,2.42%,13.54%,2.42%,14.15%,0.60%,3.99%,6.89%,19.35%,6.77%,95.77%,2.90%,0.60%,0.48%,8.22%,30.96%,11.61%,36.03%,0.24%,9.19%,0.24%
AI Replace,807.0,0.61%,127.0,15.74%,30.98%,97.52%,75.34%,22.18%,16.76%,24.02%,75.34%,15.79%,32.73%,8.71%,7.56%,3.35%,17.84%,97.52%,5.20%,0.50%,13.75%,3.59%,13.14%,8.80%,3.47%,15.74%,0.37%,20.57%,2.97%,10.66%,1.61%,15.86%,0.74%,2.85%,8.05%,15.74%,9.79%,0.99%,1.98%,0.99%,1.86%,12.39%,15.61%,4.21%,27.26%,3.22%,4.09%,0.74%
Adjust,781.0,0.59%,183.0,23.43%,43.28%,96.54%,84.89%,11.65%,18.68%,27.47%,84.89%,24.28%,45.25%,17.78%,3.71%,1.54%,8.45%,2.05%,8.19%,0.38%,96.54%,0.90%,11.78%,10.76%,2.69%,30.22%,0.26%,11.78%,1.54%,14.08%,2.05%,27.78%,0.38%,4.87%,5.51%,29.45%,17.67%,0.90%,3.33%,1.79%,1.28%,27.53%,19.97%,4.87%,33.55%,0.90%,4.23%,0.13%
Plump,685.0,0.52%,122.0,17.81%,29.78%,98.69%,95.47%,3.21%,4.55%,31.82%,95.47%,18.35%,30.12%,-1.70%,2.34%,1.02%,3.50%,1.61%,17.96%,0.88%,9.64%,1.17%,5.40%,12.41%,1.31%,8.91%,0.15%,9.20%,3.80%,44.09%,3.80%,15.18%,0.44%,15.33%,11.97%,31.24%,31.82%,1.17%,98.69%,1.46%,0.29%,11.53%,28.61%,6.72%,65.84%,0.44%,3.65%,0.15%
Teeth,665.0,0.50%,104.0,15.64%,32.48%,0.00%,0.00%,0.00%,-,-,0.00%,-,-,-,0.60%,0.60%,3.46%,1.50%,13.23%,0.75%,6.32%,0.75%,3.16%,12.03%,0.45%,7.67%,0.00%,5.56%,6.62%,29.32%,4.81%,14.29%,1.05%,5.26%,7.37%,29.62%,17.74%,1.95%,5.11%,1.20%,0.00%,7.37%,21.35%,7.22%,38.80%,0.45%,3.61%,0.00%
Glowup,511.0,0.39%,120.0,23.48%,34.44%,98.04%,91.59%,6.46%,24.24%,51.52%,91.59%,23.93%,33.55%,-17.97%,1.57%,2.74%,5.09%,0.98%,17.42%,1.17%,9.78%,1.17%,3.91%,23.48%,1.17%,6.65%,0.20%,7.05%,2.54%,32.49%,2.74%,20.94%,2.35%,98.04%,17.81%,32.68%,28.96%,3.72%,12.13%,3.72%,0.59%,16.05%,21.92%,6.46%,61.45%,0.39%,4.50%,0.39%
Face Fix,379.0,0.29%,53.0,13.98%,31.40%,88.39%,73.35%,15.04%,10.53%,22.81%,73.35%,15.47%,34.89%,12.09%,3.17%,2.11%,11.35%,4.75%,16.89%,1.06%,13.19%,2.64%,4.75%,18.47%,1.85%,12.66%,0.53%,12.40%,18.47%,41.16%,88.39%,19.53%,0.79%,11.87%,14.51%,23.75%,23.22%,1.32%,7.92%,2.90%,0.79%,11.87%,29.55%,7.92%,36.94%,0.79%,6.33%,0.53%
