三级来源,其他功能,使用人数,使用占比,付费人数,付费转化率,入口基准付费率,lift,留存率,入口基准留存率,留存率lift
Face,Skin,8078,49.19%,1758,21.76%,20.35%,1.41%,30.55%,28.11%,2.44%
Face,Reshape,4022,24.49%,880,21.88%,20.35%,1.53%,34.46%,28.11%,6.35%
Face,Makeup,3941,24.00%,834,21.16%,20.35%,0.81%,32.45%,28.11%,4.34%
Face,Magic,3834,23.35%,852,22.22%,20.35%,1.87%,30.93%,28.11%,2.82%
Face,Body,2525,15.38%,515,20.40%,20.35%,0.05%,36.83%,28.11%,8.72%
Face,Filters,2313,14.08%,476,20.58%,20.35%,0.23%,33.12%,28.11%,5.00%
Face,AI Retouch,1868,11.37%,386,20.66%,20.35%,0.31%,33.40%,28.11%,5.29%
Face,Hair,1710,10.41%,328,19.18%,20.35%,-1.17%,36.84%,28.11%,8.73%
Face,Adjust,1234,7.51%,253,20.50%,20.35%,0.15%,34.36%,28.11%,6.25%
Face,Relight,1146,6.98%,220,19.20%,20.35%,-1.15%,37.26%,28.11%,9.15%
Face,Crop,1129,6.87%,223,19.75%,20.35%,-0.60%,36.14%,28.11%,8.02%
Face,Plump,1123,6.84%,197,17.54%,20.35%,-2.81%,35.62%,28.11%,7.50%
Face,Glowup,1110,6.76%,206,18.56%,20.35%,-1.79%,33.78%,28.11%,5.67%
Face,Eraser,1049,6.39%,207,19.73%,20.35%,-0.62%,36.99%,28.11%,8.87%
Face,Resize,1041,6.34%,234,22.48%,20.35%,2.13%,35.45%,28.11%,7.33%
Face,Blur,590,3.59%,100,16.95%,20.35%,-3.40%,31.36%,28.11%,3.24%
Face,Stretch,576,3.51%,134,23.26%,20.35%,2.91%,35.42%,28.11%,7.30%
Face,Face Fix,452,2.75%,88,19.47%,20.35%,-0.88%,30.75%,28.11%,2.64%
Face,Expression,407,2.48%,73,17.94%,20.35%,-2.41%,29.48%,28.11%,1.37%
Face,AI Repair,356,2.17%,77,21.63%,20.35%,1.28%,35.39%,28.11%,7.28%
Face,Muscle,206,1.25%,35,16.99%,20.35%,-3.36%,38.83%,28.11%,10.72%
Face,AI Expand,192,1.17%,27,14.06%,20.35%,-6.29%,35.94%,28.11%,7.82%
Face,Preset,129,0.79%,26,20.16%,20.35%,-0.20%,37.98%,28.11%,9.87%
Face,AI Image,118,0.72%,16,13.56%,20.35%,-6.79%,42.37%,28.11%,14.26%
Face,AI Replace,116,0.71%,25,21.55%,20.35%,1.20%,38.79%,28.11%,10.68%
Face,Bokeh,114,0.69%,21,18.42%,20.35%,-1.93%,30.70%,28.11%,2.59%
Face,Background,112,0.68%,25,22.32%,20.35%,1.97%,27.68%,28.11%,-0.44%
Face,Glitter,85,0.52%,21,24.71%,20.35%,4.36%,31.76%,28.11%,3.65%
Face,AI Tattoo,58,0.35%,11,18.97%,20.35%,-1.39%,43.10%,28.11%,14.99%
Face,Prism,48,0.29%,4,8.33%,20.35%,-12.02%,31.25%,28.11%,3.14%
Face,Stamp,45,0.27%,5,11.11%,20.35%,-9.24%,51.11%,28.11%,23.00%
Face,Effects,13,0.08%,0,0.00%,20.35%,-20.35%,69.23%,28.11%,41.12%
Face,Text,11,0.07%,4,36.36%,20.35%,16.01%,27.27%,28.11%,-0.84%
无三级,Skin,6873,43.61%,1663,24.20%,20.53%,3.66%,38.08%,34.96%,3.12%
无三级,Face,4387,27.83%,916,20.88%,20.53%,0.35%,38.52%,34.96%,3.56%
无三级,Magic,3867,24.54%,870,22.50%,20.53%,1.97%,39.36%,34.96%,4.40%
无三级,Reshape,3847,24.41%,856,22.25%,20.53%,1.72%,38.60%,34.96%,3.64%
无三级,Filters,2751,17.45%,593,21.56%,20.53%,1.02%,42.31%,34.96%,7.35%
无三级,Eraser,2689,17.06%,487,18.11%,20.53%,-2.42%,34.81%,34.96%,-0.15%
无三级,Makeup,2640,16.75%,525,19.89%,20.53%,-0.65%,42.58%,34.96%,7.62%
无三级,AI Retouch,2459,15.60%,490,19.93%,20.53%,-0.60%,41.28%,34.96%,6.32%
无三级,Body,2315,14.69%,470,20.30%,20.53%,-0.23%,44.28%,34.96%,9.32%
无三级,Relight,2263,14.36%,473,20.90%,20.53%,0.37%,45.12%,34.96%,10.16%
无三级,Crop,1680,10.66%,370,22.02%,20.53%,1.49%,42.92%,34.96%,7.96%
无三级,Adjust,1654,10.49%,344,20.80%,20.53%,0.27%,45.89%,34.96%,10.93%
无三级,Hair,1519,9.64%,280,18.43%,20.53%,-2.10%,43.45%,34.96%,8.49%
无三级,Resize,1048,6.65%,251,23.95%,20.53%,3.42%,43.23%,34.96%,8.27%
无三级,AI Repair,999,6.34%,184,18.42%,20.53%,-2.11%,46.95%,34.96%,11.99%
无三级,AI Image,984,6.24%,142,14.43%,20.53%,-6.10%,44.21%,34.96%,9.25%
无三级,Glowup,983,6.24%,189,19.23%,20.53%,-1.30%,43.03%,34.96%,8.07%
无三级,Blur,773,4.90%,160,20.70%,20.53%,0.17%,37.00%,34.96%,2.04%
无三级,Plump,676,4.29%,150,22.19%,20.53%,1.66%,43.34%,34.96%,8.38%
无三级,Stretch,552,3.50%,112,20.29%,20.53%,-0.24%,42.75%,34.96%,7.79%
无三级,AI Replace,391,2.48%,81,20.72%,20.53%,0.18%,48.34%,34.96%,13.38%
无三级,AI Expand,384,2.44%,71,18.49%,20.53%,-2.04%,48.70%,34.96%,13.74%
无三级,Muscle,318,2.02%,65,20.44%,20.53%,-0.09%,47.48%,34.96%,12.52%
无三级,Expression,294,1.87%,61,20.75%,20.53%,0.22%,43.54%,34.96%,8.58%
无三级,Face Fix,292,1.85%,58,19.86%,20.53%,-0.67%,41.10%,34.96%,6.14%
无三级,Bokeh,229,1.45%,45,19.65%,20.53%,-0.88%,51.09%,34.96%,16.13%
无三级,Preset,223,1.41%,40,17.94%,20.53%,-2.59%,47.98%,34.96%,13.02%
无三级,Background,187,1.19%,35,18.72%,20.53%,-1.82%,42.78%,34.96%,7.82%
无三级,Stamp,133,0.84%,39,29.32%,20.53%,8.79%,42.11%,34.96%,7.15%
无三级,Glitter,120,0.76%,28,23.33%,20.53%,2.80%,42.50%,34.96%,7.54%
无三级,AI Tattoo,102,0.65%,8,7.84%,20.53%,-12.69%,46.08%,34.96%,11.12%
无三级,Prism,98,0.62%,15,15.31%,20.53%,-5.23%,44.90%,34.96%,9.94%
无三级,Text,45,0.29%,6,13.33%,20.53%,-7.20%,31.11%,34.96%,-3.85%
无三级,Effects,31,0.20%,2,6.45%,20.53%,-14.08%,48.39%,34.96%,13.43%
Eraser,Skin,3467,26.01%,708,20.42%,17.76%,2.66%,33.17%,25.38%,7.79%
Eraser,Magic,2245,16.85%,483,21.51%,17.76%,3.75%,32.16%,25.38%,6.78%
Eraser,Reshape,2126,15.95%,426,20.04%,17.76%,2.28%,37.11%,25.38%,11.73%
Eraser,Filters,1654,12.41%,322,19.47%,17.76%,1.71%,34.76%,25.38%,9.39%
Eraser,Crop,1590,11.93%,297,18.68%,17.76%,0.92%,33.58%,25.38%,8.21%
Eraser,Relight,1487,11.16%,282,18.96%,17.76%,1.20%,34.30%,25.38%,8.92%
Eraser,Adjust,1451,10.89%,302,20.81%,17.76%,3.05%,34.25%,25.38%,8.88%
Eraser,Face,1339,10.05%,263,19.64%,17.76%,1.88%,33.46%,25.38%,8.08%
Eraser,Blur,1186,8.90%,227,19.14%,17.76%,1.38%,26.56%,25.38%,1.18%
Eraser,Body,1111,8.34%,217,19.53%,17.76%,1.77%,38.97%,25.38%,13.60%
Eraser,Makeup,1053,7.90%,188,17.85%,17.76%,0.09%,36.28%,25.38%,10.90%
Eraser,AI Repair,781,5.86%,142,18.18%,17.76%,0.42%,36.36%,25.38%,10.99%
Eraser,AI Retouch,628,4.71%,125,19.90%,17.76%,2.14%,36.46%,25.38%,11.09%
Eraser,Hair,570,4.28%,96,16.84%,17.76%,-0.92%,37.37%,25.38%,11.99%
Eraser,Resize,524,3.93%,119,22.71%,17.76%,4.95%,40.08%,25.38%,14.70%
Eraser,AI Expand,354,2.66%,65,18.36%,17.76%,0.60%,39.27%,25.38%,13.89%
Eraser,Glowup,304,2.28%,70,23.03%,17.76%,5.27%,32.24%,25.38%,6.86%
Eraser,AI Replace,300,2.25%,55,18.33%,17.76%,0.57%,34.00%,25.38%,8.62%
Eraser,Stretch,289,2.17%,51,17.65%,17.76%,-0.11%,34.60%,25.38%,9.23%
Eraser,Plump,196,1.47%,38,19.39%,17.76%,1.63%,37.24%,25.38%,11.87%
Eraser,Bokeh,184,1.38%,39,21.20%,17.76%,3.43%,39.13%,25.38%,13.75%
Eraser,Stamp,143,1.07%,20,13.99%,17.76%,-3.77%,38.46%,25.38%,13.08%
Eraser,Background,138,1.04%,27,19.57%,17.76%,1.80%,32.61%,25.38%,7.23%
Eraser,Muscle,123,0.92%,33,26.83%,17.76%,9.07%,30.08%,25.38%,4.70%
Eraser,Face Fix,113,0.85%,25,22.12%,17.76%,4.36%,29.20%,25.38%,3.83%
Eraser,AI Image,111,0.83%,16,14.41%,17.76%,-3.35%,40.54%,25.38%,15.16%
Eraser,Expression,93,0.70%,22,23.66%,17.76%,5.89%,37.63%,25.38%,12.26%
Eraser,Text,90,0.68%,13,14.44%,17.76%,-3.32%,31.11%,25.38%,5.73%
Eraser,Prism,76,0.57%,11,14.47%,17.76%,-3.29%,44.74%,25.38%,19.36%
Eraser,Preset,61,0.46%,11,18.03%,17.76%,0.27%,50.82%,25.38%,25.44%
Eraser,AI Tattoo,48,0.36%,6,12.50%,17.76%,-5.26%,35.42%,25.38%,10.04%
Eraser,Glitter,37,0.28%,7,18.92%,17.76%,1.16%,27.03%,25.38%,1.65%
Eraser,Effects,15,0.11%,3,20.00%,17.76%,2.24%,26.67%,25.38%,1.29%
Onboarding,Skin,4142,36.67%,670,16.18%,13.91%,2.27%,33.03%,28.57%,4.45%
Onboarding,Face,3615,32.01%,520,14.38%,13.91%,0.47%,33.91%,28.57%,5.34%
Onboarding,Magic,3052,27.02%,491,16.09%,13.91%,2.18%,32.14%,28.57%,3.57%
Onboarding,AI Retouch,2388,21.14%,363,15.20%,13.91%,1.29%,35.13%,28.57%,6.56%
Onboarding,Reshape,2213,19.59%,340,15.36%,13.91%,1.45%,34.70%,28.57%,6.13%
Onboarding,Makeup,1953,17.29%,285,14.59%,13.91%,0.68%,34.77%,28.57%,6.19%
Onboarding,Filters,1948,17.25%,311,15.97%,13.91%,2.06%,36.86%,28.57%,8.29%
Onboarding,Body,1816,16.08%,288,15.86%,13.91%,1.95%,40.75%,28.57%,12.18%
Onboarding,Relight,1565,13.86%,227,14.50%,13.91%,0.59%,41.28%,28.57%,12.71%
Onboarding,Eraser,1522,13.48%,198,13.01%,13.91%,-0.90%,34.56%,28.57%,5.99%
Onboarding,Hair,1443,12.78%,181,12.54%,13.91%,-1.37%,39.02%,28.57%,10.44%
Onboarding,Glowup,946,8.38%,143,15.12%,13.91%,1.21%,39.53%,28.57%,10.96%
Onboarding,Adjust,895,7.92%,123,13.74%,13.91%,-0.17%,42.12%,28.57%,13.55%
Onboarding,Crop,848,7.51%,112,13.21%,13.91%,-0.70%,39.15%,28.57%,10.58%
Onboarding,AI Repair,707,6.26%,92,13.01%,13.91%,-0.90%,39.75%,28.57%,11.17%
Onboarding,Resize,648,5.74%,98,15.12%,13.91%,1.21%,33.95%,28.57%,5.38%
Onboarding,Plump,625,5.53%,77,12.32%,13.91%,-1.59%,39.84%,28.57%,11.27%
Onboarding,Blur,498,4.41%,83,16.67%,13.91%,2.76%,33.94%,28.57%,5.36%
Onboarding,Face Fix,418,3.70%,62,14.83%,13.91%,0.92%,33.01%,28.57%,4.44%
Onboarding,AI Image,349,3.09%,42,12.03%,13.91%,-1.88%,42.41%,28.57%,13.83%
Onboarding,Stretch,348,3.08%,62,17.82%,13.91%,3.91%,39.08%,28.57%,10.51%
Onboarding,Expression,302,2.67%,45,14.90%,13.91%,0.99%,42.72%,28.57%,14.14%
Onboarding,AI Expand,282,2.50%,30,10.64%,13.91%,-3.27%,45.74%,28.57%,17.17%
Onboarding,Muscle,245,2.17%,29,11.84%,13.91%,-2.07%,42.86%,28.57%,14.28%
Onboarding,AI Replace,241,2.13%,35,14.52%,13.91%,0.61%,43.57%,28.57%,15.00%
Onboarding,Preset,176,1.56%,27,15.34%,13.91%,1.43%,44.89%,28.57%,16.31%
Onboarding,Background,162,1.43%,28,17.28%,13.91%,3.37%,38.27%,28.57%,9.70%
Onboarding,Glitter,120,1.06%,17,14.17%,13.91%,0.26%,35.00%,28.57%,6.43%
Onboarding,Bokeh,118,1.04%,17,14.41%,13.91%,0.50%,58.47%,28.57%,29.90%
Onboarding,AI Tattoo,95,0.84%,8,8.42%,13.91%,-5.49%,42.11%,28.57%,13.53%
Onboarding,Stamp,82,0.73%,13,15.85%,13.91%,1.94%,50.00%,28.57%,21.43%
Onboarding,Prism,74,0.66%,9,12.16%,13.91%,-1.75%,37.84%,28.57%,9.27%
Onboarding,Effects,46,0.41%,7,15.22%,13.91%,1.31%,34.78%,28.57%,6.21%
Onboarding,Text,23,0.20%,5,21.74%,13.91%,7.83%,39.13%,28.57%,10.56%
Reshape,Skin,5202,48.11%,1367,26.28%,25.50%,0.78%,29.82%,26.75%,3.06%
Reshape,Face,2264,20.94%,606,26.77%,25.50%,1.27%,31.67%,26.75%,4.91%
Reshape,Magic,1801,16.66%,523,29.04%,25.50%,3.54%,32.37%,26.75%,5.62%
Reshape,Body,1718,15.89%,422,24.56%,25.50%,-0.93%,35.62%,26.75%,8.87%
Reshape,Resize,1276,11.80%,333,26.10%,25.50%,0.60%,30.88%,26.75%,4.12%
Reshape,Filters,1206,11.15%,312,25.87%,25.50%,0.37%,35.24%,26.75%,8.49%
Reshape,Makeup,1093,10.11%,276,25.25%,25.50%,-0.25%,34.58%,26.75%,7.83%
Reshape,Eraser,795,7.35%,189,23.77%,25.50%,-1.72%,35.72%,26.75%,8.97%
Reshape,Crop,710,6.57%,170,23.94%,25.50%,-1.55%,34.08%,26.75%,7.33%
Reshape,Adjust,703,6.50%,177,25.18%,25.50%,-0.32%,36.70%,26.75%,9.95%
Reshape,Stretch,662,6.12%,152,22.96%,25.50%,-2.54%,32.18%,26.75%,5.42%
Reshape,Relight,649,6.00%,157,24.19%,25.50%,-1.31%,36.06%,26.75%,9.30%
Reshape,AI Retouch,585,5.41%,164,28.03%,25.50%,2.54%,36.75%,26.75%,10.00%
Reshape,Glowup,537,4.97%,135,25.14%,25.50%,-0.36%,34.45%,26.75%,7.70%
Reshape,Hair,534,4.94%,138,25.84%,25.50%,0.35%,38.95%,26.75%,12.20%
Reshape,Blur,505,4.67%,146,28.91%,25.50%,3.41%,32.08%,26.75%,5.32%
Reshape,Plump,271,2.51%,65,23.99%,25.50%,-1.51%,34.32%,26.75%,7.56%
