入口来源,推荐叠加功能,入口基准付费率,叠加后付费率,lift,叠加使用占比,样本量
AI Repair,Relight,16.88%,20.04%,3.17%,24.31%,484
AI Repair,Magic,16.88%,19.71%,2.83%,27.27%,543
AI Repair,Makeup,16.88%,19.67%,2.80%,15.32%,305
AI Repair,Adjust,16.88%,19.48%,2.60%,21.15%,421
AI Repair,Blur,16.88%,19.18%,2.31%,12.31%,245
AI Replace,Face,15.74%,22.09%,6.36%,10.66%,86
AI Replace,Blur,15.74%,18.87%,3.13%,13.14%,106
Adjust,Body,23.43%,30.95%,7.52%,10.76%,84
Adjust,Filters,23.43%,28.57%,5.14%,27.78%,217
Adjust,Makeup,23.43%,28.26%,4.83%,17.67%,138
Adjust,Face,23.43%,27.27%,3.84%,14.08%,110
Adjust,Reshape,23.43%,26.92%,3.49%,19.97%,156
Adjust,Eraser,23.43%,26.09%,2.66%,11.78%,92
Adjust,Blur,23.43%,26.09%,2.66%,11.78%,92
Eraser,Magic,17.76%,21.51%,3.75%,16.85%,2245
Eraser,Adjust,17.76%,20.81%,3.05%,10.89%,1451
Eraser,Skin,17.76%,20.42%,2.66%,26.01%,3467
Eraser,Reshape,17.76%,20.04%,2.28%,15.95%,2126
Expression,Skin,18.26%,23.30%,5.04%,44.78%,103
Face Fix,Magic,13.98%,18.89%,4.90%,23.75%,90
Face Fix,Reshape,13.98%,17.86%,3.87%,29.55%,112
Filters,Magic,20.30%,23.07%,2.77%,30.13%,1478
Glowup,Body,23.48%,30.83%,7.35%,23.48%,120
Glowup,Relight,23.48%,30.49%,7.00%,16.05%,82
Glowup,AI Retouch,23.48%,26.97%,3.48%,17.42%,89
Glowup,Magic,23.48%,26.35%,2.86%,32.68%,167
Hair,Skin,13.90%,18.33%,4.43%,33.59%,1102
Hair,Magic,13.90%,16.80%,2.90%,19.23%,631
Hair,Body,13.90%,16.49%,2.59%,11.64%,382
Hair,Face,13.90%,16.38%,2.48%,23.07%,757
Hair,Filters,13.90%,15.95%,2.05%,14.14%,464
Onboarding,Skin,13.91%,16.18%,2.27%,36.67%,4142
Onboarding,Magic,13.91%,16.09%,2.18%,27.02%,3052
Onboarding,Filters,13.91%,15.97%,2.06%,17.25%,1948
Plump,Magic,17.81%,20.56%,2.75%,31.24%,214
Plump,Filters,17.81%,20.19%,2.38%,15.18%,104
Plump,Makeup,17.81%,20.18%,2.37%,31.82%,218
Plump,Glowup,17.81%,20.00%,2.19%,15.33%,105
Relight,Magic,20.49%,22.75%,2.25%,17.23%,888
Reshape,Magic,25.50%,29.04%,3.54%,16.66%,1801
Resize,Magic,25.64%,31.61%,5.97%,23.41%,367
Resize,Face,25.64%,29.08%,3.44%,23.47%,368
Resize,Stretch,25.64%,27.91%,2.27%,13.71%,215
Resize,Filters,25.64%,27.78%,2.14%,12.63%,198
Teeth,AI Retouch,15.64%,19.32%,3.68%,13.23%,88
Teeth,Magic,15.64%,18.27%,2.64%,29.62%,197
Update First Launch,Magic,28.84%,31.61%,2.77%,29.77%,2354
无三级,Skin,20.53%,24.20%,3.66%,43.61%,6873
