来源层级,来源名称,用户数,占比,付费人数,付费转化率
一级来源,AIGC,976,0.74%,123,12.60%
一级来源,Ads,2008,1.52%,595,29.63%
一级来源,Camera,31,0.02%,10,32.26%
一级来源,Edit,103254,78.11%,21089,20.42%
一级来源,Else,24383,18.45%,5013,20.56%
一级来源,Operations,186,0.14%,34,18.28%
一级来源,Video,1197,0.91%,212,17.71%
一级来源,未知,155,0.12%,20,12.90%
二级来源,AI Filter,974,0.74%,123,12.63%
二级来源,AI Portrait,2,0.00%,0,0.00%
二级来源,Acne,673,0.51%,213,31.65%
二级来源,Asp,35,0.03%,7,20.00%
二级来源,Body,5,0.00%,2,40.00%
二级来源,Body Beauty,36,0.03%,4,11.11%
二级来源,Clarity,70,0.05%,12,17.14%
二级来源,Concealer,66,0.05%,13,19.70%
二级来源,Edit,23019,17.41%,4224,18.35%
二级来源,Edit Popup,4344,3.29%,785,18.07%
二级来源,Enhance,361,0.27%,49,13.57%
二级来源,Eraser,14,0.01%,0,0.00%
二级来源,Face,445,0.34%,75,16.85%
二级来源,Filter,21,0.02%,8,38.10%
二级来源,Firm,42,0.03%,9,21.43%
二级来源,Home Sub Banner,3867,2.93%,901,23.30%
二级来源,Homepage Func,12,0.01%,1,8.33%
二级来源,Homepage Popup,183,0.14%,34,18.58%
二级来源,Magic,10,0.01%,2,20.00%
二级来源,Makeup,166,0.13%,31,18.67%
二级来源,Material,9748,7.37%,1964,20.15%
二级来源,Matte,30,0.02%,3,10.00%
二级来源,New Discount 2023,31,0.02%,11,35.48%
二级来源,Onboarding,11294,8.54%,1571,13.91%
二级来源,Picture Quality,74,0.06%,10,13.51%
二级来源,Push,3,0.00%,0,0.00%
二级来源,RVSave,40,0.03%,9,22.50%
二级来源,Reshape,90,0.07%,24,26.67%
二级来源,Retouch,64461,48.76%,13821,21.44%
二级来源,Save Rewarded,796,0.60%,207,26.01%
二级来源,Save Share,70,0.05%,18,25.71%
二级来源,Setting,206,0.16%,43,20.87%
二级来源,Shortcuts,34,0.03%,7,20.59%
二级来源,Skin Tone,469,0.35%,161,34.33%
二级来源,Smooth Auto,1,0.00%,0,0.00%
二级来源,Stretch,74,0.06%,13,17.57%
二级来源,Sub To Guide,2245,1.70%,419,18.66%
二级来源,Update First Launch,7907,5.98%,2280,28.84%
二级来源,Video,4,0.00%,1,25.00%
二级来源,Video Banner,84,0.06%,16,19.05%
二级来源,p_settings,29,0.02%,5,17.24%
二级来源,未知,155,0.12%,20,12.90%
三级来源,AI Expand,333,0.25%,42,12.61%
三级来源,AI Repair,1991,1.51%,336,16.88%
三级来源,AI Replace,807,0.61%,127,15.74%
三级来源,AI Retouch,10332,7.82%,2182,21.12%
三级来源,AI Tattoo,85,0.06%,4,4.71%
三级来源,Adjust,781,0.59%,183,23.43%
三级来源,Background,205,0.16%,36,17.56%
三级来源,Body,5648,4.27%,1180,20.89%
三级来源,Bokeh,221,0.17%,36,16.29%
三级来源,Crop,28,0.02%,1,3.57%
三级来源,Effects,35,0.03%,6,17.14%
三级来源,Eraser,13327,10.08%,2367,17.76%
三级来源,Expression,230,0.17%,42,18.26%
三级来源,Face,16422,12.42%,3342,20.35%
三级来源,Face Fix,379,0.29%,53,13.98%
三级来源,Filters,4906,3.71%,996,20.30%
三级来源,Glitter,43,0.03%,9,20.93%
三级来源,Glowup,511,0.39%,120,23.48%
三级来源,Hair,3281,2.48%,456,13.90%
三级来源,Magic,3964,3.00%,923,23.28%
三级来源,Makeup,4026,3.05%,822,20.42%
三级来源,Muscle,827,0.63%,159,19.23%
三级来源,Onboarding,11294,8.54%,1571,13.91%
三级来源,Plump,685,0.52%,122,17.81%
三级来源,Preset,221,0.17%,47,21.27%
三级来源,Relight,5153,3.90%,1056,20.49%
三级来源,Reshape,10813,8.18%,2757,25.50%
三级来源,Resize,1568,1.19%,402,25.64%
三级来源,Skin,9323,7.05%,2012,21.58%
三级来源,Stamp,378,0.29%,76,20.11%
三级来源,Teeth,665,0.50%,104,15.64%
三级来源,Text,40,0.03%,11,27.50%
三级来源,Update First Launch,7907,5.98%,2280,28.84%
三级来源,无三级,15761,11.92%,3236,20.53%
