实验组别,操作系统,Face保存类别,保存人数,保存次数,人数占比(%)
实验组A,android,仅使用Face保存,1523,4788,1.09
实验组A,android,使用Face+其他功能保存,9214,148086,6.57
实验组A,android,未使用Face保存,62195,329062,44.36
实验组A,android,未保存,67283,0,47.99
实验组A,ios,仅使用Face保存,2125,6061,0.79
实验组A,ios,使用Face+其他功能保存,15662,242398,5.81
实验组A,ios,未使用Face保存,154685,783048,57.42
实验组A,ios,未保存,96920,0,35.98
实验组B,android,仅使用Face保存,1446,4665,1.04
实验组B,android,使用Face+其他功能保存,8662,144009,6.2
实验组B,android,未使用Face保存,63091,338187,45.16
实验组B,android,未保存,66492,0,47.6
实验组B,ios,仅使用Face保存,1995,6078,0.74
实验组B,ios,使用Face+其他功能保存,13718,219689,5.08
实验组B,ios,未使用Face保存,156909,788574,58.09
实验组B,ios,未保存,97472,0,36.09
对照组,android,仅使用Face保存,906,2474,0.65
对照组,android,使用Face+其他功能保存,6495,123244,4.63
对照组,android,未使用Face保存,65309,347841,46.57
对照组,android,未保存,67525,0,48.15
对照组,ios,仅使用Face保存,990,3052,0.37
对照组,ios,使用Face+其他功能保存,9568,179274,3.55
对照组,ios,未使用Face保存,160331,816883,59.42
对照组,ios,未保存,98954,0,36.67
