m.date_p,m.os_type,code,m.is_new,country,duration,sub_suc_cnt,paid_cnt,trial_cnt,dismiss_cnt,new_gmv,renew_gmv,after_paid_gmv
20260717,iOS,实验组B,Old,其他,月,1,1,0,0,10.19,0,0
20260721,iOS,对照组,New,其他,年,2,0,2,1,0.0,0,0
20260723,iOS,实验组A,Old,其他,月,2,2,0,0,18.24,0,0
20260723,iOS,实验组A,Old,英国,年,13,1,12,7,27.18,0,0
20260723,iOS,对照组,Old,英国,月,1,1,0,0,10.09,0,0
20260725,iOS,实验组A,Old,英国,分期年卡,5,5,0,0,23.28,0,0
20260725,iOS,实验组B,Old,英国,月,12,12,0,1,114.93,0,0
20260726,iOS,实验组B,Old,其他,月,2,2,0,0,13.31,0,0
20260718,iOS,实验组B,Old,英国,分期年卡,10,10,0,0,47.0,0,0
20260718,iOS,对照组,Old,巴西,周,1,1,0,1,1.55,0,0
20260719,iOS,实验组A,Old,巴西,月,14,14,0,3,43.51,0,0
20260721,iOS,实验组A,New,澳大利亚,年,1,0,1,1,0.0,0,0
20260721,iOS,实验组A,Old,巴西,分期年卡,10,10,0,1,15.64,0,0
20260721,iOS,实验组B,Old,巴西,月,17,17,0,3,51.42,0,0
20260722,iOS,实验组A,Old,巴西,月,14,14,0,1,43.94,0,0
20260723,iOS,实验组A,New,英国,分期年卡,2,2,0,0,9.31,0,0
20260723,iOS,实验组B,New,英国,月,1,1,0,0,10.09,0,0
20260723,iOS,对照组,Old,英国,年,16,1,15,5,38.83,0,0
20260725,iOS,实验组B,Old,其他,月,2,2,0,1,18.98,0,0
20260725,iOS,实验组B,Old,英国,年,5,2,3,2,66.05,0,0
20260726,iOS,实验组B,Old,其他,年,5,4,1,2,72.11,0,0
20260717,iOS,实验组B,Old,澳大利亚,月,1,1,0,1,7.11,0,0
20260718,iOS,实验组A,New,英国,年,6,0,6,6,0.0,0,0
20260719,iOS,实验组A,Old,巴西,年,92,39,60,54,397.14,0,0
20260719,iOS,对照组,Old,巴西,月,21,21,0,4,65.94,0,0
20260721,iOS,实验组B,Old,巴西,年,24,13,11,7,120.93,0,0
20260721,iOS,对照组,New,澳大利亚,年,3,1,2,2,28.09,0,0
20260722,iOS,对照组,Old,巴西,月,19,19,0,5,60.82,0,0
20260725,iOS,实验组B,New,英国,分期年卡,1,1,0,0,4.66,0,0
20260726,iOS,实验组B,Old,澳大利亚,月,6,6,0,0,51.52,0,0
20260718,iOS,对照组,New,英国,年,7,2,6,5,66.31,0,0
20260719,iOS,实验组B,New,巴西,月,4,4,0,1,12.14,0,0
20260719,iOS,对照组,Old,巴西,年,85,30,66,43,335.26,0,0
20260720,iOS,实验组A,New,巴西,月,2,2,0,1,6.44,0,0
20260723,iOS,实验组B,Old,其他,周,1,1,0,1,5.43,0,0
20260724,iOS,实验组A,Old,其他,分期年卡,1,1,0,0,4.66,0,0
20260724,iOS,实验组B,Old,英国,年,5,3,2,3,106.21,0,0
20260726,iOS,实验组B,Old,澳大利亚,年,6,1,5,1,27.99,0,0
20260717,iOS,实验组A,Old,巴西,年,8,6,3,3,64.49,0,0
20260720,iOS,对照组,New,巴西,月,2,2,0,2,6.44,0,0
20260717,iOS,对照组,Old,巴西,年,16,6,13,10,64.73,0,0
20260718,iOS,实验组A,Old,巴西,分期年卡,6,6,0,0,9.32,0,0
20260718,iOS,实验组B,Old,巴西,月,18,18,0,4,55.67,0,0
20260722,iOS,实验组A,Old,其他,年,6,2,4,4,51.73,0,0
20260724,iOS,实验组A,Old,澳大利亚,分期年卡,2,2,0,0,8.89,0,0
20260724,iOS,实验组B,Old,澳大利亚,月,3,3,0,1,26.7,0,0
20260725,iOS,实验组A,Old,巴西,年,55,15,40,18,150.81,0,0
20260717,iOS,实验组B,New,巴西,年,1,0,1,1,0.0,0,0
20260718,iOS,对照组,Old,英国,周,1,1,0,1,5.49,0,0
20260719,iOS,实验组A,Old,英国,月,7,7,0,2,69.38,0,0
20260720,iOS,实验组B,Old,其他,分期年卡,2,2,0,0,9.38,0,0
20260721,iOS,实验组A,Old,英国,分期年卡,2,2,0,0,9.34,0,0
20260721,iOS,实验组B,Old,英国,月,8,8,0,2,79.11,0,10.09
20260722,iOS,实验组A,Old,英国,月,5,5,0,1,48.7,0,0
20260722,iOS,对照组,Old,其他,年,3,0,3,0,0.0,0,0
20260723,iOS,实验组A,New,巴西,年,11,1,10,3,5.85,0,0
20260723,iOS,对照组,New,巴西,月,2,2,0,0,6.45,0,0
20260725,iOS,实验组B,New,巴西,月,4,4,0,1,12.89,0,0
20260725,iOS,对照组,Old,巴西,年,58,16,42,16,155.88,0,0
20260726,iOS,实验组B,New,巴西,年,17,8,9,3,68.69,0,0
20260719,iOS,实验组A,Old,其他,月,4,4,0,2,36.19,0,0
20260719,iOS,实验组A,Old,英国,年,20,7,16,17,226.35,0,0
20260719,iOS,对照组,Old,英国,月,13,13,0,2,128.57,0,0
20260720,iOS,实验组A,New,其他,年,1,0,1,1,0.0,0,0
20260721,iOS,实验组B,Old,其他,月,1,1,0,0,2.54,0,0
20260721,iOS,实验组B,Old,英国,年,5,2,3,1,54.58,0,0
20260722,iOS,实验组A,Old,澳大利亚,年,4,1,3,1,27.29,0,0
20260722,iOS,实验组B,New,其他,年,2,0,2,1,0.0,0,0
20260722,iOS,对照组,Old,英国,月,6,6,0,1,58.83,0,0
20260723,iOS,对照组,New,巴西,年,8,1,7,3,8.88,0,0
20260724,iOS,实验组A,Old,巴西,年,51,12,39,15,123.09,0,0
20260725,iOS,实验组B,New,巴西,年,10,3,7,1,23.62,0,0
20260719,iOS,实验组A,New,英国,分期年卡,1,1,0,0,4.7,0,0
20260719,iOS,实验组B,New,英国,月,3,3,0,0,30.58,0,0
20260719,iOS,对照组,Old,英国,年,26,12,17,19,410.7,0,0
20260720,iOS,实验组A,New,英国,月,1,1,0,0,10.17,0,0
20260720,iOS,实验组B,Old,澳大利亚,分期年卡,1,1,0,0,4.46,0,0
20260720,iOS,对照组,New,其他,年,2,0,2,1,0.0,0,0
20260721,iOS,实验组B,New,英国,分期年卡,1,1,0,0,4.67,0,0
20260722,iOS,实验组A,New,澳大利亚,分期年卡,1,1,0,0,4.45,0,0
20260723,iOS,实验组B,Old,其他,分期年卡,3,3,0,0,13.52,0,0
20260724,iOS,对照组,Old,巴西,年,43,14,29,12,140.93,0,0
20260717,iOS,实验组A,Old,英国,年,5,1,5,4,38.91,0,0
20260719,iOS,实验组B,New,澳大利亚,年,2,1,1,1,39.98,0,0
20260720,iOS,实验组A,New,澳大利亚,年,2,1,1,2,40.13,0,0
20260720,iOS,对照组,New,英国,月,3,3,0,1,28.56,0,0
20260722,iOS,实验组B,Old,巴西,分期年卡,21,21,0,0,32.95,0,0
20260724,iOS,实验组B,New,巴西,年,10,2,8,3,11.75,0,0
20260726,iOS,实验组A,Old,其他,月,3,3,0,0,23.41,0,0
20260726,iOS,实验组B,Old,巴西,周,2,2,0,0,3.1,0,0
20260717,iOS,对照组,Old,英国,年,4,1,4,2,38.91,0,0
20260718,iOS,实验组A,Old,英国,分期年卡,5,5,0,0,23.24,0,0
20260718,iOS,实验组B,Old,英国,月,7,7,0,2,57.38,0,0
20260720,iOS,实验组B,Old,巴西,年,34,19,15,11,178.58,0,0
20260720,iOS,对照组,New,澳大利亚,年,1,1,0,1,28.09,0,0
20260725,iOS,实验组A,Old,其他,月,4,4,0,1,31.74,0,0
20260725,iOS,实验组A,Old,英国,年,21,2,19,9,66.85,0,0
20260726,iOS,实验组A,Old,其他,年,8,2,6,1,44.53,0,0
20260717,iOS,实验组A,Old,澳大利亚,月,1,1,0,0,8.88,0,0
20260717,iOS,实验组B,New,英国,年,1,0,1,1,0.0,0,0
20260718,iOS,实验组B,Old,澳大利亚,年,1,1,0,1,27.99,0,0
20260721,iOS,实验组A,Old,巴西,年,50,13,37,12,120.15,0,0
20260723,iOS,实验组A,New,英国,年,3,0,3,1,0.0,0,0
20260725,iOS,对照组,Old,其他,月,4,4,0,0,32.3,0,0
20260725,iOS,对照组,Old,英国,年,24,9,15,12,279.74,0,0
20260726,iOS,实验组A,Old,澳大利亚,月,9,9,0,1,79.94,0,0
20260726,iOS,实验组B,New,英国,年,6,0,6,3,0.0,0,0
20260726,iOS,对照组,Old,其他,年,4,1,3,1,12.67,0,0
20260719,iOS,实验组A,New,巴西,月,1,1,0,0,3.21,0,0
20260721,iOS,实验组A,New,巴西,分期年卡,1,1,0,0,1.56,0,0
20260721,iOS,对照组,Old,巴西,年,50,15,35,21,132.65,0,0
20260723,iOS,对照组,New,英国,年,4,0,4,1,0.0,0,0
20260724,iOS,实验组A,Old,其他,月,4,4,0,0,40.44,0,0
20260724,iOS,实验组A,Old,英国,年,22,6,16,8,163.42,0,0
20260725,iOS,实验组A,Old,澳大利亚,月,3,3,0,1,26.65,0,0
20260725,iOS,实验组B,New,英国,年,4,0,4,3,0.0,0,0
